Year,GeoAreaName,Sex,Value
2020,Azerbaijan,BOTHSEX,16.9
2016,Austria,BOTHSEX,100
2020,Austria,BOTHSEX,100
2020,Austria,MALE,100
2020,Austria,FEMALE,100
2016,Armenia,BOTHSEX,21.4
2020,Armenia,BOTHSEX,30.2
2016,Belgium,BOTHSEX,100
2020,Belgium,MALE,100
2020,Belgium,FEMALE,100
2020,Belgium,BOTHSEX,100
2016,Bulgaria,BOTHSEX,48.6
2020,Bulgaria,BOTHSEX,48.6
2016,Cyprus,BOTHSEX,60.3
2020,Cyprus,BOTHSEX,60.3
2016,Denmark,BOTHSEX,100
2020,Denmark,MALE,100
2020,Denmark,BOTHSEX,100
2020,Denmark,FEMALE,100
2016,Estonia,BOTHSEX,100
2020,Estonia,MALE,100
2020,Estonia,BOTHSEX,100
2020,Estonia,FEMALE,100
2016,Finland,BOTHSEX,100
2020,Finland,FEMALE,100
2020,Finland,BOTHSEX,100
2020,Finland,MALE,100
2016,France,BOTHSEX,100
2020,France,BOTHSEX,100
2020,France,FEMALE,100
2020,France,MALE,100
2020,Georgia,BOTHSEX,48.1
2016,Germany,BOTHSEX,100
2020,Germany,MALE,100
2020,Germany,FEMALE,100
2020,Germany,BOTHSEX,100
2016,Hungary,BOTHSEX,100
2020,Hungary,MALE,100
2020,Hungary,FEMALE,100
2020,Hungary,BOTHSEX,100
2016,Ireland,BOTHSEX,100
2020,Ireland,BOTHSEX,100
2020,Ireland,FEMALE,100
2020,Ireland,MALE,100
2016,Kazakhstan,BOTHSEX,100
2020,Kazakhstan,BOTHSEX,57.4
2016,Kyrgyzstan,BOTHSEX,17.8
2020,Kyrgyzstan,BOTHSEX,16.9
2016,Latvia,BOTHSEX,100
2020,Latvia,FEMALE,100
2020,Latvia,BOTHSEX,100
2020,Latvia,MALE,100
2020,Liechtenstein,BOTHSEX,100
2020,Liechtenstein,FEMALE,100
2020,Liechtenstein,MALE,100
2020,Luxembourg,BOTHSEX,100
2020,Luxembourg,MALE,100
2020,Luxembourg,FEMALE,100
2016,Netherlands,BOTHSEX,100
2020,Netherlands,MALE,100
2020,Netherlands,BOTHSEX,100
2020,Netherlands,FEMALE,100
2016,Norway,BOTHSEX,100
2020,Norway,MALE,100
2020,Norway,FEMALE,100
2020,Norway,BOTHSEX,100
2016,Poland,BOTHSEX,100
2020,Poland,MALE,100
2020,Poland,FEMALE,100
2020,Poland,BOTHSEX,100
2016,Portugal,BOTHSEX,93.1
2020,Portugal,BOTHSEX,93.1
2016,Romania,BOTHSEX,100
2020,Romania,BOTHSEX,100
2020,Romania,FEMALE,100
2020,Romania,MALE,100
2021,Serbia,BOTHSEX,25.6
2016,Slovakia,BOTHSEX,100
2020,Slovakia,BOTHSEX,100
2020,Slovakia,FEMALE,100
2020,Slovakia,MALE,100
2016,Slovenia,BOTHSEX,79.4
2020,Slovenia,BOTHSEX,79.4
2016,Spain,BOTHSEX,100
2020,Spain,MALE,100
2020,Spain,BOTHSEX,100
2020,Spain,FEMALE,100
2016,Sweden,BOTHSEX,100
2020,Sweden,BOTHSEX,100
2020,Sweden,FEMALE,100
2020,Sweden,MALE,100
2016,Switzerland,BOTHSEX,100
2020,Switzerland,BOTHSEX,100
2020,Switzerland,MALE,100
2020,Switzerland,FEMALE,100
2016,Tajikistan,BOTHSEX,6.4
2020,Tajikistan,BOTHSEX,14
2021,Turkmenistan,BOTHSEX,15.3
2018,Ukraine,BOTHSEX,100
2020,Ukraine,FEMALE,100
2020,Ukraine,BOTHSEX,100
2020,Ukraine,MALE,100
2017,Uzbekistan,BOTHSEX,22
2020,Uzbekistan,BOTHSEX,29.2
2020,Uzbekistan,BOTHSEX,29.2
