Year,GeoAreaName,Quantile,Value
2010,Republic of Moldova,_T,33.76309
2010,Republic of Moldova,Q1,41.71106
2012,Republic of Moldova,_T,29.34293
2012,Republic of Moldova,Q1,38.8092
2013,Republic of Moldova,_T,23.79203
2013,Republic of Moldova,Q1,29.629
2018,Republic of Moldova,_T,32.74051
2018,Republic of Moldova,Q1,50.04396
2011,Montenegro,_T,5.08993
2011,Montenegro,Q1,14.99426
2012,Montenegro,_T,8.56685
2012,Montenegro,Q1,23.06891
2013,Montenegro,_T,10.41047
2013,Montenegro,Q1,27.13369
2014,Montenegro,_T,8.07594
2014,Montenegro,Q1,22.6477
2008,Albania,Q1,45.55193
2008,Albania,_T,32.67408
2012,Albania,_T,19.08167
2012,Albania,Q1,27.67075
2015,Azerbaijan,Q1,33.36717
2015,Azerbaijan,_T,26.91493
2008,Armenia,Q1,34.10233
2008,Armenia,_T,22.44042
2005,Poland,_T,50.5828
2005,Poland,Q1,71.04557
2006,Poland,Q1,69.58492
2006,Poland,_T,49.32769
2007,Poland,_T,47.58559
2007,Poland,Q1,66.86927
2008,Poland,Q1,62.00586
2008,Poland,_T,43.29234
2009,Armenia,_T,19.59614
2009,Armenia,Q1,28.14877
2010,Armenia,Q1,32.78167
2010,Armenia,_T,23.21633
2011,Armenia,Q1,27.45092
2011,Armenia,_T,20.22949
2012,Armenia,Q1,36.91831
2012,Armenia,_T,25.04328
2009,Poland,_T,41.08965
2009,Poland,Q1,60.84591
2010,Poland,_T,39.55377
2010,Poland,Q1,60.50547
2011,Poland,_T,39.33474
2011,Poland,Q1,60.10428
2012,Poland,_T,38.75306
2012,Poland,Q1,60.60022
2013,Armenia,_T,24.6327
2013,Armenia,Q1,34.41062
2014,Armenia,Q1,40.12106
2014,Armenia,_T,28.39567
2015,Armenia,_T,29.52676
2015,Armenia,Q1,43.67296
2016,Armenia,Q1,47.29493
2016,Armenia,_T,33.3801
2015,Poland,Q1,50.70274
2015,Poland,_T,31.34959
2008,Romania,Q1,79.49001
2008,Romania,_T,55.41553
2011,Romania,_T,62.20367
2011,Romania,Q1,82.75261
2012,Romania,_T,61.83329
2012,Romania,Q1,82.85327
2016,Romania,_T,58.58158
2016,Romania,Q1,81.92651
2007,Serbia,_T,11.85203
2007,Serbia,Q1,21.84727
2010,Serbia,_T,11.27447
2010,Serbia,Q1,26.00123
2013,Serbia,Q1,26.51171
2013,Serbia,_T,11.72431
2015,Serbia,_T,13.40416
2015,Serbia,Q1,29.53887
2009,Slovakia,_T,83.19675
2009,Slovakia,Q1,95.61363
2011,Tajikistan,_T,9.74993
2011,Tajikistan,Q1,13.04268
2004,Türkiye,_T,27.21969
2004,Türkiye,Q1,33.0107
2017,Armenia,Q1,47.6955
2017,Armenia,_T,35.07955
2018,Armenia,Q1,42.4913
2018,Armenia,_T,29.45044
2007,Bosnia and Herzegovina,_T,20.50947
2007,Bosnia and Herzegovina,Q1,21.83457
2015,Bosnia and Herzegovina,Q1,23.19303
2015,Bosnia and Herzegovina,_T,17.4175
2005,Türkiye,Q1,33.29232
2005,Türkiye,_T,27.60373
2006,Türkiye,_T,30.50476
2006,Türkiye,Q1,36.79194
2007,Türkiye,_T,33.16355
2007,Türkiye,Q1,46.45131
2008,Türkiye,Q1,56.0718
2008,Türkiye,_T,37.05219
2009,Türkiye,_T,17.96611
2009,Türkiye,Q1,41.70753
2010,Türkiye,Q1,47.49978
2010,Türkiye,_T,18.44495
2011,Türkiye,_T,18.39216
