Year,GeoAreaName,Quantile,Value
2008,Albania,Q1,48.43734
2008,Albania,_T,45.93881
2012,Albania,Q1,38.22971
2012,Albania,_T,36.25506
2015,Azerbaijan,Q1,56.98233
2015,Azerbaijan,_T,50.6121
2008,Armenia,_T,49.99086
2008,Armenia,Q1,55.33722
2009,Armenia,Q1,55.07897
2009,Armenia,_T,51.284
2010,Armenia,Q1,54.16628
2010,Armenia,_T,52.10611
2011,Armenia,Q1,53.53614
2011,Armenia,_T,52.87971
2012,Armenia,_T,53.36276
2012,Armenia,Q1,56.42332
2013,Armenia,_T,53.03151
2013,Armenia,Q1,56.69281
2014,Armenia,Q1,56.99563
2014,Armenia,_T,54.75134
2015,Armenia,Q1,56.56097
2015,Armenia,_T,53.41843
2016,Armenia,Q1,55.48178
2016,Armenia,_T,51.89175
2017,Armenia,_T,55.05737
2017,Armenia,Q1,57.52963
2018,Armenia,Q1,55.90557
2018,Armenia,_T,52.32998
2007,Bosnia and Herzegovina,Q1,36.91917
2007,Bosnia and Herzegovina,_T,41.52379
2015,Bosnia and Herzegovina,Q1,37.2437
2015,Bosnia and Herzegovina,_T,40.16296
2007,Bulgaria,_T,47.71536
2007,Bulgaria,Q1,48.19672
2008,Belarus,_T,43.08533
2008,Belarus,Q1,39.38569
2009,Belarus,Q1,36.75283
2009,Belarus,_T,40.88504
2010,Belarus,_T,42.38952
2010,Belarus,Q1,37.15201
2012,Belarus,Q1,42.49706
2012,Belarus,_T,47.92547
2013,Belarus,Q1,48.98092
2013,Belarus,_T,48.6875
2014,Belarus,Q1,39.41911
2014,Belarus,_T,47.1448
2015,Belarus,Q1,40.68515
2015,Belarus,_T,49.69061
2016,Belarus,Q1,39.14599
2016,Belarus,_T,49.98795
2017,Belarus,Q1,42.9981
2017,Belarus,_T,50.66548
2018,Belarus,Q1,41.22598
2018,Belarus,_T,48.91627
2019,Belarus,Q1,41.4284
2019,Belarus,_T,47.47545
2008,Croatia,Q1,59.36819
2008,Croatia,_T,54.74313
2010,Croatia,Q1,58.13471
2010,Croatia,_T,57.51293
2011,Croatia,Q1,54.28465
2011,Croatia,_T,56.34707
2014,Croatia,Q1,52.84615
2014,Croatia,_T,52.55622
2007,Hungary,_T,57.12081
2007,Hungary,Q1,49.8638
2007,Kazakhstan,_T,29.15654
2007,Kazakhstan,Q1,28.81919
2010,Kazakhstan,_T,28.94987
2010,Kazakhstan,Q1,30.58772
2014,Kazakhstan,_T,1.08673
2014,Kazakhstan,Q1,1.07339
2015,Kazakhstan,_T,28.67696
2015,Kazakhstan,Q1,25.95332
2017,Kazakhstan,_T,31.52141
2017,Kazakhstan,Q1,29.62957
2006,Kosovo,_T,20.5816
2006,Kosovo,Q1,20.0498
2011,Kosovo,_T,35.56747
2011,Kosovo,Q1,37.86172
2012,Kosovo,_T,36.11498
2012,Kosovo,Q1,40.60301
2013,Kosovo,_T,35.00026
2013,Kosovo,Q1,32.07567
2006,Kyrgyzstan,_T,30.466
2006,Kyrgyzstan,Q1,32.70928
2011,Kyrgyzstan,_T,40.22305
2011,Kyrgyzstan,Q1,40.76887
2012,Kyrgyzstan,_T,41.64056
2012,Kyrgyzstan,Q1,46.2475
2013,Kyrgyzstan,_T,39.34975
2013,Kyrgyzstan,Q1,42.87701
2008,Latvia,_T,52.44336
2008,Latvia,Q1,53.4027
2009,Latvia,_T,45.72375
2009,Latvia,Q1,46.83668
