Year,GeoAreaName,Value
2004,Netherlands,61.8
2005,Netherlands,62
2006,Netherlands,60.6
2007,Netherlands,63.3
2008,Netherlands,63
2009,Netherlands,66.1
2010,Netherlands,64.4
2011,Netherlands,64.3
2012,Netherlands,64
2013,Netherlands,64.4
2014,Netherlands,64.8
2015,Netherlands,62.3
2016,Netherlands,63.2
2017,Netherlands,61.9
2004,Albania,44.1
2005,Albania,44
2006,Albania,44
2007,Albania,44.2
2008,Albania,43.9
2009,Albania,45.6
2010,Albania,45.6
2011,Albania,45.5
2012,Albania,45.3
2013,Albania,45.4
2014,Albania,45
2015,Albania,44.9
2016,Albania,44.5
2017,Albania,44.3
2018,Albania,44.2
2018,Netherlands,60.9
2019,Netherlands,60.9
2020,Netherlands,63.6
2004,Norway,46.9
2005,Norway,44.9
2006,Norway,44.2
2007,Norway,46.6
2008,Norway,46.4
2009,Norway,51.9
2010,Norway,49.1
2011,Norway,46.9
2012,Norway,46.7
2013,Norway,48.7
2014,Norway,50.3
2015,Norway,52
2016,Norway,53.8
2017,Norway,51.8
2018,Norway,50.2
2019,Norway,53.3
2020,Norway,54.8
2004,Poland,47.7
2005,Poland,47.1
2006,Poland,47
2007,Poland,47.6
2008,Poland,49.6
2009,Poland,47.9
2010,Poland,47.9
2011,Poland,46.5
2012,Poland,47.1
2013,Poland,46.8
2014,Poland,47.3
2015,Poland,46.6
2016,Poland,48.8
2017,Poland,47.6
2018,Poland,49.1
2019,Poland,48.9
2020,Poland,48.5
2004,Portugal,65.8
2005,Portugal,65.5
2006,Portugal,63.2
2007,Portugal,62.5
2008,Portugal,62.9
2009,Portugal,63.8
2010,Portugal,62.2
2011,Portugal,59.8
2019,Albania,44.8
2020,Albania,46.6
2004,Azerbaijan,55.4
2005,Azerbaijan,50.1
2006,Azerbaijan,38.6
2007,Azerbaijan,34.5
2008,Azerbaijan,32.9
2009,Azerbaijan,40.9
2010,Azerbaijan,38.2
2011,Azerbaijan,35.2
2012,Azerbaijan,36.9
2013,Azerbaijan,39.4
2014,Azerbaijan,41.2
2015,Azerbaijan,49.1
2016,Azerbaijan,48.3
2012,Portugal,59.6
2013,Portugal,59.2
2014,Portugal,56.7
2015,Portugal,54.4
2016,Portugal,53.9
2017,Portugal,55.2
2018,Portugal,54.7
2019,Portugal,55.4
2020,Portugal,59.5
2004,Romania,44.1
2005,Romania,47.1
2006,Romania,45.7
2007,Romania,40
2008,Romania,41.7
2009,Romania,40.2
2017,Azerbaijan,44.7
2018,Azerbaijan,45.4
2019,Azerbaijan,44.9
2020,Azerbaijan,46
2004,Austria,60.7
2005,Austria,60.3
2006,Austria,59.8
2007,Austria,59
2008,Austria,59.4
2009,Austria,60.5
2010,Austria,59.5
2011,Austria,58.3
2012,Austria,58.6
2013,Austria,58.6
2014,Austria,61.4
2015,Austria,59.6
2016,Austria,61.7
2017,Austria,60.7
2018,Austria,58.9
2019,Austria,58.4
2020,Austria,59.6
2004,Armenia,59.3
2005,Armenia,58.9
2006,Armenia,58.2
2007,Armenia,57
2008,Armenia,55.8
2009,Armenia,57
2010,Armenia,55.4
2011,Armenia,54.7
2012,Armenia,53.4
2010,Romania,43.6
2011,Romania,40.1
2012,Romania,40.3
2013,Romania,39.6
2014,Romania,39.9
2015,Romania,40.3
2016,Romania,44.1
2017,Romania,43.4
2018,Romania,44.3
2019,Romania,44.6
2020,Romania,47.2
2004,Serbia,60.8
2005,Serbia,58.5
2006,Serbia,56.8
2007,Serbia,56.5
2013,Armenia,52.6
2014,Armenia,52.3
2015,Armenia,52.8
2016,Armenia,53.6
2017,Armenia,52.6
2018,Armenia,51.4
2019,Armenia,51.7
2020,Armenia,54.2
