Year,GeoAreaName,Fiscal intervention stage,Value
2015,Albania,POSTFIS_DIS_INC,34.520000
2015,Albania,POSTFIS_CON_INC,34.530000
2015,Albania,PREFIS_INC,36.930000
2015,Austria,PREFIS_INC,41.808020
2015,Austria,POSTFIS_DIS_INC,27.567244
2016,Austria,PREFIS_INC,42.117084
2016,Austria,POSTFIS_DIS_INC,27.618231
2017,Austria,PREFIS_INC,42.881101
2017,Austria,POSTFIS_DIS_INC,28.560742
2018,Austria,PREFIS_INC,41.934820
2018,Austria,POSTFIS_DIS_INC,27.667912
2019,Austria,PREFIS_INC,42.667984
2019,Austria,POSTFIS_DIS_INC,28.425984
2020,Austria,PREFIS_INC,41.798588
2020,Austria,POSTFIS_DIS_INC,27.381612
2017,Armenia,PREFIS_INC,33.300000
2017,Armenia,POSTFIS_DIS_INC,28.700000
2017,Armenia,POSTFIS_CON_INC,28.700000
2015,Belgium,PREFIS_INC,42.668634
2015,Belgium,POSTFIS_DIS_INC,26.813020
2016,Belgium,PREFIS_INC,42.869789
2016,Belgium,POSTFIS_DIS_INC,26.821057
2017,Belgium,PREFIS_INC,42.841366
2017,Belgium,POSTFIS_DIS_INC,26.957031
2018,Belgium,PREFIS_INC,41.198671
2018,Belgium,POSTFIS_DIS_INC,26.304520
2019,Belgium,PREFIS_INC,41.717935
2019,Belgium,POSTFIS_DIS_INC,25.734370
2020,Belgium,PREFIS_INC,41.161295
2020,Belgium,POSTFIS_DIS_INC,26.061434
2015,Belarus,PREFIS_INC,29.200000
2015,Belarus,POSTFIS_DIS_INC,26.700000
2015,Belarus,POSTFIS_CON_INC,27.000000
2014,Croatia,PREFIS_INC,39.179140
2014,Croatia,POSTFIS_DIS_INC,32.500000
2014,Croatia,POSTFIS_CON_INC,35.500000
2015,Czechia,PREFIS_INC,38.086135
2015,Czechia,POSTFIS_DIS_INC,25.474779
2016,Czechia,PREFIS_INC,37.824516
2016,Czechia,POSTFIS_DIS_INC,25.459654
2017,Czechia,POSTFIS_DIS_INC,24.945376
2017,Czechia,PREFIS_INC,36.459123
2018,Czechia,POSTFIS_DIS_INC,24.271795
2018,Czechia,PREFIS_INC,34.718572
2019,Czechia,PREFIS_INC,34.181567
2019,Czechia,POSTFIS_DIS_INC,24.118529
2020,Czechia,PREFIS_INC,33.770586
2020,Czechia,POSTFIS_DIS_INC,24.053106
2015,Denmark,PREFIS_INC,40.990000
2015,Denmark,POSTFIS_DIS_INC,26.500000
2016,Denmark,POSTFIS_DIS_INC,26.300000
2016,Denmark,PREFIS_INC,40.460000
2017,Denmark,PREFIS_INC,40.240000
2017,Denmark,POSTFIS_DIS_INC,26.470000
2018,Denmark,PREFIS_INC,39.810000
2018,Denmark,POSTFIS_DIS_INC,26.420000
2015,Estonia,PREFIS_INC,42.152965
2015,Estonia,POSTFIS_DIS_INC,33.775412
2016,Estonia,POSTFIS_DIS_INC,31.822288
2016,Estonia,PREFIS_INC,39.818575
2017,Estonia,PREFIS_INC,37.991551
2017,Estonia,POSTFIS_DIS_INC,29.936293
2018,Estonia,PREFIS_INC,36.924280
2018,Estonia,POSTFIS_DIS_INC,29.233655
2019,Estonia,PREFIS_INC,36.421769
2019,Estonia,POSTFIS_DIS_INC,28.690843
2020,Estonia,PREFIS_INC,39.365542
2020,Estonia,POSTFIS_DIS_INC,28.951989
2015,Finland,PREFIS_INC,42.390000
