Year,GeoAreaName,Value
2000,Albania,231.12467
2001,Albania,343.81467
2002,Albania,320.368
2003,Albania,380.18333
2004,Albania,526.359
2005,Albania,477.79367
2006,Albania,506.12367
2007,Albania,674.98876
2008,Albania,866.35973
2009,Albania,836.2544
2010,Albania,969.06745
2011,Albania,939.72625
2012,Albania,718.20174
2013,Albania,145.49818
2014,Albania,491.6857
2015,Albania,661.41438
2016,Albania,149.96328
2017,Albania,461.15481
2000,Republic of Moldova,141.09
2001,Republic of Moldova,95.12317
2002,Republic of Moldova,149.98033
2003,Republic of Moldova,115.482
2004,Republic of Moldova,116.90883
2005,Republic of Moldova,157.80097
2006,Republic of Moldova,371.33409
2007,Republic of Moldova,436.50888
2008,Republic of Moldova,463.47567
2009,Republic of Moldova,249.75743
2010,Republic of Moldova,665.97979
2011,Republic of Moldova,414.00491
2012,Republic of Moldova,537.6422
2013,Republic of Moldova,883.36536
2014,Republic of Moldova,526.62024
2015,Republic of Moldova,272.05858
2016,Republic of Moldova,390.17207
2017,Republic of Moldova,224.06004
2018,Republic of Moldova,327.05176
2019,Republic of Moldova,454.51038
2020,Republic of Moldova,695.80531
2003,Montenegro,8.14
2004,Montenegro,20.13
2005,Montenegro,1.36
2006,Montenegro,141.86
2007,Montenegro,173.2412
2008,Montenegro,586.55067
2018,Albania,738.17355
2019,Albania,313.13887
2020,Albania,825.88992
2000,Azerbaijan,673.48057
2001,Azerbaijan,489.12948
2002,Azerbaijan,687.73948
2003,Azerbaijan,1515.33364
2004,Azerbaijan,1821.00667
2005,Azerbaijan,1518.851
2009,Montenegro,388.71869
2010,Montenegro,185.08047
2011,Montenegro,14.88464
2012,Montenegro,322.29362
2013,Montenegro,292.21942
2014,Montenegro,220.30354
2015,Montenegro,362.27407
2016,Montenegro,302.68506
2017,Montenegro,429.63025
2006,Azerbaijan,1796.37433
2007,Azerbaijan,2616.2061
2008,Azerbaijan,2281.73584
2009,Azerbaijan,991.89766
2010,Azerbaijan,1134.53232
2011,Azerbaijan,1637.9662
2012,Azerbaijan,1022.66697
2013,Azerbaijan,1188.7401
2014,Azerbaijan,717.67864
2015,Azerbaijan,1307.71385
2016,Azerbaijan,1597.64532
2017,Azerbaijan,2005.3554
2018,Azerbaijan,782.77632
2019,Azerbaijan,944.662
2020,Azerbaijan,391.42745
2000,Armenia,211.39
2001,Armenia,209.56104
2002,Armenia,303.13741
2003,Armenia,252.23196
2004,Armenia,252.33192
2005,Armenia,215.69555
2006,Armenia,364.22555
2007,Armenia,563.1299
2008,Armenia,474.67733
2009,Armenia,539.8736
2010,Armenia,539.1651
2011,Armenia,505.95233
2012,Armenia,307.19623
2013,Armenia,594.74485
2014,Armenia,363.99101
2015,Armenia,477.93135
2016,Armenia,662.76076
2017,Armenia,487.04181
2018,Armenia,368.48049
2019,Armenia,734.53729
2020,Armenia,238.80013
2018,Montenegro,273.07568
2019,Montenegro,218.88439
2020,Montenegro,230.96513
2000,Serbia,1123.96
2001,Serbia,1261.56
2002,Serbia,2708.3
2003,Serbia,2489.89633
2004,Serbia,2270.91373
2005,Serbia,2458.20373
2000,Bosnia and Herzegovina,946.25
2001,Bosnia and Herzegovina,713.85
2002,Bosnia and Herzegovina,709.46
2003,Bosnia and Herzegovina,644.87
2004,Bosnia and Herzegovina,956.02667
2005,Bosnia and Herzegovina,731.17263
2006,Bosnia and Herzegovina,1195.74263
2007,Bosnia and Herzegovina,1280.61466
2008,Bosnia and Herzegovina,1294.87862
2006,Serbia,3396.8974
2007,Serbia,3957.87673
2008,Serbia,3388.34647
2009,Serbia,1999.36486
2010,Serbia,1937.85743
2011,Serbia,3355.70955
2012,Serbia,1083.27345
2013,Serbia,1879.35336
2014,Serbia,-3630.80531
2009,Bosnia and Herzegovina,579.80176
2010,Bosnia and Herzegovina,935.87909
2011,Bosnia and Herzegovina,668.26576
