Year,GeoAreaName,Value
2011,Albania,7.88
2015,Albania,7.9
2017,Albania,8.38
2018,Albania,8.4
2019,Albania,9.16
2020,Albania,8.59
2021,Albania,8.01
2011,Azerbaijan,2.34
2015,Azerbaijan,1.13
2017,Azerbaijan,1.04
2018,Azerbaijan,1.32
2019,Azerbaijan,1
2020,Azerbaijan,1.00
2021,Azerbaijan,1.61
2011,Armenia,1.83
2015,Armenia,1.48
2017,Armenia,3.97
2018,Armenia,5.66
2019,Armenia,5.02
2020,Armenia,5.10
2021,Armenia,5.64
2011,Bosnia and Herzegovina,13.93
2015,Bosnia and Herzegovina,7.28
2017,Bosnia and Herzegovina,6.5
2018,Bosnia and Herzegovina,6.9
2019,Bosnia and Herzegovina,7.44
2020,Bosnia and Herzegovina,7.27
2021,Bosnia and Herzegovina,6.94
2011,Bulgaria,9.1
2015,Bulgaria,9.16
2017,Bulgaria,8.18
2018,Bulgaria,8.59
2019,Bulgaria,8.24
2020,Bulgaria,7.59
2021,Bulgaria,9.24
2011,Belarus,2.4
2015,Belarus,1.36
2017,Belarus,1.34
2018,Belarus,1.55
2019,Belarus,1.75
2020,Belarus,1.60
2021,Belarus,1.49
2011,Croatia,20.63
2015,Croatia,4.11
2017,Croatia,6.26
2018,Croatia,6.21
2019,Croatia,6.63
2020,Croatia,6.87
2021,Croatia,8.00
2011,Estonia,4.62
2015,Estonia,5.83
2017,Estonia,6.38
2018,Estonia,4.32
2019,Estonia,1.67
2020,Estonia,4.17
2021,Estonia,6.20
2011,Georgia,2.63
2015,Georgia,1.17
2017,Georgia,1.34
2018,Georgia,1.28
2019,Georgia,1.42
2020,Georgia,1.10
2021,Georgia,1.49
2015,Hungary,6.06
2017,Hungary,8.08
2018,Hungary,8.49
2019,Hungary,7.41
2020,Hungary,8.17
2021,Hungary,6.94
2011,Kazakhstan,2.28
2015,Kazakhstan,1.43
2017,Kazakhstan,1.34
2018,Kazakhstan,1.48
2019,Kazakhstan,1.5
2020,Kazakhstan,1.40
2021,Kazakhstan,1.53
2017,Kosovo,7.01
2018,Kosovo,7.62
2019,Kosovo,6.92
2020,Kosovo,7.27
2021,Kosovo,5.92
2011,Kyrgyzstan,2.22
2015,Kyrgyzstan,1.25
2017,Kyrgyzstan,4.01
2018,Kyrgyzstan,5.46
2019,Kyrgyzstan,4.6
2020,Kyrgyzstan,4.51
2021,Kyrgyzstan,4.31
2011,Latvia,4.25
2015,Latvia,4.78
2017,Latvia,5.11
2018,Latvia,4
2019,Latvia,1.83
2020,Latvia,3.67
2021,Latvia,5.85
2011,Lithuania,7.8
2015,Lithuania,8.19
2017,Lithuania,7.07
2018,Lithuania,6.66
2019,Lithuania,5.67
2020,Lithuania,6.39
2021,Lithuania,6.03
2011,Republic of Moldova,7.72
2015,Republic of Moldova,5.7
2017,Republic of Moldova,5.74
2018,Republic of Moldova,5.81
2019,Republic of Moldova,5.99
2020,Republic of Moldova,5.61
2021,Republic of Moldova,4.27
2011,Poland,7.18
2015,Poland,6.63
2017,Poland,5.74
2018,Poland,5.01
2019,Poland,5.19
2020,Poland,3.74
2021,Poland,4.85
2011,Romania,7.05
2015,Romania,6.06
2017,Romania,5.08
2018,Romania,4.78
2019,Romania,4.79
2020,Romania,4.35
2021,Romania,5.21
2011,Serbia,10.52
2015,Serbia,9.22
2017,Serbia,9.19
2018,Serbia,8.31
2019,Serbia,7.33
2020,Serbia,7.21
2021,Serbia,6.30
2011,Tajikistan,2.65
2015,Tajikistan,1.5
2017,Tajikistan,4.62
2018,Tajikistan,4.35
2019,Tajikistan,4.84
2020,Tajikistan,7.21
2021,Tajikistan,2.99
2011,Türkiye,8.76
2015,Türkiye,6.95
2017,Türkiye,6.84
2018,Türkiye,7.08
2019,Türkiye,6.62
2020,Türkiye,7.26
2021,Türkiye,6.93
2011,Ukraine,6.32
2015,Ukraine,4.73
2017,Ukraine,6.79
2018,Ukraine,6.44
2019,Ukraine,6.45
2020,Ukraine,6.37
2021,Ukraine,5.30
2017,North Macedonia,10.43
2018,North Macedonia,10.18
2019,North Macedonia,11.14
2020,North Macedonia,7.41
2021,North Macedonia,6.75
2011,Uzbekistan,2.23
2015,Uzbekistan,1.67
2017,Uzbekistan,1.67
2018,Uzbekistan,1.44
2019,Uzbekistan,1.67
2020,Uzbekistan,1.75
2021,Uzbekistan,2.41
2021,Uzbekistan,2.41
