Year,GeoAreaName,Custom Breakdown,Value
2020,Azerbaijan,C01,83.1
2020,Austria,C02,95.76
2020,Austria,C01,94.98
2020,Austria,C07,97.48
2020,Austria,C06,93.48
2020,Austria,C05,93.84
2020,Austria,C04,96.19
2020,Austria,C03,98.43
2018,Belgium,C32,80.0
2018,Belgium,C31,95.2
2018,Belgium,C30,88.6
2018,Belgium,C28,88.5
2018,Belgium,C27,98.9
2018,Belgium,C26,100.0
2018,Belgium,C25,100.0
2018,Belgium,C21,96.6
2018,Belgium,C16,100.0
2018,Belgium,C01,89.6
2018,Belgium,C14,98.1
2018,Belgium,C13,97.3
2018,Belgium,C11,86.7
2018,Belgium,C10,97.9
2018,Belgium,C09,96.0
2018,Belgium,C08,99.6
2018,Belgium,C06,94.6
2018,Belgium,C04,96.3
2018,Belgium,C03,88.5
2020,Belgium,C23,94.07
2020,Belgium,C07,93.93
2020,Belgium,C05,95.97
2020,Belgium,C19,93.86
2020,Belgium,C18,96.17
2020,Belgium,C02,95.28
2020,Belgium,C24,84.26
2020,Belgium,C29,95.56
2020,Belgium,C22,96.7
2020,Belgium,C20,93.19
2020,Belgium,C17,93.63
2020,Belgium,C15,77.43
2020,Belgium,C12,96.36
2020,Bosnia and Herzegovina,C02,61.92
2020,Hungary,C01,96.47
2020,Hungary,C14,97.89
2020,Hungary,C11,93.34
2020,Hungary,C10,92.28
2020,Hungary,C09,90.27
2020,Spain,C41,98.63
2020,Spain,C28,96.34
2020,Spain,C27,98.53
2020,Spain,C26,97.69
2020,Spain,C10,98.17
2020,Hungary,C08,89.7
2020,Hungary,C07,92.08
2020,Hungary,C06,93.11
2020,Hungary,C05,95.45
2020,Hungary,C04,97.6
2020,Hungary,C03,75.36
2020,Hungary,C02,95.52
2020,Hungary,C13,86.92
2020,Hungary,C12,95.83
2020,Iceland,C01,91.43
2020,Ireland,C05,87.54
2020,Ireland,C04,84.55
2020,Ireland,C03,92.65
2020,Ireland,C02,94.4
2020,Ireland,C01,91.71
2020,Italy,C48,95.31
2020,Italy,C13,86.75
2020,Italy,C05,91.66
2020,Italy,C04,99
2020,Italy,C10,90.31
2020,Italy,C09,98.88
2020,Italy,C03,99.26
2020,Italy,C02,98.97
2020,Italy,C01,90.63
2020,Italy,C14,85.68
2020,Italy,C15,90.35
2020,Italy,C16,94.34
2020,Italy,C38,97.86
2020,Italy,C37,70.46
2020,Italy,C43,97.46
2020,Italy,C42,96.16
2020,Italy,C36,92.54
2020,Italy,C35,90.37
2020,Italy,C34,99.73
2020,Italy,C49,91.34
2020,Italy,C33,93.16
2020,Italy,C31,93.87
2020,Italy,C20,99.11
2020,Italy,C19,99.5
2020,Italy,C25,96.69
2020,Italy,C24,98.06
2020,Italy,C18,98.21
2020,Italy,C32,98.25
2020,Italy,C12,98.68
2020,Italy,C11,98.1
2020,Italy,C45,98.06
2020,Italy,C44,98.01
2020,Italy,C27,95.7
2020,Italy,C26,77.7
2020,Italy,C41,98.87
2020,Italy,C40,96.14
2020,Italy,C39,97.6
2020,Italy,C08,98.09
2020,Italy,C07,82.61
2020,Italy,C06,98.15
2020,Italy,C17,98.29
2020,Italy,C47,87.36
2020,Italy,C46,97.66
2020,Italy,C30,89.38
2020,Italy,C29,99.89
2020,Italy,C28,97.54
2020,Italy,C23,94.06
2020,Italy,C22,98.56
2020,Italy,C21,97.05
2020,Kazakhstan,C14,22.2
2020,Kazakhstan,C02,39.1
2020,Kazakhstan,C01,40.5
2020,Kazakhstan,C18,27.2
2020,Kazakhstan,C17,49.3
2020,Kazakhstan,C16,24.1
2020,Kazakhstan,C15,20.5
2020,Kazakhstan,C13,31.2
2020,Kazakhstan,C12,53.0
2020,Kazakhstan,C11,20.5
2020,Kazakhstan,C10,17.0
2020,Kazakhstan,C09,53.6
2020,Kazakhstan,C08,42.8
2020,Spain,C09,96.74
2020,Spain,C21,94.61
2020,Sweden,C13,82.89
2020,Sweden,C12,80.79
2020,Sweden,C10,88.65
2020,Kazakhstan,C07,39.0
2020,Kazakhstan,C06,54.0
2020,Kazakhstan,C05,24.4
2020,Kazakhstan,C04,53.7
2020,Kazakhstan,C03,12.7
2020,Kyrgyzstan,C11,59.4
2020,Kyrgyzstan,C10,59.2
2020,Kyrgyzstan,C09,69.6
2020,Kyrgyzstan,C08,39.6
2020,Kyrgyzstan,C07,93.4
2020,Kyrgyzstan,C06,53.8
2020,Kyrgyzstan,C05,49.2
2020,Kyrgyzstan,C03,21.5
2020,Kyrgyzstan,C02,55.2
2020,Kyrgyzstan,C01,63.7
2020,Kyrgyzstan,C04,21.8
2020,Sweden,C11,89.14
2020,Sweden,C06,89.92
2020,Sweden,C05,91.11
2020,Sweden,C03,84.87
2020,Sweden,C02,85.05
2020,Sweden,C04,88.41
2020,Sweden,C09,83.17
2020,Sweden,C15,79.71
2020,Sweden,C14,93.73
2020,Sweden,C01,90.12
2020,Latvia,C02,90.37
2020,Latvia,C01,85.96
2020,Latvia,C03,92.73
2020,Lithuania,C05,87.88
2020,Lithuania,C04,83.48
2020,Sweden,C08,85.89
2020,Sweden,C07,93.21
2020,Switzerland,C09,91.9
2020,Switzerland,C15,96.19
2020,Switzerland,C14,93.67
2020,Lithuania,C03,91.03
2020,Lithuania,C02,92.15
2020,Lithuania,C01,87.81
2020,Luxembourg,C01,97.43
2020,Malta,C01,97.28
2020,Switzerland,C13,97.1
2020,Switzerland,C12,96.62
2020,Switzerland,C11,97.16
2020,Switzerland,C10,89.1
2020,Switzerland,C02,94.31
2020,Switzerland,C03,94.85
2020,Switzerland,C08,95.69
2020,Switzerland,C01,95.42
2020,Switzerland,C04,93.5
2020,Switzerland,C07,96.34
2020,Switzerland,C06,96.79
2020,Switzerland,C05,92.54
2020,Tajikistan,C13,23.9
2020,Tajikistan,C07,49.6
2020,Tajikistan,C08,39.1
2020,Tajikistan,C02,40.7
2020,Tajikistan,C05,71.5
2020,Netherlands,C37,89.99
2020,Netherlands,C36,88.66
2020,Netherlands,C19,94.49
2020,Netherlands,C18,90.17
2020,Netherlands,C14,95.89
2020,Netherlands,C47,74.09
2020,Netherlands,C48,72.3
2020,Netherlands,C17,90.51
2020,Netherlands,C46,91.65
2020,Netherlands,C45,64.32
2020,Netherlands,C44,97.88
2020,Netherlands,C43,92.39
2020,Netherlands,C42,93.03
2020,Netherlands,C41,67.78
2020,Netherlands,C40,71.4
2020,Tajikistan,C04,27.0
2020,Tajikistan,C03,48.0
2020,Tajikistan,C06,43.9
2020,Tajikistan,C10,41.5
2020,Netherlands,C39,85.87
2020,Netherlands,C38,91.93
2020,Netherlands,C30,94.31
2020,Netherlands,C29,85.54
2020,Netherlands,C35,97.07
2020,Tajikistan,C09,30.4
2020,Tajikistan,C12,36.5
2020,Tajikistan,C11,35.0
2020,Tajikistan,C01,46.0
2020,Netherlands,C34,64.21
2020,Netherlands,C28,92.95
2020,Netherlands,C27,94.26
2020,Netherlands,C26,89.61
2020,Netherlands,C25,95.62
2020,Türkiye,C01,23.3
2020,Türkiye,C03,45.0
2020,Türkiye,C02,60.1
2020,Türkiye,C14,91.1
2020,Türkiye,C11,68.3
2020,Türkiye,C10,54.7
2020,Türkiye,C06,85.6
2020,Türkiye,C17,44.7
2020,Türkiye,C16,41.4
2020,Türkiye,C15,83.3
2020,Türkiye,C13,60.6
2020,Türkiye,C12,33.6
2020,Türkiye,C09,47.8
2020,Türkiye,C08,63.9
2020,Türkiye,C07,77.8
2020,Türkiye,C20,42.0
2020,Türkiye,C25,30.0
2020,Türkiye,C04,34.0
2020,Türkiye,C23,65.6
2020,Türkiye,C22,75.0
2020,Türkiye,C21,53.4
2020,Türkiye,C19,57.8
2020,Türkiye,C18,59.2
2020,Türkiye,C05,70.8
2020,Türkiye,C24,88.5
2020,Turkmenistan,C09,11.7
2020,Turkmenistan,C07,9.2
2020,Turkmenistan,C08,24.5
2020,Turkmenistan,C06,8.3
2020,Turkmenistan,C05,26.9
2020,Turkmenistan,C04,9.1
2020,Turkmenistan,C03,8.2
2020,Turkmenistan,C02,49.2
2020,Turkmenistan,C01,60.7
2020,Ukraine,C02,75.9
2020,Ukraine,C01,79.5
2020,Uzbekistan,C14,10.0
2020,Uzbekistan,C13,9.1
2020,Uzbekistan,C01,11.6
2020,Uzbekistan,C12,21.9
2020,Uzbekistan,C10,10.0
2020,Uzbekistan,C11,23.1
2020,Uzbekistan,C09,41.9
2020,Uzbekistan,C08,19.9
2020,Netherlands,C24,88.5
2020,Netherlands,C23,84.56
2020,Netherlands,C09,65.41
2020,Netherlands,C08,91.75
2020,Netherlands,C16,89.47
2020,Netherlands,C13,87.58
2020,Netherlands,C07,94.18
2020,Netherlands,C06,92.88
2020,Netherlands,C05,92.82
2020,Netherlands,C04,77.99
2020,Uzbekistan,C06,18.8
2020,Uzbekistan,C02,15.1
2020,Uzbekistan,C03,38.3
2020,Uzbekistan,C07,27.1
2020,Netherlands,C03,74.86
2020,Netherlands,C02,90.29
2020,Netherlands,C01,93.59
2020,Netherlands,C49,92.99
2020,Netherlands,C15,84.28
2020,Netherlands,C33,47.45
2020,Netherlands,C32,92.67
2020,Netherlands,C31,86.12
2020,Netherlands,C22,85.97
2020,Netherlands,C21,80.67
2020,Netherlands,C20,93.35
2020,Netherlands,C12,92.93
2020,Netherlands,C11,84.97
2020,Netherlands,C10,89
2020,Norway,C04,93.65
2020,Norway,C03,92.01
2020,Norway,C02,85.4
2020,Norway,C01,89.73
2020,Poland,C44,92.95
2020,Poland,C45,89.7
2020,Poland,C09,91.67
2020,Poland,C01,93.8
2020,Poland,C10,95.11
2020,Poland,C06,89.57
2020,Poland,C05,94.97
2020,Poland,C11,92.51
2020,Poland,C12,92.38
2020,Poland,C13,92.27
2020,Poland,C43,96.17
2020,Poland,C42,92.86
2020,Poland,C41,90.77
2020,Poland,C30,87.19
2020,Poland,C29,96.97
2020,Poland,C35,93.68
2020,Poland,C34,94.03
2020,Poland,C33,98.17
2020,Poland,C32,92.44
2020,Poland,C31,51.7
2020,Poland,C27,94.61
2020,Poland,C26,86.26
2020,Poland,C25,93.6
2020,Poland,C24,90.41
2020,Poland,C23,90.63
2020,Poland,C22,93.4
2020,Bosnia and Herzegovina,C01,64.29
2020,Bulgaria,C06,92.97
2020,Bulgaria,C12,88.85
2020,Bulgaria,C11,93.44
2020,Bulgaria,C10,88
2020,Poland,C21,91.13
2020,Poland,C20,97.32
2020,Poland,C19,94.2
2020,Poland,C56,83.54
2020,Poland,C47,97.93
2020,Poland,C16,96.89
2020,Poland,C15,90.91
2020,Poland,C52,85.4
2020,Poland,C50,94.72
2020,Poland,C53,98.09
2020,Bulgaria,C09,90.12
2020,Bulgaria,C05,93.67
2020,Bulgaria,C04,35.2
2020,Bulgaria,C03,78.3
2020,Poland,C54,94.59
2020,Poland,C48,99.23
2020,Poland,C55,94.2
2020,Poland,C60,94.57
2020,Poland,C59,97.28
2020,Poland,C08,97.65
2020,Poland,C07,95.89
2020,Poland,C37,98.37
2020,Poland,C36,97.36
2020,Poland,C18,81.34
2020,Poland,C17,92.25
2020,Poland,C62,91.64
2020,Poland,C61,93.28
2020,Poland,C04,90.45
2020,Poland,C03,82.92
2020,Poland,C02,93.57
2020,Poland,C40,94.02
2020,Poland,C39,95.06
2020,Poland,C38,98.61
2020,Poland,C14,90.54
2020,Bulgaria,C02,87.65
2020,Bulgaria,C01,89.18
2020,Bulgaria,C08,92.07
2020,Bulgaria,C07,93.42
2020,Belarus,C09,93.7
2020,Poland,C28,93.76
2020,Poland,C46,91.99
2020,Poland,C49,93.65
2020,Poland,C51,94.98
2020,Poland,C63,92.62
2020,Poland,C58,93.83
2020,Poland,C57,93.52
2020,Portugal,C05,91.14
2020,Portugal,C04,98.71
2020,Portugal,C03,76.01
2020,Portugal,C02,98.22
2020,Portugal,C07,98.99
2020,Portugal,C06,91.69
2020,Portugal,C01,95.96
2020,Romania,C13,87.35
2020,Romania,C15,91.7
2020,Romania,C01,82.4
2020,Romania,C03,85.57
2020,Romania,C04,83.8
2020,Romania,C14,38.5
2020,Romania,C10,45.6
2020,Romania,C07,84.75
2020,Romania,C02,90.57
2020,Belarus,C07,91.0
2020,Belarus,C06,75.7
2020,Belarus,C05,54.9
2020,Belarus,C04,93.0
2020,Romania,C12,60.4
2020,Romania,C11,78.7
2020,Romania,C06,91.44
2020,Romania,C08,30.2
2020,Romania,C09,80.36
2020,Romania,C05,88.24
2020,Serbia,C02,64.8
2020,Serbia,C03,68.04
2020,Serbia,C04,36.78
2020,Serbia,C10,32.5
2020,Serbia,C09,37.0
2020,Serbia,C08,76.28
2020,Serbia,C07,19.6
2020,Serbia,C06,85
2020,Serbia,C05,33.6
2020,Serbia,C01,90.28
2020,Slovakia,C03,91.84
2020,Slovakia,C05,92.3
2020,Slovakia,C02,94.1
2020,Slovakia,C04,84.38
2020,Slovakia,C06,95.13
2020,Slovakia,C01,95.78
2020,Slovakia,C07,93.35
2020,Slovenia,C01,92.53
2020,Spain,C34,96.93
2020,Spain,C02,98.89
2020,Spain,C04,97.04
2020,Spain,C03,97.85
2020,Spain,C07,99.68
2020,Spain,C06,93.21
2020,Spain,C05,92.01
2020,Belarus,C03,78.7
2020,Belarus,C02,79.8
2020,Belarus,C01,87.9
