Year,GeoAreaName,Value
2010,Türkiye,0
2011,Türkiye,0
2012,Türkiye,0
2013,Türkiye,0
2014,Türkiye,0
2015,Türkiye,0
2016,Türkiye,0
2017,Türkiye,0
2018,Türkiye,0
2019,Türkiye,0
2020,Türkiye,0
2019,Turkmenistan,0
2005,Ukraine,12878802.66162
2006,Ukraine,3663366.33663
2007,Ukraine,2706631.68317
2008,Ukraine,58800461.34569
2009,Ukraine,4241231.77431
2010,Ukraine,18650.13358
2005,Albania,0
2006,Albania,0
2007,Albania,0
2008,Albania,0
2009,Albania,0
2010,Albania,0
2011,Ukraine,251016.6173
2012,Ukraine,1571893.38005
2013,Ukraine,832728.63756
2014,Ukraine,9001657.31448
2015,Ukraine,4128751.02975
2016,Ukraine,2568938.55186
2011,Albania,0
2012,Albania,0
2013,Albania,0
2014,Albania,0
2015,Albania,0
2016,Albania,0
2017,Ukraine,1012245.54558
2018,Ukraine,2338349.33181
2019,Ukraine,6977701.04002
2020,Ukraine,6219843.95401
2019,Uzbekistan,0
2020,Uzbekistan,0
2018,Albania,0
2019,Albania,0
2020,Albania,0
2018,Austria,500000000
2017,Armenia,31220.3762
2019,Armenia,0
2020,Armenia,0
2005,Bulgaria,1122045.10659
2006,Bulgaria,0
2007,Bulgaria,0
2008,Bulgaria,6.732
2009,Bulgaria,0
2010,Bulgaria,12537.8426
2011,Bulgaria,0
2012,Bulgaria,180675.00181
2013,Bulgaria,0
2014,Bulgaria,0
2015,Bulgaria,236439.05769
2016,Bulgaria,0
2017,Bulgaria,9039745.15454
2018,Bulgaria,302624.55717
2019,Bulgaria,2287.99967
2020,Bulgaria,0
2015,Belarus,0
2016,Belarus,0
2017,Belarus,0
2018,Belarus,0
2019,Belarus,0
2020,Belarus,0
2017,Croatia,0
2017,Cyprus,0
2017,Czechia,36782.6087
2015,Denmark,0
2016,Denmark,0
2017,Denmark,0
2018,Denmark,0
2019,Denmark,0
2020,Denmark,0
2005,Estonia,3814432.13906
2006,Estonia,0
2007,Estonia,0
2008,Estonia,0
2009,Estonia,0
2010,Estonia,0
2011,Estonia,2783383.8608
2012,Estonia,0
2013,Estonia,0
2014,Estonia,0
2015,Estonia,0
2016,Estonia,0
2017,Estonia,0
2018,Estonia,0
2015,Finland,0
2016,Finland,0
2017,Finland,0
2018,Finland,0
2019,Finland,0
2015,France,1109625408.99267
2016,France,1123196657.96873
2017,France,1185746540.60141
2017,Georgia,0
2018,Georgia,0
2020,Georgia,1.2513
2015,Germany,0
2017,Germany,0
2020,Hungary,0
2015,Ireland,0
2016,Ireland,147044829.93842
2017,Ireland,50817702.57029
2005,Kazakhstan,0
2006,Kazakhstan,0
2007,Kazakhstan,0
2008,Kazakhstan,0
2009,Kazakhstan,0
2010,Kazakhstan,0
2011,Kazakhstan,0
2012,Kazakhstan,0
2013,Kazakhstan,0
2014,Kazakhstan,0
2015,Kazakhstan,0
2016,Kazakhstan,0
2017,Kazakhstan,0
2018,Kazakhstan,1578.94737
2019,Kazakhstan,1475.85586
2020,Kazakhstan,0
2012,Kyrgyzstan,0
2015,Kyrgyzstan,255566.87721
2018,Kyrgyzstan,83912.58264
2019,Kyrgyzstan,0
2018,Montenegro,0
2017,Netherlands,0
2018,Netherlands,0
2019,Netherlands,0
2017,Norway,25173282.27879
2017,Poland,0
2005,Romania,178721.55678
2006,Romania,175415.80634
2007,Romania,270001.64049
2008,Romania,1314410.65544
2009,Romania,686195.52028
2010,Romania,94552.37736
2011,Romania,4901697.82851
2012,Romania,687203.73681
2013,Romania,1899737.07143
2014,Romania,399238.62415
2015,Romania,538628.7041
2016,Romania,29722.60544
2017,Romania,1138548.55028
2018,Romania,201669925.86225
2020,Serbia,0
2019,Slovenia,0
2020,Slovenia,0
2015,Sweden,0
2016,Sweden,0
2017,Sweden,0
2018,Sweden,0
2019,Sweden,0
2020,Sweden,0
2005,Switzerland,545832395.81577
2006,Switzerland,289454783.79663
2007,Switzerland,371900390.56677
2008,Switzerland,284517534.09227
2009,Switzerland,323866650.82314
2010,Switzerland,239104500.00918
2011,Switzerland,329591366.30053
2012,Switzerland,319886049.51636
2013,Switzerland,273169806.07098
2014,Switzerland,289285159.90895
2015,Switzerland,390523831.24169
2016,Switzerland,301856941.70485
2017,Switzerland,279065717.19041
2018,Switzerland,384638875.71061
2019,Switzerland,247614334.88316
2015,Tajikistan,9.48982
2016,Tajikistan,155355.0462
2017,Tajikistan,0
2018,Tajikistan,0
2019,Tajikistan,0
2020,Tajikistan,0
2005,Türkiye,0
2006,Türkiye,0
2007,Türkiye,0
2008,Türkiye,0
2009,Türkiye,0
2005,Bulgaria,1122045.10659
2006,Bulgaria,0
2007,Bulgaria,0
2008,Bulgaria,6.732
2009,Bulgaria,0
2010,Bulgaria,12537.8426
2011,Bulgaria,0
2012,Bulgaria,180675.00181
2013,Bulgaria,0
2014,Bulgaria,0
2015,Bulgaria,236439.05769
2016,Bulgaria,0
2017,Bulgaria,9039745.15454
2018,Bulgaria,302624.55717
2019,Bulgaria,2287.99967
2020,Bulgaria,0
2015,Belarus,0
2016,Belarus,0
2017,Belarus,0
2018,Belarus,0
2019,Belarus,0
2020,Belarus,0
2017,Croatia,0
2017,Cyprus,0
2017,Czechia,36782.6087
2015,Denmark,0
2016,Denmark,0
2017,Denmark,0
2018,Denmark,0
2019,Denmark,0
2020,Denmark,0
2005,Estonia,3814432.13906
2006,Estonia,0
2007,Estonia,0
2008,Estonia,0
2009,Estonia,0
2005,Albania,0
2006,Albania,0
2007,Albania,0
2008,Albania,0
2009,Albania,0
2010,Albania,0
2011,Albania,0
2012,Albania,0
2013,Albania,0
2014,Albania,0
2015,Albania,0
2016,Albania,0
2018,Albania,0
2019,Albania,0
2020,Albania,0
2018,Austria,500000000
2017,Armenia,31220.3762
2019,Armenia,0
2010,Estonia,0
2011,Estonia,2783383.8608
2012,Estonia,0
2013,Estonia,0
2014,Estonia,0
2015,Estonia,0
2016,Estonia,0
2017,Estonia,0
2018,Estonia,0
2015,Finland,0
2016,Finland,0
2017,Finland,0
2018,Finland,0
2019,Finland,0
2015,France,1109625408.99267
2016,France,1123196657.96873
2017,France,1185746540.60141
2017,Georgia,0
2018,Georgia,0
2020,Georgia,1.2513
2015,Germany,0
2017,Germany,0
2020,Hungary,0
2015,Ireland,0
2016,Ireland,147044829.93842
2017,Ireland,50817702.57029
2005,Kazakhstan,0
2006,Kazakhstan,0
2007,Kazakhstan,0
2008,Kazakhstan,0
2009,Kazakhstan,0
2010,Kazakhstan,0
2011,Kazakhstan,0
2012,Kazakhstan,0
2013,Kazakhstan,0
2014,Kazakhstan,0
2015,Kazakhstan,0
2016,Kazakhstan,0
2017,Kazakhstan,0
2018,Kazakhstan,1578.94737
2019,Kazakhstan,1475.85586
2020,Kazakhstan,0
2012,Kyrgyzstan,0
2015,Kyrgyzstan,255566.87721
2018,Kyrgyzstan,83912.58264
2019,Kyrgyzstan,0
2018,Montenegro,0
2017,Netherlands,0
2018,Netherlands,0
2019,Netherlands,0
2017,Norway,25173282.27879
2017,Poland,0
2005,Romania,178721.55678
2006,Romania,175415.80634
2007,Romania,270001.64049
2008,Romania,1314410.65544
2009,Romania,686195.52028
2010,Romania,94552.37736
2011,Romania,4901697.82851
2012,Romania,687203.73681
2013,Romania,1899737.07143
2014,Romania,399238.62415
2015,Romania,538628.7041
2016,Romania,29722.60544
2017,Romania,1138548.55028
2018,Romania,201669925.86225
2020,Serbia,0
2019,Slovenia,0
2020,Slovenia,0
2015,Sweden,0
2016,Sweden,0
2017,Sweden,0
2018,Sweden,0
2019,Sweden,0
2020,Sweden,0
2005,Switzerland,545832395.81577
2006,Switzerland,289454783.79663
2007,Switzerland,371900390.56677
2008,Switzerland,284517534.09227
2009,Switzerland,323866650.82314
2010,Switzerland,239104500.00918
2011,Switzerland,329591366.30053
2012,Switzerland,319886049.51636
2013,Switzerland,273169806.07098
2014,Switzerland,289285159.90895
2015,Switzerland,390523831.24169
2016,Switzerland,301856941.70485
2017,Switzerland,279065717.19041
2018,Switzerland,384638875.71061
2019,Switzerland,247614334.88316
2015,Tajikistan,9.48982
2016,Tajikistan,155355.0462
2017,Tajikistan,0
2018,Tajikistan,0
2019,Tajikistan,0
2020,Tajikistan,0
2005,Türkiye,0
2006,Türkiye,0
2007,Türkiye,0
2008,Türkiye,0
2009,Türkiye,0
2010,Türkiye,0
2011,Türkiye,0
2012,Türkiye,0
2013,Türkiye,0
2014,Türkiye,0
2015,Türkiye,0
2016,Türkiye,0
2017,Türkiye,0
2018,Türkiye,0
2019,Türkiye,0
2020,Türkiye,0
2019,Turkmenistan,0
2005,Ukraine,12878802.66162
2006,Ukraine,3663366.33663
2007,Ukraine,2706631.68317
2008,Ukraine,58800461.34569
2009,Ukraine,4241231.77431
2010,Ukraine,18650.13358
2011,Ukraine,251016.6173
2012,Ukraine,1571893.38005
2013,Ukraine,832728.63756
2014,Ukraine,9001657.31448
2015,Ukraine,4128751.02975
2016,Ukraine,2568938.55186
2017,Ukraine,1012245.54558
2020,Armenia,0
2018,Ukraine,2338349.33181
2019,Ukraine,6977701.04002
2020,Ukraine,6219843.95401
2019,Uzbekistan,0
2020,Uzbekistan,0
2020,Uzbekistan,0
