Year,GeoAreaName,Hazard type,Value
2005,Albania,,1406925
2006,Albania,,121837.5
2007,Albania,,433125
2008,Albania,,459000
2009,Albania,,4272000
2010,Albania,,2509800
2011,Albania,,94500
2012,Albania,,248362.5
2013,Albania,,135000
2014,Albania,,1004550
2015,Albania,,0
2016,Albania,,60075
2018,Albania,,5089074.35224
2019,Albania,,1678875
2020,Albania,,256687.5
2018,Austria,,0
2019,Austria,,0
2020,Austria,,0
2005,Armenia,,825187.5
2006,Armenia,,1301025
2007,Armenia,,2328450
2008,Armenia,,1055362.5
2009,Armenia,,1372275
2010,Armenia,,6961087.5
2011,Armenia,,341250
2012,Armenia,,91875
2013,Armenia,,2197800
2014,Armenia,,6292350
2015,Armenia,,3077812.5
2016,Armenia,,0
2017,Armenia,,6571125
2018,Armenia,,752881.50588
2019,Armenia,,147979.96585
2020,Armenia,,465918.86166
2005,Bulgaria,,5884545.55903
2006,Bulgaria,,6480000
2007,Bulgaria,,7477312.5
2008,Bulgaria,,404668.11978
2009,Bulgaria,,7820.99867
2010,Bulgaria,,538418.05423
2011,Bulgaria,,0
2012,Bulgaria,,9699152.46999
2013,Bulgaria,,529837.5
2014,Bulgaria,,889607.34301
2015,Bulgaria,,194481.04745
2016,Bulgaria,,5193617.32957
2017,Bulgaria,,10983168.70292
2018,Bulgaria,,35465470.71682
2019,Bulgaria,,339767.95107
2020,Bulgaria,,13959.30233
2015,Belarus,,0
2016,Belarus,,0
2017,Belarus,,0
2018,Belarus,,0
2019,Belarus,,0
2020,Belarus,,0
2017,Croatia,,3024383.62331
2007,Cyprus,,879626.23643
2008,Cyprus,,2913.42276
2009,Cyprus,,1872967.63159
2010,Cyprus,,356312.05896
2011,Cyprus,,66939.77922
2014,Cyprus,,500334.3375
2015,Cyprus,,18752.39246
2017,Cyprus,,0
2018,Cyprus,,0
2017,Czechia,,26000
2015,Denmark,,0
2016,Denmark,,0
2017,Denmark,,0
2018,Denmark,,0
2019,Denmark,,0
2020,Denmark,,0
2005,Estonia,,1589346.72461
2006,Estonia,,0
2007,Estonia,,0
2008,Estonia,,0
2009,Estonia,,0
2010,Estonia,,0
2011,Estonia,,0
2012,Estonia,,0
2013,Estonia,,0
2014,Estonia,,0
2015,Estonia,,0
2016,Estonia,,0
2017,Estonia,,0
2018,Estonia,,0
2015,Finland,,33434371.26849
2016,Finland,,62865629.44692
2017,Finland,,31281102.88812
2018,Finland,,61470516.21661
2019,Finland,,12214214.63744
2015,France,,1459157412.82536
2016,France,,2582799014.4818
2017,France,,4939594231.66154
2017,Georgia,,11714625
2018,Georgia,,13972500
2020,Georgia,,0
2015,Germany,,0
2017,Germany,,0
2020,Hungary,,0
2015,Ireland,,0
2016,Ireland,,0
2017,Ireland,,0
2005,Kazakhstan,,0
2006,Kazakhstan,,0
2007,Kazakhstan,,0
2008,Kazakhstan,,0
2009,Kazakhstan,,0
2010,Kazakhstan,,0
2011,Kazakhstan,,0
2012,Kazakhstan,,0
2013,Kazakhstan,,0
2014,Kazakhstan,,0
2015,Kazakhstan,,0
2016,Kazakhstan,,0
2017,Kazakhstan,,0
2018,Kazakhstan,,3947368.42105
2019,Kazakhstan,,0
2020,Kazakhstan,,0
2005,Kyrgyzstan,,18298800
2012,Kyrgyzstan,,1370512.5
