Year,GeoAreaName,Value
2012,Kazakhstan,0
2013,Kazakhstan,0
2014,Kazakhstan,2
2015,Kazakhstan,0
2016,Kazakhstan,1
2017,Kazakhstan,12
2018,Kazakhstan,5
2019,Kazakhstan,3
2020,Kazakhstan,6
2015,Kyrgyzstan,123
2016,Kyrgyzstan,10
2017,Kyrgyzstan,12
2018,Kyrgyzstan,76
2019,Kyrgyzstan,38
2017,Luxembourg,0
2018,Luxembourg,0
2020,Montenegro,3
2021,Montenegro,1
2017,Netherlands,0
2019,Netherlands,0
2017,Norway,0
2021,Portugal,0
2018,Romania,4
2019,Romania,0
2020,Romania,0
2021,Romania,0
2020,Serbia,5
2021,Serbia,1
2015,Sweden,0
2016,Sweden,0
2017,Sweden,0
2018,Sweden,0
2019,Sweden,0
2020,Sweden,3
2015,Tajikistan,45
2016,Tajikistan,27
2005,Albania,50
2006,Albania,4
2007,Albania,5
2008,Albania,1
2009,Albania,6
2010,Albania,26
2017,Tajikistan,13
2018,Tajikistan,99
2019,Tajikistan,2
2020,Tajikistan,22
2015,Türkiye,136
2016,Türkiye,20329
2017,Türkiye,735
2018,Türkiye,289
2019,Türkiye,876
2020,Türkiye,432
2021,Türkiye,8
2005,Ukraine,47
2011,Albania,11
2012,Albania,21
2013,Albania,2
2014,Albania,1
2015,Albania,19
2016,Albania,7
2006,Ukraine,35
2007,Ukraine,50
2008,Ukraine,30
2009,Ukraine,39
2010,Ukraine,22
2011,Ukraine,2
2018,Albania,1
2019,Albania,5
2020,Albania,4
2018,Austria,26
2019,Austria,41
2020,Austria,21
2012,Ukraine,7
2013,Ukraine,10
2014,Ukraine,6
2015,Ukraine,6
2016,Ukraine,18
2017,Ukraine,35
2017,Armenia,0
2018,Armenia,4
2019,Armenia,34
2020,Armenia,24
2021,Armenia,29
2005,Bulgaria,31
2018,Ukraine,5
2019,Ukraine,115
2020,Ukraine,9
2021,Ukraine,12
2019,Uzbekistan,0
2020,Uzbekistan,11757
2006,Bulgaria,0
2007,Bulgaria,6
2008,Bulgaria,4
2009,Bulgaria,0
2010,Bulgaria,4
2011,Bulgaria,1
2012,Bulgaria,14
2013,Bulgaria,2
2014,Bulgaria,11
2015,Bulgaria,22
2016,Bulgaria,10
2017,Bulgaria,13
2018,Bulgaria,42
2019,Bulgaria,0
2020,Bulgaria,16
2021,Bulgaria,69
2015,Belarus,0
2016,Belarus,0
2017,Belarus,0
2018,Belarus,0
2019,Belarus,0
2020,Belarus,0
2021,Belarus,0
2017,Croatia,144
2015,Czechia,0
2016,Czechia,0
2017,Czechia,0
2020,Denmark,0
2005,Estonia,1
2006,Estonia,0
2007,Estonia,0
2008,Estonia,0
2009,Estonia,0
2010,Estonia,1
2011,Estonia,2
2012,Estonia,0
2013,Estonia,0
2014,Estonia,0
2015,Estonia,0
2016,Estonia,0
2017,Estonia,0
2018,Estonia,0
2015,Finland,22
2016,Finland,20
2017,Finland,16
2018,Finland,14
2019,Finland,0
2015,Georgia,1
2016,Georgia,0
2017,Georgia,6
2018,Georgia,0
2019,Georgia,0
2020,Georgia,0
2021,Georgia,0
2020,Hungary,0
2021,Hungary,13
2015,Ireland,0
2016,Ireland,1
2017,Ireland,494002
2005,Kazakhstan,1
2006,Kazakhstan,1
2007,Kazakhstan,0
2008,Kazakhstan,0
2009,Kazakhstan,1
2010,Kazakhstan,0
2011,Kazakhstan,0
2011,Kazakhstan,0
