Year,GeoAreaName,Value
2018,Austria,22
2020,Austria,13
2018,Armenia,4
2019,Armenia,34
2020,Armenia,24
2021,Armenia,29
2007,Bulgaria,1
2011,Bulgaria,1
2012,Bulgaria,6
2013,Bulgaria,1
2014,Bulgaria,5
2015,Bulgaria,11
2016,Bulgaria,5
2017,Bulgaria,0
2018,Bulgaria,34
2020,Bulgaria,6
2021,Bulgaria,69
2015,Belarus,0
2016,Belarus,0
2017,Belarus,0
2018,Belarus,0
2019,Belarus,0
2020,Belarus,0
2021,Belarus,0
2017,Croatia,144
2005,Estonia,1
2006,Estonia,0
2007,Estonia,0
2008,Estonia,0
2009,Estonia,0
2010,Estonia,1
2011,Estonia,1
2012,Estonia,0
2013,Estonia,0
2014,Estonia,0
2015,Estonia,0
2016,Estonia,0
2017,Estonia,0
2018,Estonia,0
2015,Finland,22
2016,Finland,20
2017,Finland,16
2018,Finland,14
2015,Georgia,1
2016,Georgia,0
2019,Georgia,0
2020,Georgia,0
2021,Georgia,0
2020,Hungary,0
2021,Hungary,13
2015,Ireland,0
2016,Ireland,0
2017,Ireland,494001
2005,Kazakhstan,1
2006,Kazakhstan,1
2007,Kazakhstan,0
2008,Kazakhstan,0
2009,Kazakhstan,1
2010,Kazakhstan,0
2011,Kazakhstan,0
2012,Kazakhstan,0
2013,Kazakhstan,0
2014,Kazakhstan,1
2015,Kazakhstan,0
2016,Kazakhstan,1
2017,Kazakhstan,12
2018,Kazakhstan,5
2019,Kazakhstan,3
2020,Kazakhstan,4
2015,Kyrgyzstan,12
2016,Kyrgyzstan,10
2017,Kyrgyzstan,9
2018,Kyrgyzstan,49
2019,Kyrgyzstan,29
2020,Montenegro,2
2021,Montenegro,1
2017,Netherlands,0
2019,Netherlands,0
2018,Romania,4
2019,Romania,0
2020,Romania,0
2021,Romania,0
2015,Sweden,0
2016,Sweden,0
2017,Sweden,0
2018,Sweden,0
2019,Sweden,0
2020,Sweden,1
2015,Türkiye,136
2016,Türkiye,20328
2017,Türkiye,733
2018,Türkiye,287
2019,Türkiye,865
2020,Türkiye,417
2005,Ukraine,31
2006,Ukraine,23
2007,Ukraine,30
2008,Ukraine,22
2009,Ukraine,31
2010,Ukraine,20
2011,Ukraine,2
2012,Ukraine,7
2013,Ukraine,10
2014,Ukraine,6
2015,Ukraine,4
2016,Ukraine,6
2018,Ukraine,5
2019,Ukraine,107
2020,Ukraine,9
2021,Ukraine,12
2019,Uzbekistan,0
2020,Uzbekistan,11733
2020,Uzbekistan,11733
