Year,GeoAreaName,Custom Breakdown,Value
2020,Italy,C01,76.2
2020,Italy,C02,42.2
2020,Kazakhstan,C01,44.8
2020,Kazakhstan,C02,28.1
2020,Kazakhstan,C03,7.6
2020,Kazakhstan,C04,26.2
2020,Kazakhstan,C06,33.3
2020,Kazakhstan,C12,29.1
2020,Kazakhstan,C07,29.5
2020,Kazakhstan,C08,38.9
2020,Kazakhstan,C09,35.4
2020,Kazakhstan,C10,20.3
2020,Kazakhstan,C11,36.4
2020,Kazakhstan,C13,19.8
2020,Kazakhstan,C14,7.4
2020,Kazakhstan,C15,22.0
2020,Kazakhstan,C16,11.0
2020,Kazakhstan,C17,53.2
2020,Kazakhstan,C18,16.6
2020,Kazakhstan,C05,44.8
2020,Kyrgyzstan,C01,74.7
2020,Kyrgyzstan,C09,71.2
2020,Kyrgyzstan,C10,66.7
2020,Kyrgyzstan,C04,36.3
2020,Azerbaijan,C01,57.0
2020,Austria,C01,72.4
2020,Belgium,C01,64.4
2020,Bulgaria,C01,85.0
2020,Kyrgyzstan,C05,49.6
2020,Kyrgyzstan,C06,62.0
2020,Kyrgyzstan,C07,89.1
2020,Kyrgyzstan,C08,46.3
2020,Kyrgyzstan,C11,96.1
2020,Kyrgyzstan,C03,33.9
2020,Kyrgyzstan,C02,59.5
2020,Lithuania,C01,61.4
2020,Bulgaria,C08,78.2
2020,Bulgaria,C07,63.8
2020,Bulgaria,C06,91.2
2020,Bulgaria,C05,66.9
2020,Bulgaria,C03,89.8
2020,Bulgaria,C02,84.1
2020,Bulgaria,C04,47.2
2020,Belarus,C02,50.2
2020,Belarus,C01,46.7
2020,Belarus,C03,42.1
2020,Belarus,C09,77.1
2020,Belarus,C08,50.8
2020,Belarus,C07,83.3
2020,Belarus,C06,47.4
2020,Belarus,C05,33.7
2020,Belarus,C10,69.0
2020,Netherlands,C01,91.9
2020,Poland,C01,70.8
2020,Poland,C02,49.4
2020,Poland,C03,67.1
2020,Poland,C04,49.1
2020,Poland,C06,61.6
2020,Poland,C07,64.8
2020,Poland,C05,52.3
2020,Poland,C08,56.0
2020,Romania,C08,48.8
2020,Romania,C01,51.5
2020,Romania,C02,54.1
2020,Romania,C03,50.2
2020,Romania,C04,60.6
2020,Romania,C05,44.5
2020,Romania,C06,66.8
2020,Belarus,C04,76.5
2020,France,C02,75.5
2020,France,C01,91.1
2020,France,C12,47.2
2020,Romania,C07,19.6
2020,Romania,C09,36.3
2020,Serbia,C06,73.2
2020,Serbia,C07,52.9
2020,France,C11,73.2
2020,France,C10,51.6
2020,France,C09,34.4
2020,France,C08,67.6
2020,Serbia,C08,37.6
2020,Serbia,C09,48.3
2020,Serbia,C01,63.8
2020,Serbia,C02,36.8
2020,France,C06,46.5
2020,France,C05,66.5
2020,France,C04,67.0
2020,France,C03,81.2
2020,Serbia,C04,45.0
2020,Serbia,C05,57.2
2020,Serbia,C03,17.7
2020,Spain,C01,63.1
2020,France,C07,39.0
2020,Germany,C01,68.2
2020,Germany,C02,76.4
2020,Germany,C03,90.6
2020,Switzerland,C01,81.8
2020,Switzerland,C02,77.1
2020,Switzerland,C03,87.8
2020,Switzerland,C04,80.3
2020,Switzerland,C05,76.9
2020,Switzerland,C07,82.9
2020,Switzerland,C08,85.4
2020,Switzerland,C10,67.6
2020,Switzerland,C09,81.9
2020,Switzerland,C06,70.1
2020,Tajikistan,C01,86.8
2020,Tajikistan,C03,54.8
2020,Tajikistan,C02,38.7
2020,Tajikistan,C11,41.0
2020,Tajikistan,C13,38.9
2020,Tajikistan,C04,40.4
2020,Tajikistan,C05,83.4
2020,Tajikistan,C06,56.5
2020,Tajikistan,C07,51.4
2020,Tajikistan,C08,42.7
2020,Tajikistan,C09,60.8
2020,Tajikistan,C10,51.6
2020,Tajikistan,C12,30.5
2020,Türkiye,C10,80.3
2020,Türkiye,C11,76.7
2020,Türkiye,C03,70.6
2020,Türkiye,C02,84.6
2020,Türkiye,C09,69.2
2020,Türkiye,C06,90.3
2020,Türkiye,C07,70.7
2020,Türkiye,C08,77.3
2020,Türkiye,C04,76.8
2020,Türkiye,C05,69.8
2020,Türkiye,C12,60.6
2020,Türkiye,C13,83.1
2020,Türkiye,C25,84.1
2020,Türkiye,C14,59.8
2020,Türkiye,C15,68.9
2020,Türkiye,C16,66.7
2020,Türkiye,C17,65.3
2020,Türkiye,C24,67.2
2020,Türkiye,C19,71.5
2020,Türkiye,C20,71.2
2020,Türkiye,C21,83.8
2020,Türkiye,C22,72.0
2020,Türkiye,C23,70.3
