Year,GeoAreaName,Policy instruments,Value
2019,Albania,POLICY_MACRO,1
2017,Azerbaijan,POLICY_MACRO,1
2017,Austria,POLICY_MACRO,1
2017,Austria,POLICY_VOLSRG,1
2021,Belgium,POLICY_VOLSRG,1
2021,Belgium,POLICY_REGLEG,1
2021,Belgium,POLICY_MACRO,1
2021,Belgium,POLICY_ECONFIS,1
2021,Bulgaria,POLICY_MACRO,1
2021,Bulgaria,POLICY_ECONFIS,1
2021,Bulgaria,POLICY_REGLEG,1
2021,Croatia,POLICY_REGLEG,1
2021,Croatia,POLICY_MACRO,1
2019,Czechia,POLICY_MACRO,1
2020,Finland,POLICY_MACRO,1
2020,Finland,POLICY_VOLSRG,1
2020,France,POLICY_MACRO,1
2020,France,POLICY_REGLEG,1
2021,Germany,POLICY_REGLEG,1
2021,Germany,POLICY_ECONFIS,1
2021,Germany,POLICY_VOLSRG,1
2021,Germany,POLICY_MACRO,1
2022,Hungary,POLICY_ECONFIS,1
2022,Hungary,POLICY_REGLEG,1
2022,Hungary,POLICY_VOLSRG,1
2022,Hungary,POLICY_MACRO,1
2017,Italy,POLICY_MACRO,1
2017,Italy,POLICY_REGLEG,1
2017,Kazakhstan,POLICY_MACRO,1
2020,Latvia,POLICY_MACRO,1
2020,Latvia,POLICY_REGLEG,1
2019,Lithuania,POLICY_MACRO,1
2017,Montenegro,POLICY_MACRO,1
2020,Netherlands,POLICY_MACRO,1
2022,Norway,POLICY_VOLSRG,1
2022,Norway,POLICY_MACRO,1
2022,Norway,POLICY_REGLEG,1
2020,Poland,POLICY_MACRO,1
2020,Romania,POLICY_MACRO,1
2022,Serbia,POLICY_REGLEG,1
2022,Serbia,POLICY_MACRO,1
2022,Serbia,POLICY_VOLSRG,1
2021,Slovakia,POLICY_REGLEG,1
2021,Slovakia,POLICY_MACRO,1
2021,Slovakia,POLICY_VOLSRG,1
2021,Slovakia,POLICY_ECONFIS,1
2021,Slovenia,POLICY_REGLEG,1
2022,Sweden,POLICY_MACRO,1
2022,Sweden,POLICY_ECONFIS,1
2022,Sweden,POLICY_REGLEG,1
2022,Sweden,POLICY_VOLSRG,1
2021,Switzerland,POLICY_REGLEG,1
2021,Switzerland,POLICY_MACRO,1
2021,Switzerland,POLICY_VOLSRG,1
2022,Türkiye,POLICY_MACRO,1
2022,Türkiye,POLICY_REGLEG,1
2020,Ukraine,POLICY_MACRO,1
2020,Ukraine,POLICY_MACRO,1
