Year,GeoAreaName,Food Waste Sector,Value
2019,Albania,RTL,15.64016
2019,Albania,OOHC,27.64795
2019,Albania,HHS,82.7834
2019,Albania,ALL,126.07151
2019,Azerbaijan,ALL,136.33146
2019,Azerbaijan,RTL,15.6402
2019,Azerbaijan,OOHC,27.64802
2019,Azerbaijan,HHS,93.04324
2019,Austria,RTL,8.63071
2019,Austria,OOHC,28.385
2019,Austria,HHS,38.99997
2019,Austria,ALL,76.01567
2019,Armenia,RTL,15.64008
2019,Armenia,OOHC,27.64781
2019,Armenia,HHS,93.04253
2019,Armenia,ALL,136.33043
2019,Belgium,ALL,79.33804
2019,Belgium,HHS,49.9194
2019,Belgium,OOHC,19.70402
2019,Belgium,RTL,9.71462
2019,Bosnia and Herzegovina,RTL,15.64024
2019,Bosnia and Herzegovina,OOHC,27.64809
2019,Bosnia and Herzegovina,HHS,82.78382
2019,Bosnia and Herzegovina,ALL,126.07215
2019,Bulgaria,RTL,15.64019
2019,Bulgaria,OOHC,27.64801
2019,Bulgaria,HHS,68.3799
2019,Bulgaria,ALL,111.6681
2019,Belarus,RTL,15.64021
2019,Belarus,OOHC,27.64805
2019,Belarus,HHS,68.38
2019,Belarus,ALL,111.66826
2019,Croatia,RTL,12.81131
2019,Croatia,OOHC,25.57042
2019,Croatia,HHS,84.2724
2019,Croatia,ALL,122.65414
2019,Cyprus,RTL,12.81159
2019,Cyprus,OOHC,25.57097
2019,Cyprus,HHS,94.53407
2019,Cyprus,ALL,132.91663
2019,Czechia,RTL,12.81129
2019,Czechia,OOHC,25.57039
2019,Czechia,HHS,69.86859
2019,Czechia,ALL,108.25027
2019,Denmark,RTL,29.80012
2019,Denmark,OOHC,20.64047
2019,Denmark,HHS,81.33385
2019,Denmark,ALL,131.77444
2019,Estonia,RTL,4.70923
2019,Estonia,OOHC,16.60513
2019,Estonia,HHS,77.5043
2019,Estonia,ALL,98.81866
2019,Finland,OOHC,23.30508
2019,Finland,HHS,65.42417
2019,Finland,ALL,101.54066
2019,Finland,RTL,12.8114
2019,France,ALL,134.87704
2019,France,HHS,84.79013
2019,France,RTL,25.60379
