Year,GeoAreaName,Value
2015,Albania,33.33
2020,Albania,80
2015,Azerbaijan,100
2020,Azerbaijan,100
2015,Austria,100
2020,Austria,100
2015,Armenia,100
2020,Armenia,100
2015,Belgium,100
2020,Belgium,100
2015,Bosnia and Herzegovina,50
2020,Bosnia and Herzegovina,80
2015,Bulgaria,100
2020,Bulgaria,100
2015,Belarus,50
2020,Belarus,20
2015,Croatia,100
2020,Croatia,100
2015,Cyprus,100
2020,Cyprus,80
2015,Czechia,100
2020,Czechia,100
2015,Denmark,100
2020,Denmark,80
2015,Estonia,100
2020,Estonia,100
2015,Finland,100
2020,Finland,100
2015,France,50
2020,France,100
2015,Georgia,100
2020,Georgia,80
2015,Germany,100
2020,Germany,100
2015,Greece,100
2020,Greece,80
2015,Hungary,100
2020,Hungary,100
2015,Iceland,33.33
2020,Iceland,80
2015,Ireland,83.33
2020,Ireland,100
2015,Italy,83.33
2020,Italy,100
2015,Kazakhstan,33.33
2020,Kazakhstan,60
2015,Kyrgyzstan,100
2020,Kyrgyzstan,100
2015,Latvia,100
2020,Latvia,100
2015,Liechtenstein,50
2020,Liechtenstein,20
2015,Lithuania,100
2020,Lithuania,100
2015,Luxembourg,83.33
2020,Luxembourg,60
2015,Malta,100
2020,Malta,80
2015,Republic of Moldova,33.33
2020,Republic of Moldova,40
2015,Montenegro,100
2020,Montenegro,100
2015,Netherlands,66.67
2020,Netherlands,40
2015,Norway,100
2020,Norway,80
2015,Poland,100
2020,Poland,100
2015,Portugal,100
2020,Portugal,100
2015,Romania,50
2020,Romania,40
2015,Serbia,100
2020,Serbia,80
2015,Slovakia,100
2020,Slovakia,100
2015,Slovenia,100
2020,Slovenia,80
2015,Spain,66.67
2020,Spain,60
2015,Sweden,100
2020,Sweden,80
2015,Switzerland,66.67
2020,Switzerland,100
2015,Tajikistan,16.67
2020,Tajikistan,20
2015,Türkiye,50
2020,Türkiye,100
2015,Turkmenistan,16.67
2020,Turkmenistan,20
2015,Ukraine,66.67
2020,Ukraine,40
2015,North Macedonia,16.67
2020,North Macedonia,20
2015,Uzbekistan,66.67
2020,Uzbekistan,20
2020,Uzbekistan,20
