Year,GeoAreaName,Value
2000,Armenia,120.42768
2001,Armenia,119.84805
2002,Armenia,121.70543
2003,Armenia,111.57056
2004,Armenia,114.62141
2005,Armenia,113.6518
2006,Armenia,116.39865
2007,Armenia,120.58176
2008,Armenia,146.5628
2009,Armenia,148.77847
2010,Armenia,147.77817
2011,Armenia,158.04015
2012,Armenia,161.44054
2013,Armenia,199.57703
2014,Armenia,199.4579
2015,Armenia,192.82899
2016,Armenia,214.76136
2017,Armenia,188.57932
2018,Armenia,180.09809
2019,Armenia,202.2749
2004,Belgium,497.07211
2006,Belgium,381.65676
2008,Belgium,551.78314
2010,Belgium,438.25356
2012,Belgium,252.53519
2014,Belgium,264.93767
2016,Belgium,336.92085
2018,Belgium,342.04692
2020,Belgium,341.26237
2008,Bosnia and Herzegovina,2.685
2009,Bosnia and Herzegovina,2.48391
2010,Bosnia and Herzegovina,2.70789
2012,Bosnia and Herzegovina,257.43787
2014,Bosnia and Herzegovina,2.43709
2016,Bosnia and Herzegovina,3.81846
2018,Bosnia and Herzegovina,4.16514
2020,Bosnia and Herzegovina,2.99632
2004,Bulgaria,1512.69288
2006,Bulgaria,1744.96989
2008,Bulgaria,1699.39125
2010,Bulgaria,1785.16803
2012,Bulgaria,1790.3881
2014,Bulgaria,1655.71539
2016,Bulgaria,1839.4263
2018,Bulgaria,1887.20734
2020,Bulgaria,1999.06937
2000,Belarus,7.12164
2001,Belarus,9.71552
2002,Belarus,11.52931
2003,Belarus,12.3104
2004,Belarus,15.42044
2005,Belarus,19.3253
2006,Belarus,24.18301
2007,Belarus,32.82113
2008,Belarus,53.34177
2009,Belarus,77.93838
2010,Belarus,94.3541
2011,Belarus,97.16717
2012,Belarus,136.45804
2013,Belarus,146.05304
2014,Belarus,177.8488
2015,Belarus,124.50765
2016,Belarus,167.55167
2017,Belarus,171.8244
2018,Belarus,226.85
2019,Belarus,213.49454
2020,Belarus,237.35162
2021,Belarus,211.13098
2004,Croatia,25.49833
2006,Croatia,174.557
2008,Croatia,50.33271
2010,Croatia,16.60753
2000,Azerbaijan,3.24236
2001,Azerbaijan,1.98466
2002,Azerbaijan,1.1678
2003,Azerbaijan,3.17419
2004,Azerbaijan,1.30701
2005,Azerbaijan,1.48228
2006,Azerbaijan,3.37462
2007,Azerbaijan,1.17938
2008,Azerbaijan,2.69742
2009,Azerbaijan,14.45662
2010,Azerbaijan,15.15296
2011,Azerbaijan,19.83927
2012,Azerbaijan,31.30853
2013,Azerbaijan,21.10172
2014,Azerbaijan,46.87237
2015,Azerbaijan,19.43727
2016,Azerbaijan,63.00872
2017,Azerbaijan,18.59005
2018,Azerbaijan,31.44483
2019,Azerbaijan,29.01596
2020,Azerbaijan,27.56546
2021,Azerbaijan,23.77795
2004,Austria,124.06071
2006,Austria,116.34332
2008,Austria,159.83212
2012,Croatia,28.03101
2014,Croatia,30.40146
2016,Croatia,41.27256
2018,Croatia,41.90617
2020,Croatia,45.63386
2004,Cyprus,109.07886
2006,Cyprus,16.07011
2008,Cyprus,21.77427
2010,Cyprus,33.02776
2012,Cyprus,26.86335
2014,Cyprus,147.02696
2016,Cyprus,132.80106
2018,Cyprus,184.02141
2020,Cyprus,24.2619
2004,Czechia,140.924
2006,Czechia,126.84168
2008,Czechia,145.53971
2010,Czechia,130.2338
2012,Czechia,140.92587
