Year,GeoAreaName,Type of waste treatment,Value
2010,Albania,RECYCL,98366
2010,Albania,INCINRT_EGY,264
2012,Albania,RECYCL,42127
2012,Albania,INCINRT_EGY,139
2013,Albania,RECYCL,0
2014,Albania,LANDFIL,0
2014,Albania,OTHERWM,0
2014,Albania,INCINRT_EGY,2286
2014,Albania,RECYCL,56251
2014,Albania,INCINRT,0
2015,Albania,RECYCL,0
2016,Albania,RECYCL,57403
2016,Albania,INCINRT_EGY,4554
2018,Albania,RECYCL,55921
2018,Albania,INCINRT_EGY,11474
2020,Albania,RECYCL,78209
2020,Albania,INCINRT_EGY,5604
2000,Azerbaijan,RECYCL,11435
2000,Azerbaijan,LANDFIL,15348
2001,Azerbaijan,RECYCL,395
2001,Azerbaijan,LANDFIL,4532
2002,Azerbaijan,LANDFIL,1607
2002,Azerbaijan,RECYCL,728
2002,Azerbaijan,INCINRT,1007
2003,Azerbaijan,INCINRT,9747
2018,Denmark,LANDFIL,139322
2020,Denmark,RECYCL,9334607
2020,Denmark,OTHERWM,830
2020,Denmark,LANDFIL,95687
2020,Denmark,INCINRT_EGY,217250
2020,Denmark,INCINRT,939
2004,Estonia,OTHERWM,298
2004,Estonia,INCINRT,477
2004,Estonia,INCINRT_EGY,44094
2004,Estonia,LANDFIL,6643259
2006,Estonia,INCINRT,40
2006,Estonia,LANDFIL,6315240
2006,Estonia,OTHERWM,221300
2003,Azerbaijan,RECYCL,1359
2003,Azerbaijan,LANDFIL,386
2004,Azerbaijan,RECYCL,3836
2004,Azerbaijan,INCINRT,969
2004,Azerbaijan,LANDFIL,100360
2005,Azerbaijan,INCINRT,38
2005,Azerbaijan,RECYCL,4911
2005,Azerbaijan,LANDFIL,622
2006,Azerbaijan,INCINRT,25999
2006,Azerbaijan,RECYCL,3263
2006,Azerbaijan,LANDFIL,1406220
2006,Estonia,INCINRT_EGY,32647
2008,Estonia,OTHERWM,0
2008,Estonia,LANDFIL,6429778
2008,Estonia,INCINRT_EGY,36806
2008,Estonia,INCINRT,0
2010,Estonia,INCINRT,0
2010,Estonia,RECYCL,143043
2010,Estonia,INCINRT_EGY,15968
2010,Estonia,OTHERWM,0
2010,Estonia,LANDFIL,7979192
2012,Estonia,OTHERWM,0
2012,Estonia,INCINRT,38
2012,Estonia,RECYCL,22364
2007,Azerbaijan,RECYCL,4926
2007,Azerbaijan,LANDFIL,1510
2007,Azerbaijan,INCINRT,1241
2008,Azerbaijan,INCINRT,8599
2008,Azerbaijan,RECYCL,4741
2008,Azerbaijan,LANDFIL,55840
2009,Azerbaijan,LANDFIL,144517.7969
2009,Azerbaijan,RECYCL,18739.0996
2009,Azerbaijan,INCINRT,10401.2002
2010,Azerbaijan,LANDFIL,87314.6016
2010,Azerbaijan,INCINRT,58429.1016
2012,Estonia,LANDFIL,7466476
2012,Estonia,INCINRT_EGY,18666
2014,Estonia,INCINRT,20
2014,Estonia,LANDFIL,8983360
2014,Estonia,RECYCL,3220
2014,Estonia,INCINRT_EGY,15279
2014,Estonia,OTHERWM,0
2016,Estonia,INCINRT_EGY,12729
2016,Estonia,OTHERWM,0
2016,Estonia,INCINRT,59
2016,Estonia,LANDFIL,9232944
2016,Estonia,RECYCL,2739
2018,Estonia,RECYCL,2667
2010,Azerbaijan,RECYCL,5548.2002
2011,Azerbaijan,LANDFIL,97530.2969
2011,Azerbaijan,RECYCL,3619.1001
2011,Azerbaijan,INCINRT,37132.1016
2012,Azerbaijan,LANDFIL,84996.2031
2012,Azerbaijan,RECYCL,6316.6001
2012,Azerbaijan,INCINRT,113898.3984
2013,Azerbaijan,LANDFIL,65401.1016
2013,Azerbaijan,INCINRT,86426.5
2013,Azerbaijan,RECYCL,618.4
2014,Azerbaijan,INCINRT,111309.5
2018,Estonia,INCINRT_EGY,16345
2018,Estonia,INCINRT,43
2018,Estonia,LANDFIL,10068058
2018,Estonia,OTHERWM,0
2020,Estonia,INCINRT,4
2020,Estonia,OTHERWM,0
2020,Estonia,LANDFIL,979835
2020,Estonia,INCINRT_EGY,7004
2004,Finland,LANDFIL,1818793
2004,Finland,INCINRT,93676
2004,Finland,OTHERWM,666
2004,Finland,INCINRT_EGY,147958
2006,Finland,OTHERWM,54
2014,Azerbaijan,LANDFIL,414633.5938
2014,Azerbaijan,RECYCL,3163.3999
2015,Azerbaijan,LANDFIL,166965.0938
2015,Azerbaijan,INCINRT,210858
2015,Azerbaijan,RECYCL,5174.8999
2016,Azerbaijan,INCINRT,25923
2016,Azerbaijan,RECYCL,47845
2016,Azerbaijan,LANDFIL,634000
2017,Azerbaijan,LANDFIL,175613
2017,Azerbaijan,INCINRT,35772
2017,Azerbaijan,RECYCL,5452
2006,Finland,LANDFIL,1738261
2006,Finland,INCINRT,79679
2006,Finland,INCINRT_EGY,91502
2008,Finland,INCINRT_EGY,57879
2008,Finland,OTHERWM,152
2008,Finland,INCINRT,112686
2008,Finland,LANDFIL,1721934
2010,Finland,OTHERWM,4030
2010,Finland,INCINRT,141509
2010,Finland,RECYCL,245358
2010,Finland,LANDFIL,877708
2010,Finland,INCINRT_EGY,60107
2012,Finland,RECYCL,454933
2018,Azerbaijan,RECYCL,5725
2018,Azerbaijan,LANDFIL,213653
2018,Azerbaijan,INCINRT,64222
2019,Azerbaijan,LANDFIL,174795
2019,Azerbaijan,RECYCL,13484
2019,Azerbaijan,INCINRT,66171
2020,Azerbaijan,LANDFIL,219002
2020,Azerbaijan,INCINRT,61429
2020,Azerbaijan,RECYCL,15939
2021,Azerbaijan,INCINRT,102494
2021,Azerbaijan,RECYCL,5787
2012,Finland,INCINRT_EGY,68000
2012,Finland,OTHERWM,6565
2012,Finland,LANDFIL,950554
2012,Finland,INCINRT,107476
2014,Finland,INCINRT_EGY,45705
2014,Finland,LANDFIL,1551237
2014,Finland,RECYCL,411036
2014,Finland,INCINRT,149463
2014,Finland,OTHERWM,363431
2016,Finland,RECYCL,385016
2016,Finland,INCINRT_EGY,125313
2016,Finland,LANDFIL,1723271
2016,Finland,OTHERWM,5239
2021,Azerbaijan,LANDFIL,190761
2004,Austria,INCINRT,150206
2004,Austria,OTHERWM,0
2004,Austria,INCINRT_EGY,35668
2004,Austria,LANDFIL,43465
2006,Austria,INCINRT,79972
2006,Austria,LANDFIL,0
2006,Austria,INCINRT_EGY,73195
2006,Austria,OTHERWM,0
2008,Austria,INCINRT,77201
2008,Austria,INCINRT_EGY,83500
2008,Austria,LANDFIL,45033
2008,Austria,OTHERWM,0
2010,Austria,INCINRT_EGY,88184
2010,Austria,OTHERWM,0
2010,Austria,RECYCL,1117841
2010,Austria,LANDFIL,47959
2010,Austria,INCINRT,67983
2012,Austria,RECYCL,1158065
2012,Austria,OTHERWM,0
2012,Austria,INCINRT,62905
2012,Austria,LANDFIL,59046
2012,Austria,INCINRT_EGY,130516
2014,Austria,RECYCL,1492430
2014,Austria,OTHERWM,0
2014,Austria,LANDFIL,60260
2016,Austria,LANDFIL,66429
2016,Austria,OTHERWM,0
2016,Austria,RECYCL,926403
2018,Austria,RECYCL,1728815
2016,Finland,INCINRT,42460
2018,Finland,LANDFIL,1329817
2018,Finland,OTHERWM,4012
2018,Finland,INCINRT_EGY,94513
2018,Finland,RECYCL,372532
2018,Finland,INCINRT,84304
2020,Finland,RECYCL,1819547
2020,Finland,LANDFIL,2614967
2020,Finland,INCINRT_EGY,116280
2020,Finland,OTHERWM,1515977
2020,Finland,INCINRT,104023
2004,France,INCINRT_EGY,2332000
2004,France,INCINRT,37000
2004,France,LANDFIL,1707000
2004,France,OTHERWM,0
2006,France,LANDFIL,1769040
2006,France,INCINRT,1220900
2006,France,OTHERWM,300
2006,France,INCINRT_EGY,1630100
2008,France,LANDFIL,2120360
2008,France,INCINRT_EGY,1042501
2008,France,OTHERWM,0
2008,France,INCINRT,1228645
2010,France,INCINRT_EGY,1083008
2018,Austria,OTHERWM,0
2018,Austria,LANDFIL,73286
2020,Austria,RECYCL,1153284
2020,Austria,LANDFIL,80681
2020,Austria,OTHERWM,0
2000,Armenia,LANDFIL,381578
2000,Armenia,INCINRT,0
2000,Armenia,RECYCL,0
2001,Armenia,RECYCL,0
2001,Armenia,INCINRT,0
2001,Armenia,LANDFIL,375500
2002,Armenia,RECYCL,0
2002,Armenia,LANDFIL,377900
2002,Armenia,INCINRT,0
2003,Armenia,RECYCL,0
2003,Armenia,INCINRT,0
2003,Armenia,LANDFIL,344095
2004,Armenia,LANDFIL,351400
2004,Armenia,INCINRT,0
2004,Armenia,RECYCL,0
2005,Armenia,INCINRT,0
2005,Armenia,RECYCL,0
2005,Armenia,LANDFIL,346325
2010,France,LANDFIL,2729389
2010,France,OTHERWM,0
2010,France,RECYCL,26371
2010,France,INCINRT,1306167
2012,France,OTHERWM,0
2012,France,INCINRT,1422701
2012,France,INCINRT_EGY,1103481
2012,France,RECYCL,54660
2012,France,LANDFIL,2838870
2014,France,INCINRT,1520287
2014,France,INCINRT_EGY,1046249
2006,Armenia,INCINRT,0
2006,Armenia,RECYCL,0
2006,Armenia,LANDFIL,352279
2007,Armenia,INCINRT,0
2007,Armenia,RECYCL,0
2007,Armenia,LANDFIL,362275
2008,Armenia,INCINRT,1359
2008,Armenia,LANDFIL,433537.53125
2008,Armenia,RECYCL,2362
2009,Armenia,INCINRT,456
2009,Armenia,RECYCL,2340
2009,Armenia,LANDFIL,438227.5625
2010,Armenia,LANDFIL,432811.78125
2010,Armenia,RECYCL,2286
2010,Armenia,INCINRT,300
2011,Armenia,INCINRT,12
2011,Armenia,RECYCL,5154
2011,Armenia,LANDFIL,457729.8125
2012,Armenia,LANDFIL,460844.6875
2014,France,RECYCL,44649
2014,France,LANDFIL,2672055
2014,France,OTHERWM,0
2016,France,INCINRT_EGY,1098465
2016,France,LANDFIL,2322485
2016,France,RECYCL,55565
2016,France,OTHERWM,0
2016,France,INCINRT,1514417
2018,France,LANDFIL,3285021
2018,France,INCINRT,1778037
2018,France,OTHERWM,0
2018,France,RECYCL,67651
2018,France,INCINRT_EGY,1110043
2020,France,RECYCL,88332
2020,France,OTHERWM,0
2020,France,INCINRT_EGY,1105699
2020,France,LANDFIL,2886539
2020,France,INCINRT,1691252
2004,Georgia,RECYCL,0
2004,Georgia,INCINRT,0
2004,Georgia,LANDFIL,0
2005,Georgia,LANDFIL,0
2005,Georgia,RECYCL,0
2005,Georgia,INCINRT,0
2004,Germany,INCINRT_EGY,1741450
2004,Germany,INCINRT,1436474
2004,Germany,OTHERWM,809186
2004,Germany,LANDFIL,5570009
2006,Germany,OTHERWM,575094
2006,Germany,LANDFIL,4826070
2006,Germany,INCINRT,1351419
2006,Germany,INCINRT_EGY,1813661
2008,Germany,INCINRT,1543961
2008,Germany,LANDFIL,5215311
2008,Germany,OTHERWM,158200
2008,Germany,INCINRT_EGY,2390370
2010,Germany,INCINRT_EGY,2592474
2010,Germany,RECYCL,933398
2010,Germany,LANDFIL,3983980
2010,Germany,OTHERWM,44315
2010,Germany,INCINRT,1128772
2012,Germany,RECYCL,1568605
2012,Germany,INCINRT,1142653
2012,Germany,LANDFIL,4863231
2012,Germany,INCINRT_EGY,3169878
2012,Germany,OTHERWM,24121
2014,Germany,INCINRT_EGY,2788642
2014,Germany,RECYCL,1316434
2014,Germany,INCINRT,1263306
2014,Germany,LANDFIL,4649719
2014,Germany,OTHERWM,37402
2016,Germany,OTHERWM,40074
2016,Germany,RECYCL,214601
2016,Germany,INCINRT,1056183
2016,Germany,INCINRT_EGY,2954075
2016,Germany,LANDFIL,5215508
2018,Germany,OTHERWM,42420
2018,Germany,LANDFIL,5800429
2012,Armenia,INCINRT,167.39999
2012,Armenia,RECYCL,7983
2013,Armenia,INCINRT,17
2013,Armenia,RECYCL,4059
2013,Armenia,LANDFIL,574973.8125
2014,Armenia,LANDFIL,571750.375
2014,Armenia,RECYCL,2290
2014,Armenia,INCINRT,2379
2015,Armenia,RECYCL,3766.80005
2015,Armenia,LANDFIL,551020.0625
2015,Armenia,INCINRT,289.70001
2016,Armenia,RECYCL,12948.29981
2018,Germany,INCINRT,945280
2018,Germany,INCINRT_EGY,3128166
2018,Germany,RECYCL,615843
2020,Germany,OTHERWM,16715
2020,Germany,INCINRT,1040575
2020,Germany,LANDFIL,5427389
2020,Germany,INCINRT_EGY,3066914
2020,Germany,RECYCL,487713
2004,Greece,OTHERWM,0
2004,Greece,INCINRT,27
2004,Greece,LANDFIL,143971
2004,Greece,INCINRT_EGY,2979
2006,Greece,INCINRT_EGY,7517
2006,Greece,LANDFIL,33118
2006,Greece,OTHERWM,0
2006,Greece,INCINRT,13404
2008,Greece,LANDFIL,15748
2008,Greece,OTHERWM,0
2008,Greece,INCINRT,4449
2008,Greece,INCINRT_EGY,7884
2010,Greece,INCINRT,3772
2010,Greece,RECYCL,1618549
2010,Greece,INCINRT_EGY,4020
2010,Greece,LANDFIL,11910
2010,Greece,OTHERWM,112
2012,Greece,INCINRT_EGY,3006
2012,Greece,OTHERWM,0
2012,Greece,INCINRT,3170
2012,Greece,LANDFIL,16997
2012,Greece,RECYCL,1612927
2014,Greece,RECYCL,1658969
2014,Greece,INCINRT,2937
2014,Greece,LANDFIL,19303
2014,Greece,INCINRT_EGY,3211
2014,Greece,OTHERWM,0
2016,Greece,INCINRT_EGY,20632
2016,Greece,OTHERWM,0
2016,Greece,LANDFIL,0
2016,Armenia,LANDFIL,601917.375
