Year,GeoAreaName,Value
2014,Albania,0
2000,Azerbaijan,26783
2001,Azerbaijan,4927
2002,Azerbaijan,3342
2003,Azerbaijan,11492
2004,Azerbaijan,105165
2005,Azerbaijan,5571
2006,Azerbaijan,1435482
2007,Azerbaijan,7677
2008,Azerbaijan,69180
2009,Azerbaijan,173658.0938
2010,Azerbaijan,151291.9062
2011,Azerbaijan,138281.5
2012,Azerbaijan,205211.2031
2013,Azerbaijan,152446
2014,Azerbaijan,529106.5
2015,Azerbaijan,382998
2016,Azerbaijan,707768
2017,Azerbaijan,216837
2018,Azerbaijan,283600
2019,Azerbaijan,254450
2020,Azerbaijan,296370
2021,Azerbaijan,299042
2004,Austria,861967
2006,Austria,335042
2008,Austria,395221
2010,Austria,401082
2012,Austria,338860
2014,Austria,440136
2016,Austria,448518
2018,Austria,458489
2020,Austria,402927
2000,Armenia,381578
2001,Armenia,375500
2002,Armenia,377900
2003,Armenia,344095
2004,Armenia,351400
2005,Armenia,346325
2006,Armenia,352279
2007,Armenia,362275
2008,Armenia,437258.53125
2009,Armenia,441023.5625
2010,Armenia,435397.78125
2011,Armenia,462895.8125
2012,Armenia,470505.6875
2013,Armenia,579049.8125
2014,Armenia,576419.375
2015,Armenia,555076.5625
2016,Armenia,615470.625
2017,Armenia,537813.6875
2018,Armenia,510858.5
2019,Armenia,570537
2004,Belgium,3310427
2006,Belgium,1760728
2008,Belgium,2200008
2010,Belgium,3487665
2012,Belgium,1703615
2014,Belgium,2101500
2016,Belgium,2449731
2018,Belgium,2713106
2020,Belgium,2284076
2004,Bulgaria,12090994
2006,Bulgaria,13474505
2008,Bulgaria,13037033
2010,Bulgaria,13561160
2012,Bulgaria,13389620
2014,Bulgaria,12176438
2016,Bulgaria,13177710
2018,Bulgaria,13557932
2020,Bulgaria,13791874
2005,Belarus,296800
2006,Belarus,323900
2007,Belarus,420400
2008,Belarus,537900
2009,Belarus,809800
2010,Belarus,957500
2011,Belarus,968400
2012,Belarus,1477060
2013,Belarus,1237640
2014,Belarus,1455060
2015,Belarus,1013570
2016,Belarus,1351350
2017,Belarus,1208420
2018,Belarus,2194923
2019,Belarus,1712710
