Year,GeoAreaName,Value
2013,Albania,0
2014,Albania,0
2015,Albania,0
2000,Liechtenstein,0
2001,Liechtenstein,0
2002,Liechtenstein,0
2003,Liechtenstein,0
2004,Liechtenstein,0
2005,Liechtenstein,0
2006,Liechtenstein,0
2007,Liechtenstein,0
2008,Liechtenstein,0
2009,Liechtenstein,0
2010,Liechtenstein,0
2011,Liechtenstein,0
2012,Liechtenstein,0
2013,Liechtenstein,0
2014,Liechtenstein,0
2015,Liechtenstein,0
2016,Liechtenstein,0
2017,Liechtenstein,0
2018,Liechtenstein,0
2019,Liechtenstein,0
2000,Montenegro,0
2006,Serbia,0
2007,Serbia,0
2008,Serbia,0
2009,Serbia,0
2010,Serbia,0
2011,Serbia,0
2012,Serbia,0
2013,Serbia,0
2014,Serbia,0
2015,Serbia,0
2010,Ukraine,1300
2011,Ukraine,900
2012,Ukraine,0
2013,Ukraine,600
2014,Ukraine,500
2015,Ukraine,200
2016,Ukraine,300
2017,Ukraine,300
2018,Ukraine,300
2019,Ukraine,600
2005,North Macedonia,0
2008,North Macedonia,0
2009,North Macedonia,0
2009,North Macedonia,0
