Year,GeoAreaName,Level/Status,Value
2022,Austria,MHIGIMP,1
2020,Belgium,MHIGIMP,1
2022,Belgium,MHIGIMP,1
2020,Bulgaria,MHIGIMP,1
2022,Bulgaria,MHIGIMP,1
2020,Croatia,MLOWIMP,1
2022,Croatia,MHIGIMP,1
2020,Cyprus,LOWIMP,1
2022,Cyprus,MLOWIMP,1
2020,Czechia,LOWIMP,1
2022,Czechia,LOWIMP,1
2020,Denmark,MLOWIMP,1
2022,Estonia,MLOWIMP,1
2020,Finland,LOWIMP,1
2022,Finland,MHIGIMP,1
2020,France,MHIGIMP,1
2022,France,MHIGIMP,1
2020,Germany,MLOWIMP,1
2022,Germany,MLOWIMP,1
2022,Greece,MHIGIMP,1
2020,Ireland,LOWIMP,1
2022,Ireland,MHIGIMP,1
2020,Italy,MHIGIMP,1
2022,Italy,MHIGIMP,1
2020,Latvia,MHIGIMP,1
2022,Latvia,MHIGIMP,1
2020,Lithuania,MHIGIMP,1
2022,Lithuania,MHIGIMP,1
2022,Malta,MHIGIMP,1
2020,Netherlands,MHIGIMP,1
2022,Netherlands,MHIGIMP,1
2020,Norway,MLOWIMP,1
2022,Norway,MLOWIMP,1
2020,Poland,MLOWIMP,1
2022,Poland,MHIGIMP,1
2020,Portugal,MHIGIMP,1
2022,Portugal,MHIGIMP,1
2022,Serbia,MLOWIMP,1
2020,Slovenia,MLOWIMP,1
2022,Slovenia,MHIGIMP,1
2022,Spain,LOWIMP,1
2020,Sweden,MLOWIMP,1
2022,Switzerland,MHIGIMP,1
2022,Switzerland,MHIGIMP,1
