Year,GeoAreaName,Value
2020,Albania,0.833
2020,Armenia,0.833
2020,Belgium,1.000
2020,Bosnia and Herzegovina,0.500
2020,Bulgaria,0.708
2020,Cyprus,0.667
2020,Denmark,0.833
2020,Estonia,0.833
2020,France,1.000
2020,Georgia,1.000
2020,Germany,0.917
2020,Hungary,0.792
2020,Ireland,0.833
2020,Italy,0.833
2020,Kyrgyzstan,0.833
2020,Latvia,1.000
2020,Lithuania,1.000
2020,Malta,0.917
2020,Republic of Moldova,0.833
2020,Poland,1.000
2020,Romania,1.000
2020,Slovakia,0.250
2020,Slovenia,1.000
2020,Spain,1.000
2020,Sweden,0.833
2020,Türkiye,1.000
2020,Ukraine,1.000
2020,Albania,0.833
2020,Armenia,0.833
2020,Belgium,1.000
2020,Bosnia and Herzegovina,0.500
2020,Bulgaria,0.708
2020,Cyprus,0.667
2020,Denmark,0.833
2020,Estonia,0.833
2020,France,1.000
2020,Georgia,1.000
2020,Germany,0.917
2020,Hungary,0.792
2020,Ireland,0.833
2020,Italy,0.833
2020,Kyrgyzstan,0.833
2020,Latvia,1.000
2020,Lithuania,1.000
2020,Malta,0.917
2020,Republic of Moldova,0.833
2020,Poland,1.000
2020,Romania,1.000
2020,Slovakia,0.250
2020,Slovenia,1.000
2020,Spain,1.000
2020,Sweden,0.833
2020,Türkiye,1.000
2020,Ukraine,1.000
2020,Albania,0.833
2020,Armenia,0.833
2020,Belgium,1.000
2020,Bosnia and Herzegovina,0.500
2020,Bulgaria,0.708
2020,Cyprus,0.667
2020,Denmark,0.833
2020,Estonia,0.833
2020,France,1.000
2020,Georgia,1.000
2020,Germany,0.917
2020,Hungary,0.792
2020,Ireland,0.833
2020,Italy,0.833
2020,Kyrgyzstan,0.833
2020,Latvia,1.000
2020,Lithuania,1.000
2020,Malta,0.917
2020,Republic of Moldova,0.833
2020,Poland,1.000
2020,Romania,1.000
2020,Slovakia,0.250
2020,Slovenia,1.000
2020,Spain,1.000
2020,Sweden,0.833
2020,Türkiye,1.000
2020,Ukraine,1.000
