Year,GeoAreaName,Value
2005,Bulgaria,0
2006,Bulgaria,0
2007,Bulgaria,0
2008,Bulgaria,0
2009,Bulgaria,0
2010,Bulgaria,0
2011,Bulgaria,0
2012,Bulgaria,0
2013,Bulgaria,0
2014,Bulgaria,0
2015,Bulgaria,0
2016,Bulgaria,0
2017,Bulgaria,0
2018,Bulgaria,0
2019,Bulgaria,0
2020,Bulgaria,0
2021,Bulgaria,0
2015,Belarus,0
2016,Belarus,0
2017,Belarus,0
2018,Belarus,0
2019,Belarus,0
2020,Belarus,0
2021,Belarus,0
2017,Croatia,0
2015,Czechia,0
2016,Czechia,0
2017,Czechia,0
2005,Albania,0
2006,Albania,0
2007,Albania,0
2008,Albania,0
2009,Albania,0
2010,Albania,0
2011,Albania,8
2012,Albania,1
2013,Albania,0
2014,Albania,0
2015,Albania,2
2016,Albania,0
2018,Albania,0
2019,Albania,0
2018,Czechia,0
2015,Denmark,0
2017,Denmark,0
2018,Denmark,0
2019,Denmark,0
2020,Denmark,0
2005,Estonia,0
2020,Albania,3
2018,Austria,0
2019,Austria,0
2020,Austria,0
2005,Armenia,0
2006,Armenia,0
2007,Armenia,0
2008,Armenia,0
2009,Armenia,0
2010,Armenia,0
2011,Armenia,0
2012,Armenia,0
2013,Armenia,0
2015,Armenia,0
2006,Estonia,0
2007,Estonia,0
2008,Estonia,0
2009,Estonia,0
2010,Estonia,0
2011,Estonia,0
2012,Estonia,0
2013,Estonia,0
2014,Estonia,0
2015,Estonia,0
2016,Estonia,0
2017,Estonia,0
2018,Estonia,0
2005,Finland,0
2006,Finland,0
2007,Finland,0
2008,Finland,0
2009,Finland,0
2010,Finland,0
2011,Finland,0
2012,Finland,0
2013,Finland,0
2014,Finland,0
2015,Finland,0
2016,Finland,0
2017,Finland,0
2018,Finland,0
2019,Finland,0
2016,France,0
2017,France,0
2005,Georgia,0
2006,Georgia,0
2007,Georgia,0
2008,Georgia,0
2009,Georgia,0
2010,Georgia,0
2011,Georgia,0
2012,Georgia,0
2013,Georgia,0
2014,Georgia,0
2015,Georgia,2
2016,Georgia,0
2017,Georgia,0
2018,Georgia,0
2019,Georgia,0
2020,Georgia,0
2021,Georgia,0
2020,Hungary,0
2021,Hungary,0
2015,Ireland,0
2016,Ireland,0
2017,Ireland,0
2018,Italy,1
2005,Kazakhstan,0
2006,Kazakhstan,0
2007,Kazakhstan,0
2008,Kazakhstan,0
2009,Kazakhstan,0
2010,Kazakhstan,0
2011,Kazakhstan,0
2012,Kazakhstan,0
2013,Kazakhstan,0
2014,Kazakhstan,0
2015,Kazakhstan,0
2016,Kazakhstan,0
2017,Kazakhstan,0
2018,Kazakhstan,0
2020,Kazakhstan,0
2021,Kazakhstan,0
2005,Kyrgyzstan,2
2006,Kyrgyzstan,0
2007,Kyrgyzstan,0
2008,Kyrgyzstan,1
2009,Kyrgyzstan,0
2010,Kyrgyzstan,0
2011,Kyrgyzstan,2
2012,Kyrgyzstan,0
2013,Kyrgyzstan,0
2014,Kyrgyzstan,0
2015,Kyrgyzstan,0
2016,Kyrgyzstan,0
2017,Kyrgyzstan,0
2018,Kyrgyzstan,0
2019,Kyrgyzstan,0
2020,Kyrgyzstan,0
2021,Kyrgyzstan,0
2020,Lithuania,0
2021,Lithuania,0
2018,Luxembourg,0
2005,Montenegro,0
2006,Montenegro,0
2007,Montenegro,0
2008,Montenegro,0
2009,Montenegro,0
2010,Montenegro,0
2011,Montenegro,0
2012,Montenegro,0
2013,Montenegro,0
2014,Montenegro,0
2015,Montenegro,0
2016,Montenegro,0
2017,Montenegro,0
2018,Montenegro,0
2020,Montenegro,0
2021,Montenegro,0
2017,Netherlands,0
2019,Netherlands,0
2017,Norway,0
2018,Poland,0
2020,Portugal,0
2021,Portugal,0
2005,Romania,0
2006,Romania,5
2007,Romania,0
2008,Romania,1
2009,Romania,0
2010,Romania,0
2011,Romania,0
2012,Romania,0
2013,Romania,0
2014,Romania,0
2015,Romania,0
2016,Romania,1
2017,Romania,0
2019,Romania,0
2020,Romania,0
2021,Romania,1
2012,Serbia,2
2014,Serbia,2
2020,Serbia,1
2021,Serbia,0
2005,Slovenia,0
2006,Slovenia,0
2007,Slovenia,0
2008,Slovenia,0
2009,Slovenia,0
2010,Slovenia,0
2011,Slovenia,0
2012,Slovenia,0
2013,Slovenia,0
2014,Slovenia,0
2015,Slovenia,0
2016,Slovenia,0
2017,Slovenia,0
2018,Slovenia,0
2019,Slovenia,0
2020,Slovenia,0
2005,Sweden,0
2006,Sweden,0
2007,Sweden,0
2008,Sweden,0
2009,Sweden,0
2010,Sweden,0
2011,Sweden,0
2012,Sweden,0
2013,Sweden,0
2014,Sweden,0
2015,Sweden,0
2016,Sweden,0
2017,Sweden,0
2018,Sweden,0
2019,Sweden,0
2020,Sweden,0
2005,Switzerland,0
2006,Switzerland,0
2007,Switzerland,0
2008,Switzerland,0
2009,Switzerland,0
2010,Switzerland,0
2011,Switzerland,0
2012,Switzerland,0
2013,Switzerland,0
2014,Switzerland,0
2015,Switzerland,0
2016,Switzerland,0
2017,Switzerland,0
2018,Switzerland,0
2019,Switzerland,0
2020,Switzerland,0
2015,Tajikistan,0
2016,Tajikistan,0
2017,Tajikistan,0
2018,Tajikistan,0
2019,Tajikistan,0
2020,Tajikistan,0
2015,Türkiye,3
2016,Türkiye,4
2017,Türkiye,0
2018,Türkiye,0
2019,Türkiye,20
2020,Türkiye,4
2021,Türkiye,16
2019,Turkmenistan,0
2015,Ukraine,0
2016,Ukraine,0
2017,Ukraine,0
2018,Ukraine,0
2019,Ukraine,0
2020,Ukraine,0
2021,Ukraine,0
2019,Uzbekistan,0
2020,Uzbekistan,137
2021,Uzbekistan,0
2017,Croatia,0
2015,Czechia,0
2016,Czechia,0
2017,Czechia,0
2018,Czechia,0
2015,Denmark,0
2017,Denmark,0
2018,Denmark,0
2019,Denmark,0
2020,Denmark,0
2005,Estonia,0
2006,Estonia,0
2007,Estonia,0
2008,Estonia,0
2005,Albania,0
2006,Albania,0
2007,Albania,0
2008,Albania,0
2009,Albania,0
2010,Albania,0
2011,Albania,8
2009,Estonia,0
2010,Estonia,0
2011,Estonia,0
2012,Estonia,0
2013,Estonia,0
2014,Estonia,0
2015,Estonia,0
2016,Estonia,0
2017,Estonia,0
2018,Estonia,0
2005,Finland,0
2006,Finland,0
2007,Finland,0
2008,Finland,0
2012,Albania,1
2013,Albania,0
2014,Albania,0
2015,Albania,2
2016,Albania,0
2018,Albania,0
2019,Albania,0
2009,Finland,0
2010,Finland,0
2011,Finland,0
2012,Finland,0
2013,Finland,0
2014,Finland,0
2015,Finland,0
2020,Albania,3
2018,Austria,0
2019,Austria,0
2020,Austria,0
2005,Armenia,0
2006,Armenia,0
2007,Armenia,0
2016,Finland,0
2017,Finland,0
2018,Finland,0
2019,Finland,0
2016,France,0
2017,France,0
2005,Georgia,0
2006,Georgia,0
2007,Georgia,0
2008,Georgia,0
2009,Georgia,0
2010,Georgia,0
2011,Georgia,0
2012,Georgia,0
2008,Armenia,0
2009,Armenia,0
2010,Armenia,0
2011,Armenia,0
2012,Armenia,0
2013,Armenia,0
2015,Armenia,0
2013,Georgia,0
2014,Georgia,0
2015,Georgia,2
2016,Georgia,0
2017,Georgia,0
2018,Georgia,0
2019,Georgia,0
2020,Georgia,0
2021,Georgia,0
2020,Hungary,0
2021,Hungary,0
2015,Ireland,0
2016,Ireland,0
2017,Ireland,0
2016,Armenia,0
2017,Armenia,0
2018,Armenia,0
2019,Armenia,0
2020,Armenia,0
2021,Armenia,0
2005,Bulgaria,0
2018,Italy,1
2005,Kazakhstan,0
2006,Kazakhstan,0
2007,Kazakhstan,0
2008,Kazakhstan,0
2009,Kazakhstan,0
2010,Kazakhstan,0
2006,Bulgaria,0
2007,Bulgaria,0
2008,Bulgaria,0
2009,Bulgaria,0
2010,Bulgaria,0
2011,Bulgaria,0
2012,Bulgaria,0
2013,Bulgaria,0
2014,Bulgaria,0
2015,Bulgaria,0
2016,Bulgaria,0
2017,Bulgaria,0
2018,Bulgaria,0
2019,Bulgaria,0
2020,Bulgaria,0
2021,Bulgaria,0
2015,Belarus,0
2016,Belarus,0
2017,Belarus,0
2018,Belarus,0
2019,Belarus,0
2011,Kazakhstan,0
2012,Kazakhstan,0
2013,Kazakhstan,0
2014,Kazakhstan,0
2015,Kazakhstan,0
2016,Kazakhstan,0
2017,Kazakhstan,0
2018,Kazakhstan,0
2020,Kazakhstan,0
2021,Kazakhstan,0
2005,Kyrgyzstan,2
2006,Kyrgyzstan,0
2007,Kyrgyzstan,0
2008,Kyrgyzstan,1
2009,Kyrgyzstan,0
2010,Kyrgyzstan,0
2011,Kyrgyzstan,2
2012,Kyrgyzstan,0
2013,Kyrgyzstan,0
2014,Kyrgyzstan,0
2015,Kyrgyzstan,0
2016,Kyrgyzstan,0
