Year,GeoAreaName,Value
1990,Austria,78.42049
1991,Austria,82.08233
1992,Austria,75.46927
1993,Austria,75.70919
1994,Austria,75.9583
1995,Austria,79.23798
1996,Austria,82.45259
1997,Austria,82.11623
1998,Austria,81.43285
1999,Austria,79.89837
2000,Austria,80.12943
2001,Austria,84.06472
2002,Austria,85.81506
2003,Austria,91.30672
2004,Austria,90.98523
2005,Austria,92.14729
2006,Austria,89.72878
2007,Austria,86.98394
2008,Austria,86.44021
2009,Austria,79.77907
2010,Austria,84.33672
2011,Austria,82.12703
2012,Austria,79.43238
2013,Austria,79.81717
2014,Austria,76.23867
2015,Austria,78.46223
2016,Austria,79.47101
2017,Austria,81.8625
2018,Austria,78.62764
2019,Austria,79.84225
1990,Belgium,145.71949
1991,Belgium,148.43922
1992,Belgium,148.03915
1993,Belgium,146.89739
1994,Belgium,151.49712
1995,Belgium,153.61679
1996,Belgium,157.32392
1997,Belgium,148.8525
1998,Belgium,154.02116
1999,Belgium,147.78933
2000,Belgium,148.88293
2001,Belgium,147.32461
2002,Belgium,147.41269
2003,Belgium,147.71345
2004,Belgium,148.55479
2005,Belgium,145.5617
2006,Belgium,142.72048
2007,Belgium,139.07166
2008,Belgium,138.98022
2009,Belgium,126.32502
2010,Belgium,133.63352
2011,Belgium,123.13428
2012,Belgium,120.38571
2013,Belgium,120.44349
2014,Belgium,114.732
2015,Belgium,118.95998
2016,Belgium,117.68918
2017,Belgium,117.4243
2018,Belgium,117.89474
2019,Belgium,116.65149
1990,Bulgaria,99.97808
1991,Bulgaria,81.79582
1992,Bulgaria,76.21837
1993,Bulgaria,75.61064
1994,Bulgaria,71.51954
1995,Bulgaria,72.90891
1996,Bulgaria,73.24927
1997,Bulgaria,70.02876
1998,Bulgaria,65.92219
1999,Bulgaria,58.81704
2000,Bulgaria,57.86427
2001,Bulgaria,60.77688
2002,Bulgaria,58.13023
2003,Bulgaria,62.94028
2004,Bulgaria,62.1095
2005,Bulgaria,62.71487
2006,Bulgaria,63.3771
2007,Bulgaria,67.30794
2008,Bulgaria,65.99659
2009,Bulgaria,57.16397
2010,Bulgaria,59.79637
2011,Bulgaria,65.07143
2012,Bulgaria,60.08712
2013,Bulgaria,54.89392
2014,Bulgaria,57.98787
2015,Bulgaria,61.33835
2016,Bulgaria,58.80091
2017,Bulgaria,61.14847
2018,Bulgaria,57.28177
2019,Bulgaria,55.95528
1990,Belarus,139.15199
1991,Belarus,130.84089
1992,Belarus,120.14078
1993,Belarus,106.92359
1994,Belarus,89.77989
1995,Belarus,83.44294
1996,Belarus,84.29736
1997,Belarus,85.10998
1998,Belarus,86.36189
1999,Belarus,80.05793
2000,Belarus,79.71708
2001,Belarus,79.8701
2002,Belarus,78.36379
2003,Belarus,80.44844
2004,Belarus,84.70415
2005,Belarus,86.79869
2006,Belarus,90.64209
2007,Belarus,90.11701
2008,Belarus,92.95337
2009,Belarus,88.81449
2010,Belarus,90.6948
2011,Belarus,90.3423
2012,Belarus,91.37071
2013,Belarus,92.26423
2014,Belarus,91.0407
2015,Belarus,85.97545
2016,Belarus,87.74502
2017,Belarus,88.5422
2018,Belarus,89.06461
2019,Belarus,90.1157
1990,Croatia,31.38729
1991,Croatia,24.69209
1992,Croatia,22.77196
1993,Croatia,22.722
1994,Croatia,21.81872
1995,Croatia,22.4873
1996,Croatia,22.99482
1997,Croatia,24.39892
1998,Croatia,24.50948
1999,Croatia,25.82404
2000,Croatia,25.56346
2001,Croatia,26.73944
2002,Croatia,27.79326
2003,Croatia,29.22414
2004,Croatia,29.26364
2005,Croatia,29.73072
2006,Croatia,30.08135
2007,Croatia,31.48574
2008,Croatia,30.50612
2009,Croatia,28.15112
2010,Croatia,27.75297
2011,Croatia,27.4296
2012,Croatia,25.61264
2013,Croatia,24.3306
2014,Croatia,23.47554
2015,Croatia,23.91192
2016,Croatia,23.99992
2017,Croatia,24.73756
2018,Croatia,23.53628
2019,Croatia,23.60502
1990,Cyprus,5.57103
1991,Cyprus,6.07244
1992,Cyprus,6.52187
1993,Cyprus,6.79893
1994,Cyprus,7.04913
1995,Cyprus,6.98558
1996,Cyprus,7.33559
1997,Cyprus,7.43033
1998,Cyprus,7.76427
1999,Cyprus,8.03507
2000,Cyprus,8.30859
2001,Cyprus,8.25705
2002,Cyprus,8.48566
2003,Cyprus,8.87886
2004,Cyprus,9.07874
2005,Cyprus,9.2052
2006,Cyprus,9.46079
2007,Cyprus,9.78958
2008,Cyprus,10.00634
2009,Cyprus,9.77266
2010,Cyprus,9.44439
2011,Cyprus,9.15041
2012,Cyprus,8.61765
2013,Cyprus,7.91878
2014,Cyprus,8.29418
2015,Cyprus,8.33677
2016,Cyprus,8.78393
2017,Cyprus,8.96969
2018,Cyprus,8.81143
2019,Cyprus,8.84153
1990,Czechia,197.07182
1991,Czechia,178.84405
