Year,GeoAreaName,Value
2017,Albania,27797
2018,Albania,29075
2019,Albania,30121
2020,Albania,30964
2021,Albania,31669
2017,Belgium,28
2018,Belgium,29
2019,Belgium,30
2020,Belgium,31
2021,Belgium,32
2017,Bulgaria,160
2018,Bulgaria,167
2019,Bulgaria,173
2020,Bulgaria,178
2021,Bulgaria,182
2017,Croatia,5991
2018,Croatia,6267
2019,Croatia,6492
2020,Croatia,6674
2021,Croatia,6826
2017,Cyprus,165
2018,Cyprus,173
2019,Cyprus,179
2020,Cyprus,184
2021,Cyprus,188
2017,Denmark,155
2018,Denmark,162
2019,Denmark,168
2020,Denmark,173
2021,Denmark,177
2017,Estonia,134
2018,Estonia,140
2019,Estonia,145
2020,Estonia,149
2021,Estonia,152
2017,Finland,403
2018,Finland,421
2019,Finland,437
2020,Finland,449
2021,Finland,459
2017,France,1540
2018,France,1611
2019,France,1669
2020,France,1716
2021,France,1755
2017,Georgia,802
2018,Georgia,839
2019,Georgia,869
2020,Georgia,893
2021,Georgia,914
2017,Germany,2140
2018,Germany,2238
2019,Germany,2319
2020,Germany,2384
2021,Germany,2438
2017,Greece,33015
2018,Greece,34533
2019,Greece,35777
2020,Greece,36778
2021,Greece,37614
2017,Iceland,36
2018,Iceland,38
2019,Iceland,39
2020,Iceland,40
2021,Iceland,41
2017,Ireland,593
2018,Ireland,620
2019,Ireland,643
2020,Ireland,661
2021,Ireland,676
2017,Italy,8721
2018,Italy,9122
2019,Italy,9450
2020,Italy,9715
2021,Italy,9936
2017,Latvia,196
2018,Latvia,205
2019,Latvia,213
2020,Latvia,219
2021,Latvia,224
2017,Lithuania,71
2018,Lithuania,75
2019,Lithuania,77
2020,Lithuania,80
2021,Lithuania,81
2017,Malta,140
2018,Malta,147
2019,Malta,152
2020,Malta,156
2021,Malta,160
2017,Montenegro,2742
2018,Montenegro,2868
2019,Montenegro,2971
2020,Montenegro,3054
2021,Montenegro,3124
2017,Netherlands,8466
2018,Netherlands,8856
2019,Netherlands,9175
2020,Netherlands,9431
2021,Netherlands,9646
2017,Norway,210
2018,Norway,219
2019,Norway,227
2020,Norway,233
2021,Norway,239
2017,Poland,469
2018,Poland,491
2019,Poland,508
2020,Poland,523
2021,Poland,535
2017,Portugal,1150
2018,Portugal,1203
2019,Portugal,1246
2020,Portugal,1281
2021,Portugal,1310
2017,Romania,2494
2018,Romania,2608
2019,Romania,2702
2020,Romania,2778
2021,Romania,2841
2017,Spain,8495
2018,Spain,8885
2019,Spain,9205
2020,Spain,9463
2021,Spain,9678
2017,Sweden,608
2018,Sweden,636
2019,Sweden,659
2020,Sweden,677
2021,Sweden,693
2017,Türkiye,478999
2018,Türkiye,501025
2019,Türkiye,519062
2020,Türkiye,533588
2021,Türkiye,545725
2017,Ukraine,35746
2018,Ukraine,37389
2019,Ukraine,38735
2020,Ukraine,39819
2021,Ukraine,40725
2021,Ukraine,40725
