Year,GeoAreaName,Value
2018,Estonia,87.50000
2018,Finland,80.00000
2018,France,NaN
2018,Georgia,100.00000
2018,Germany,NaN
2018,Greece,NaN
2018,Hungary,NaN
2018,Iceland,NaN
2018,Ireland,50.00000
2018,Italy,14.28571
2018,Kazakhstan,85.18519
2018,Kyrgyzstan,NaN
2018,Latvia,100.00000
2018,Liechtenstein,NaN
2018,Lithuania,NaN
2018,Luxembourg,NaN
2018,Malta,NaN
2018,Republic of Moldova,NaN
2018,Montenegro,NaN
2018,Netherlands,NaN
2018,Norway,NaN
2018,Poland,60.00000
2018,Portugal,85.71429
2018,Romania,100.00000
2018,Serbia,NaN
2018,Slovakia,NaN
2018,Slovenia,0.00000
2018,Spain,72.72727
2018,Sweden,69.23077
2018,Switzerland,NaN
2018,Tajikistan,NaN
2018,Türkiye,16.66667
2018,Turkmenistan,NaN
2018,Ukraine,63.63636
2018,Albania,14.28571
2018,Azerbaijan,NaN
2018,Austria,NaN
2018,Armenia,NaN
2018,Belgium,84.61538
2018,Bosnia and Herzegovina,NaN
2018,Bulgaria,16.66667
2018,Belarus,NaN
2018,Croatia,20.00000
2018,North Macedonia,NaN
2018,Uzbekistan,NaN
2018,Cyprus,87.50000
2018,Czechia,NaN
2018,Denmark,NaN
2018,Denmark,NaN
