Year,GeoAreaName,Value
2000,Bosnia and Herzegovina,NaN
2001,Bosnia and Herzegovina,NaN
2002,Bosnia and Herzegovina,NaN
2003,Bosnia and Herzegovina,NaN
2004,Bosnia and Herzegovina,NaN
2005,Bosnia and Herzegovina,NaN
2006,Bosnia and Herzegovina,NaN
2007,Bosnia and Herzegovina,NaN
2008,Bosnia and Herzegovina,NaN
2009,Bosnia and Herzegovina,NaN
2010,Bosnia and Herzegovina,NaN
2011,Bosnia and Herzegovina,NaN
2012,Bosnia and Herzegovina,NaN
2013,Bosnia and Herzegovina,NaN
2014,Bosnia and Herzegovina,NaN
2015,Bosnia and Herzegovina,NaN
2016,Bosnia and Herzegovina,NaN
2017,Bosnia and Herzegovina,NaN
2000,Kyrgyzstan,NaN
2001,Kyrgyzstan,NaN
2002,Kyrgyzstan,NaN
2003,Kyrgyzstan,NaN
2004,Kyrgyzstan,NaN
2005,Kyrgyzstan,NaN
2006,Kyrgyzstan,NaN
2007,Kyrgyzstan,NaN
2008,Kyrgyzstan,NaN
2009,Kyrgyzstan,NaN
2010,Kyrgyzstan,NaN
2011,Kyrgyzstan,NaN
2012,Kyrgyzstan,NaN
2013,Kyrgyzstan,NaN
2014,Kyrgyzstan,NaN
2015,Kyrgyzstan,NaN
2016,Kyrgyzstan,NaN
2017,Kyrgyzstan,NaN
2018,Bosnia and Herzegovina,NaN
2019,Bosnia and Herzegovina,NaN
2000,Bulgaria,NaN
2001,Bulgaria,NaN
2002,Bulgaria,NaN
2003,Bulgaria,NaN
2004,Bulgaria,NaN
2005,Bulgaria,NaN
2006,Bulgaria,NaN
2007,Bulgaria,NaN
2008,Bulgaria,NaN
2009,Bulgaria,NaN
2010,Bulgaria,NaN
2011,Bulgaria,0.00748435812742802
2012,Bulgaria,NaN
2013,Bulgaria,0.00632736043112197
2014,Bulgaria,NaN
2015,Bulgaria,0.00683827413289166
2000,Albania,NaN
2001,Albania,NaN
2002,Albania,NaN
2003,Albania,NaN
2004,Albania,NaN
2005,Albania,NaN
2006,Albania,NaN
2007,Albania,NaN
2008,Albania,NaN
2018,Kyrgyzstan,NaN
2019,Kyrgyzstan,NaN
2000,Latvia,NaN
2001,Latvia,NaN
2002,Latvia,NaN
2003,Latvia,NaN
2004,Latvia,NaN
2005,Latvia,NaN
2006,Latvia,NaN
2016,Bulgaria,NaN
2017,Bulgaria,0.00581119874331876
2018,Bulgaria,NaN
2019,Bulgaria,0.00552890843678862
2000,Belarus,NaN
2001,Belarus,NaN
2002,Belarus,NaN
2003,Belarus,NaN
2004,Belarus,NaN
2007,Latvia,NaN
2008,Latvia,NaN
2009,Latvia,NaN
2010,Latvia,NaN
2011,Latvia,0.0794567155526501
2012,Latvia,NaN
2013,Latvia,0.058689110898645
2014,Latvia,NaN
2015,Latvia,0.08652
2005,Belarus,NaN
2006,Belarus,NaN
2007,Belarus,NaN
2008,Belarus,NaN
2009,Belarus,NaN
2010,Belarus,NaN
2011,Belarus,NaN
2012,Belarus,NaN
2013,Belarus,NaN
2000,Sweden,NaN
2001,Sweden,NaN
2002,Sweden,NaN
2003,Sweden,NaN
2004,Sweden,NaN
2005,Sweden,NaN
2006,Sweden,NaN
2007,Sweden,NaN
2008,Sweden,NaN
2016,Latvia,NaN
2017,Latvia,0.088489999999
2018,Latvia,NaN
2019,Latvia,NaN
2000,Liechtenstein,NaN
2001,Liechtenstein,NaN
2002,Liechtenstein,NaN
2003,Liechtenstein,NaN
2004,Liechtenstein,NaN
2014,Belarus,NaN
2015,Belarus,NaN
2016,Belarus,NaN
2017,Belarus,NaN
2018,Belarus,NaN
2019,Belarus,NaN
2000,Croatia,NaN
2001,Croatia,NaN
2002,Croatia,NaN
2009,Sweden,NaN
2010,Sweden,NaN
2011,Sweden,0.023808675526251
2012,Sweden,NaN
2013,Sweden,0.0183376582955487
2014,Sweden,NaN
2015,Sweden,0.0186185132489245
2016,Sweden,NaN
2017,Sweden,0.0208839392021704
2005,Liechtenstein,NaN
2006,Liechtenstein,NaN
2007,Liechtenstein,NaN
2008,Liechtenstein,NaN
2009,Liechtenstein,NaN
2010,Liechtenstein,NaN
2011,Liechtenstein,NaN
2012,Liechtenstein,NaN
2013,Liechtenstein,NaN
2003,Croatia,NaN
2004,Croatia,NaN
2005,Croatia,NaN
2006,Croatia,NaN
2007,Croatia,NaN
2008,Croatia,NaN
2009,Croatia,NaN
2010,Croatia,NaN
2011,Croatia,0.0815926172895073
2014,Liechtenstein,NaN
2015,Liechtenstein,NaN
2016,Liechtenstein,NaN
2017,Liechtenstein,NaN
2018,Liechtenstein,NaN
2019,Liechtenstein,NaN
2000,Lithuania,NaN
2001,Lithuania,NaN
2002,Lithuania,NaN
2018,Sweden,0.01695
2019,Sweden,NaN
2000,Switzerland,NaN
2001,Switzerland,NaN
2002,Switzerland,NaN
2003,Switzerland,NaN
2004,Switzerland,NaN
2005,Switzerland,NaN
2006,Switzerland,NaN
2012,Croatia,NaN
2013,Croatia,0.0820642504039499
2014,Croatia,NaN
2015,Croatia,0.0740737591319655
2016,Croatia,NaN
2017,Croatia,0.0766346314554889
2018,Croatia,NaN
2019,Croatia,0.0699903153247343
2000,Cyprus,NaN
2003,Lithuania,NaN
2004,Lithuania,NaN
2005,Lithuania,NaN
2006,Lithuania,NaN
2007,Lithuania,NaN
2008,Lithuania,NaN
2009,Lithuania,NaN
2010,Lithuania,NaN
2011,Lithuania,0.0331432294726356
2007,Switzerland,NaN
2008,Switzerland,NaN
2009,Switzerland,NaN
2010,Switzerland,NaN
2011,Switzerland,NaN
2012,Switzerland,NaN
2013,Switzerland,NaN
2014,Switzerland,NaN
2015,Switzerland,NaN
2001,Cyprus,NaN
2002,Cyprus,NaN
2003,Cyprus,NaN
2004,Cyprus,NaN
2005,Cyprus,NaN
2006,Cyprus,NaN
2007,Cyprus,NaN
2008,Cyprus,NaN
2009,Cyprus,NaN
2012,Lithuania,NaN
2013,Lithuania,0.0394906129794851
2014,Lithuania,NaN
2015,Lithuania,0.032024491814772
2016,Lithuania,NaN
2017,Lithuania,0.045637653132069
2018,Lithuania,NaN
2019,Lithuania,0.0452500231348922
2000,Luxembourg,NaN
2016,Switzerland,NaN
2017,Switzerland,NaN
2018,Switzerland,NaN
2019,Switzerland,NaN
2000,Tajikistan,NaN
2001,Tajikistan,NaN
2002,Tajikistan,NaN
2003,Tajikistan,NaN
2004,Tajikistan,NaN
2005,Tajikistan,NaN
2006,Tajikistan,NaN
2007,Tajikistan,NaN
2008,Tajikistan,NaN
2009,Tajikistan,NaN
2010,Tajikistan,NaN
2011,Tajikistan,NaN
2012,Tajikistan,NaN
2013,Tajikistan,NaN
2010,Cyprus,NaN
2011,Cyprus,0.0138774468765126
2012,Cyprus,NaN
2013,Cyprus,0.0113925310238604
2014,Cyprus,NaN
2015,Cyprus,0.0121555898700637
2016,Cyprus,NaN
2017,Cyprus,0.0118343535250152
2018,Cyprus,NaN
2001,Luxembourg,NaN
2002,Luxembourg,NaN
2003,Luxembourg,NaN
2004,Luxembourg,NaN
2005,Luxembourg,NaN
2006,Luxembourg,NaN
2007,Luxembourg,NaN
2008,Luxembourg,NaN
2009,Luxembourg,NaN
2014,Tajikistan,NaN
2015,Tajikistan,NaN
2016,Tajikistan,NaN
2017,Tajikistan,NaN
2018,Tajikistan,NaN
2019,Tajikistan,NaN
2000,Türkiye,NaN
2001,Türkiye,NaN
2002,Türkiye,NaN
2010,Luxembourg,NaN
2011,Luxembourg,NaN
2012,Luxembourg,NaN
2013,Luxembourg,NaN
2014,Luxembourg,NaN
2015,Luxembourg,NaN
2016,Luxembourg,NaN
2017,Luxembourg,NaN
2018,Luxembourg,NaN
2003,Türkiye,NaN
2004,Türkiye,NaN
2005,Türkiye,NaN
2006,Türkiye,NaN
2007,Türkiye,NaN
2008,Türkiye,NaN
2009,Türkiye,NaN
2010,Türkiye,NaN
2011,Türkiye,NaN
2019,Cyprus,NaN
2000,Czechia,NaN
2001,Czechia,NaN
2002,Czechia,NaN
2003,Czechia,NaN
2004,Czechia,NaN
2005,Czechia,NaN
2006,Czechia,NaN
2007,Czechia,NaN
2012,Türkiye,NaN
2013,Türkiye,NaN
2014,Türkiye,NaN
2015,Türkiye,NaN
2016,Türkiye,NaN
2017,Türkiye,NaN
2018,Türkiye,NaN
2019,Türkiye,NaN
2000,Turkmenistan,NaN
2008,Czechia,NaN
2009,Czechia,NaN
2010,Czechia,NaN
2011,Czechia,NaN
2012,Czechia,NaN
2013,Czechia,NaN
2014,Czechia,NaN
2015,Czechia,NaN
2016,Czechia,NaN
2001,Turkmenistan,NaN
2002,Turkmenistan,NaN
2003,Turkmenistan,NaN
2004,Turkmenistan,NaN
2005,Turkmenistan,NaN
2006,Turkmenistan,NaN
2007,Turkmenistan,NaN
2008,Turkmenistan,NaN
2009,Turkmenistan,NaN
2019,Luxembourg,NaN
2000,Malta,NaN
2001,Malta,NaN
2002,Malta,NaN
2003,Malta,NaN
2004,Malta,NaN
2005,Malta,NaN
2006,Malta,NaN
2007,Malta,NaN
2017,Czechia,NaN
2018,Czechia,NaN
2019,Czechia,NaN
2000,Denmark,NaN
2001,Denmark,NaN
2002,Denmark,NaN
2003,Denmark,NaN
2004,Denmark,NaN
2005,Denmark,NaN
2010,Turkmenistan,NaN
2011,Turkmenistan,NaN
2012,Turkmenistan,NaN
2013,Turkmenistan,NaN
2014,Turkmenistan,NaN
2015,Turkmenistan,NaN
2016,Turkmenistan,NaN
2017,Turkmenistan,NaN
2018,Turkmenistan,NaN
2008,Malta,NaN
2009,Malta,NaN
2010,Malta,NaN
2011,Malta,0.0599359593985672
2012,Malta,NaN
2013,Malta,0.0293769134711231
2014,Malta,NaN
2015,Malta,0.0342418775827427
2016,Malta,NaN
2006,Denmark,NaN
