Year,GeoAreaName,Value
2021,Azerbaijan,67
2021,Austria,100
2021,Bulgaria,100
2021,Belarus,67
2021,Croatia,100
2021,Czechia,100
2021,Denmark,100
2021,Estonia,100
2023,France,100
2021,Germany,100
2021,Greece,100
2021,Iceland,100
2023,Iceland,100
2021,Ireland,100
2021,Kazakhstan,0
2023,Latvia,100
2021,Liechtenstein,0
2021,Lithuania,100
2021,Montenegro,67
2021,Portugal,100
2023,Portugal,100
2021,Romania,100
2021,Slovakia,100
2021,Slovenia,100
2023,Slovenia,100
2021,Switzerland,67
2023,Switzerland,67
2023,Switzerland,67
