Year,GeoAreaName,Age,Freq,Location,Sex,Value
2014,Bulgaria,,,,,97.48534
2015,Bulgaria,,,,,97.48534
2016,Bulgaria,,,,,97.48534
2017,Bulgaria,,,,,97.48534
2018,Bulgaria,,,,,99.32538
2019,Bulgaria,,,,,99.4971
2000,Albania,,,,,21.63053
2001,Albania,,,,,21.63053
2002,Albania,,,,,21.63053
2003,Albania,,,,,21.63053
2004,Albania,,,,,21.6336
2005,Albania,,,,,21.6336
2020,Bulgaria,,,,,99.4971
2021,Bulgaria,,,,,99.4971
2022,Bulgaria,,,,,99.4971
2000,Belarus,,,,,N
2001,Belarus,,,,,N
2002,Belarus,,,,,N
2006,Albania,,,,,23.54735
2007,Albania,,,,,26.17119
2008,Albania,,,,,30.45205
2009,Albania,,,,,30.45205
2010,Albania,,,,,30.66174
2011,Albania,,,,,34.8253
2003,Belarus,,,,,N
2004,Belarus,,,,,N
2005,Belarus,,,,,N
2006,Belarus,,,,,N
2007,Belarus,,,,,N
2008,Belarus,,,,,N
2000,Germany,,,,,49.0071
2001,Germany,,,,,53.10622
2002,Germany,,,,,53.25653
2003,Germany,,,,,53.51297
2004,Germany,,,,,62.45386
2005,Germany,,,,,66.74506
2012,Albania,,,,,39.05133
2013,Albania,,,,,39.10767
2014,Albania,,,,,39.10767
2015,Albania,,,,,39.10767
2016,Albania,,,,,39.12337
2017,Albania,,,,,39.12337
2009,Belarus,,,,,N
2010,Belarus,,,,,N
2011,Belarus,,,,,N
2012,Belarus,,,,,N
2013,Belarus,,,,,N
2014,Belarus,,,,,N
2015,Belarus,,,,,N
2016,Belarus,,,,,N
2017,Belarus,,,,,N
2018,Belarus,,,,,N
2019,Belarus,,,,,N
2020,Belarus,,,,,N
2018,Albania,,,,,40.29851
2019,Albania,,,,,40.29851
2020,Albania,,,,,40.29851
2021,Albania,,,,,40.29851
2022,Albania,,,,,40.29851
2000,Azerbaijan,,,,,32.89862
2014,Malta,,,,,N
2015,Malta,,,,,N
2016,Malta,,,,,N
2017,Malta,,,,,N
2018,Malta,,,,,N
2019,Malta,,,,,N
2001,Azerbaijan,,,,,32.89862
2002,Azerbaijan,,,,,32.89862
2003,Azerbaijan,,,,,36.47725
2004,Azerbaijan,,,,,41.7327
2005,Azerbaijan,,,,,41.96663
2006,Azerbaijan,,,,,50.04243
2021,Belarus,,,,,N
2022,Belarus,,,,,N
2000,Croatia,,,,,23.15899
2001,Croatia,,,,,23.17296
2002,Croatia,,,,,23.17398
2003,Croatia,,,,,23.18993
2007,Azerbaijan,,,,,50.04243
2008,Azerbaijan,,,,,53.42114
2009,Azerbaijan,,,,,55.5121
2010,Azerbaijan,,,,,55.5121
2011,Azerbaijan,,,,,55.5121
2012,Azerbaijan,,,,,55.5121
2020,Malta,,,,,N
2021,Malta,,,,,N
2022,Malta,,,,,N
2000,Republic of Moldova,,,,,64.87439
2001,Republic of Moldova,,,,,64.87439
2002,Republic of Moldova,,,,,64.87439
2013,Azerbaijan,,,,,55.5121
2014,Azerbaijan,,,,,55.5121
2015,Azerbaijan,,,,,55.5121
2016,Azerbaijan,,,,,55.5121
2017,Azerbaijan,,,,,55.5121
2018,Azerbaijan,,,,,55.5121
2019,Azerbaijan,,,,,55.5121
2020,Azerbaijan,,,,,55.5121
2021,Azerbaijan,,,,,55.5121
2022,Azerbaijan,,,,,55.5121
2000,Austria,,,,,52.21336
2001,Austria,,,,,54.46961
2002,Austria,,,,,55.04493
2003,Austria,,,,,55.22844
2004,Austria,,,,,59.00051
2005,Austria,,,,,59.036
2006,Austria,,,,,60.72172
2007,Austria,,,,,61.43149
2006,Germany,,,,,74.19878
2007,Germany,,,,,77.13312
2008,Germany,,,,,79.04088
2009,Germany,,,,,79.04617
2010,Germany,,,,,79.10782
2011,Germany,,,,,79.18076
2003,Republic of Moldova,,,,,64.87439
2004,Republic of Moldova,,,,,64.87439
2005,Republic of Moldova,,,,,64.87439
2006,Republic of Moldova,,,,,64.87439
2007,Republic of Moldova,,,,,96.2902
2008,Republic of Moldova,,,,,96.2902
2008,Austria,,,,,61.50282
2009,Austria,,,,,61.50581
2010,Austria,,,,,62.71691
2011,Austria,,,,,63.54955
2012,Austria,,,,,63.57477
2013,Austria,,,,,65.03622
2012,Germany,,,,,79.18301
2013,Germany,,,,,79.19503
2014,Germany,,,,,79.2071
2015,Germany,,,,,79.20797
2016,Germany,,,,,79.26345
2017,Germany,,,,,79.2639
2014,Austria,,,,,65.07019
2015,Austria,,,,,65.27334
2016,Austria,,,,,65.2805
2017,Austria,,,,,65.2805
2018,Austria,,,,,65.29621
2019,Austria,,,,,65.34537
2018,Germany,,,,,79.27319
2019,Germany,,,,,81.11495
2020,Germany,,,,,81.11495
2021,Germany,,,,,81.11495
2022,Germany,,,,,81.11495
2000,Greece,,,,,22.44551
2020,Austria,,,,,65.34596
2021,Austria,,,,,65.34596
2022,Austria,,,,,65.34596
2000,Armenia,,,,,12.99469
2001,Armenia,,,,,12.99469
2002,Armenia,,,,,15.56634
2004,Croatia,,,,,23.18993
2005,Croatia,,,,,23.18993
2006,Croatia,,,,,23.18993
2007,Croatia,,,,,23.18993
2008,Croatia,,,,,23.18993
2009,Croatia,,,,,23.18993
2009,Republic of Moldova,,,,,96.2902
2010,Republic of Moldova,,,,,96.2902
2011,Republic of Moldova,,,,,96.2902
2012,Republic of Moldova,,,,,96.2902
2013,Republic of Moldova,,,,,96.2902
2014,Republic of Moldova,,,,,96.2902
2003,Armenia,,,,,15.56634
2004,Armenia,,,,,15.56634
2005,Armenia,,,,,15.56634
2006,Armenia,,,,,15.56634
2007,Armenia,,,,,15.60131
2008,Armenia,,,,,15.60131
2009,Armenia,,,,,22.34083
2010,Armenia,,,,,22.34083
2011,Armenia,,,,,23.39704
2012,Armenia,,,,,23.39704
2013,Armenia,,,,,23.39704
2014,Armenia,,,,,23.39704
2010,Croatia,,,,,23.18993
2011,Croatia,,,,,23.18993
2012,Croatia,,,,,23.18993
2013,Croatia,,,,,67.20983
2014,Croatia,,,,,73.73557
2015,Croatia,,,,,73.73557
2015,Republic of Moldova,,,,,96.2902
2016,Republic of Moldova,,,,,96.2902
2017,Republic of Moldova,,,,,96.2902
2018,Republic of Moldova,,,,,96.2902
2019,Republic of Moldova,,,,,96.2902
2020,Republic of Moldova,,,,,96.2902
2001,Greece,,,,,32.0045
2002,Greece,,,,,43.64811
2003,Greece,,,,,44.23323
2004,Greece,,,,,44.31408
2005,Greece,,,,,46.26564
2006,Greece,,,,,46.94684
2015,Armenia,,,,,23.39704
2016,Armenia,,,,,23.39704
2017,Armenia,,,,,23.39704
2018,Armenia,,,,,23.39704
2019,Armenia,,,,,23.39704
2020,Armenia,,,,,23.39704
2021,Armenia,,,,,23.39704
2022,Armenia,,,,,23.39704
2000,Belgium,,,,,3.94534
2001,Belgium,,,,,3.9741
2002,Belgium,,,,,4.07991
2003,Belgium,,,,,5.25809
2021,Republic of Moldova,,,,,96.2902
2022,Republic of Moldova,,,,,96.2902
2000,Montenegro,,,,,19.13924
2001,Montenegro,,,,,19.13924
2002,Montenegro,,,,,19.13924
