Year,GeoAreaName,Age,Freq,Location,Sex,Value
1993,Bulgaria,,,,,0.93913
1994,Bulgaria,,,,,0.93908
1995,Bulgaria,,,,,0.93869
1996,Bulgaria,,,,,0.93804
1997,Bulgaria,,,,,0.9375
1998,Bulgaria,,,,,0.93709
1999,Bulgaria,,,,,0.93666
2000,Bulgaria,,,,,0.93639
2001,Bulgaria,,,,,0.93613
2002,Bulgaria,,,,,0.93586
2003,Bulgaria,,,,,0.9356
2004,Bulgaria,,,,,0.93558
2005,Bulgaria,,,,,0.93557
2006,Bulgaria,,,,,0.93556
1993,Albania,,,,,0.9084
1994,Albania,,,,,0.90552
1995,Albania,,,,,0.90254
1996,Albania,,,,,0.89991
1997,Albania,,,,,0.89705
1998,Albania,,,,,0.89441
1999,Albania,,,,,0.89146
2000,Albania,,,,,0.88871
2001,Albania,,,,,0.88603
2002,Albania,,,,,0.88358
2003,Albania,,,,,0.88093
2004,Albania,,,,,0.87824
2005,Albania,,,,,0.87675
2006,Albania,,,,,0.87452
2007,Bulgaria,,,,,0.93555
2008,Bulgaria,,,,,0.93555
2009,Bulgaria,,,,,0.93555
2010,Bulgaria,,,,,0.93555
2011,Bulgaria,,,,,0.93555
2012,Bulgaria,,,,,0.93555
2013,Bulgaria,,,,,0.93554
2007,Albania,,,,,0.87201
2008,Albania,,,,,0.86935
2009,Albania,,,,,0.86699
2010,Albania,,,,,0.86416
2011,Albania,,,,,0.86223
2012,Albania,,,,,0.86053
2013,Albania,,,,,0.85778
2014,Bulgaria,,,,,0.93554
2015,Bulgaria,,,,,0.93553
2016,Bulgaria,,,,,0.93553
2017,Bulgaria,,,,,0.93552
2018,Bulgaria,,,,,0.93552
2019,Bulgaria,,,,,0.93551
2020,Bulgaria,,,,,0.9355
2014,Albania,,,,,0.855
2015,Albania,,,,,0.85307
2016,Albania,,,,,0.85082
2017,Albania,,,,,0.84756
2018,Albania,,,,,0.84583
2019,Albania,,,,,0.84397
2020,Albania,,,,,0.84089
2021,Bulgaria,,,,,0.9355
2022,Bulgaria,,,,,0.93549
2023,Bulgaria,,,,,0.93549
1993,Belarus,,,,,0.93945
1994,Belarus,,,,,0.94068
1995,Belarus,,,,,0.94164
1996,Belarus,,,,,0.94252
1997,Belarus,,,,,0.94377
1998,Belarus,,,,,0.94458
1999,Belarus,,,,,0.94568
2000,Belarus,,,,,0.94676
2001,Belarus,,,,,0.94798
2002,Belarus,,,,,0.94918
2003,Belarus,,,,,0.95039
2004,Belarus,,,,,0.95159
2005,Belarus,,,,,0.95284
