Year,GeoAreaName,Value
2013,Denmark,227.76494
2014,Denmark,329.3186
2015,Denmark,162.27731
2016,Denmark,40.36386
2017,Denmark,55.15269
2018,Denmark,35.67133
2019,Denmark,12.20398
2020,Denmark,42.9986
2002,Finland,14.19615
2003,Finland,4.48746
2004,Finland,18.73247
2005,Finland,3.29997
2006,Finland,3.6644
2007,Finland,51.85736
2008,Finland,121.94966
2009,Finland,108.81904
2010,Finland,109.0136
2011,Finland,183.15726
2012,Finland,42.96213
2013,Finland,18.32246
2014,Finland,13.26543
2015,Finland,20.96492
2016,Finland,6.50342
2017,Finland,3.52332
2018,Finland,23.24849
2019,Finland,9.73959
2020,Finland,3.62542
2002,France,111.43161
2003,France,67.43607
2004,France,117.11995
2005,France,71.89484
2006,France,120.38758
2007,France,161.48857
2008,France,196.79588
2009,France,225.44262
2010,France,429.10863
2011,France,295.77466
2012,France,501.81658
2013,France,231.74772
2014,France,653.31947
2015,France,1739.78274
2016,France,2069.45064
2017,France,2491.23052
2018,France,1604.46646
2019,France,345.64581
2020,France,433.7063
2002,Germany,245.72886
2003,Germany,202.46408
2002,Austria,10.37847
2003,Austria,4.76517
2004,Austria,10.10228
2005,Austria,15.83833
2006,Austria,17.2929
2007,Austria,13.30936
2008,Austria,31.07242
2009,Austria,30.08762
2010,Austria,16.90335
2011,Austria,17.65879
2012,Austria,15.90441
2013,Austria,46.45244
2014,Austria,21.68192
2015,Austria,19.15519
2016,Austria,21.66291
2017,Austria,23.79483
2018,Austria,22.76732
2019,Austria,22.84094
2020,Austria,22.09175
2002,Belgium,5.93604
2003,Belgium,5.81692
2004,Belgium,19.60308
2005,Belgium,26.66043
2006,Belgium,29.84759
2007,Belgium,57.74373
2008,Belgium,112.89724
2009,Belgium,157.3725
2010,Belgium,146.32683
2011,Belgium,153.65582
2012,Belgium,87.28451
2013,Belgium,155.10123
2014,Belgium,178.57071
2015,Belgium,216.06653
2016,Belgium,143.61634
2017,Belgium,198.8029
2018,Belgium,130.93305
2019,Belgium,99.18869
2020,Belgium,133.37396
2011,Czechia,0.34443
2012,Czechia,5.23404
2013,Czechia,3.89897
2014,Czechia,4.66947
2015,Czechia,3.57133
2016,Czechia,4.29613
2017,Czechia,3.50047
2018,Czechia,1.78995
2019,Czechia,3.6288
2020,Czechia,4.27907
2002,Austria,10.37847
2003,Austria,4.76517
2004,Austria,10.10228
2005,Austria,15.83833
2006,Austria,17.2929
2007,Austria,13.30936
2008,Austria,31.07242
2009,Austria,30.08762
2002,Denmark,99.95978
2003,Denmark,93.02426
2004,Denmark,163.9119
2005,Denmark,179.12993
2006,Denmark,155.96151
2007,Denmark,102.5449
2008,Denmark,116.55797
2009,Denmark,109.63568
2004,Germany,279.56346
2005,Germany,319.32949
2006,Germany,310.22522
2007,Germany,247.16532
2008,Germany,272.05033
2009,Germany,363.75987
2010,Germany,592.96386
2011,Germany,1167.88015
2010,Austria,16.90335
2011,Austria,17.65879
2012,Austria,15.90441
2013,Austria,46.45244
2014,Austria,21.68192
2015,Austria,19.15519
2016,Austria,21.66291
2017,Austria,23.79483
2018,Austria,22.76732
2019,Austria,22.84094
2020,Austria,22.09175
2002,Belgium,5.93604
2003,Belgium,5.81692
2004,Belgium,19.60308
2005,Belgium,26.66043
2006,Belgium,29.84759
2007,Belgium,57.74373
2008,Belgium,112.89724
2009,Belgium,157.3725
2010,Belgium,146.32683
2011,Belgium,153.65582
2012,Belgium,87.28451
2013,Belgium,155.10123
2014,Belgium,178.57071
2012,Germany,990.23013
2013,Germany,969.48922
2014,Germany,1169.05966
2015,Germany,1302.21901
2016,Germany,1228.95911
2017,Germany,1930.31463
2018,Germany,1595.77423
2019,Germany,2304.35235
2015,Belgium,216.06653
2016,Belgium,143.61634
2017,Belgium,198.8029
2018,Belgium,130.93305
2019,Belgium,99.18869
2020,Belgium,133.37396
2011,Czechia,0.34443
2012,Czechia,5.23404
2020,Germany,2375.95682
2002,Greece,2.48673
2003,Greece,6.51763
2004,Greece,4.49798
2005,Greece,3.99673
2006,Greece,2.03176
2007,Greece,3.06333
2008,Greece,1.67572
2013,Czechia,3.89897
2014,Czechia,4.66947
2015,Czechia,3.57133
2016,Czechia,4.29613
2017,Czechia,3.50047
2018,Czechia,1.78995
2019,Czechia,3.6288
2020,Czechia,4.27907
2009,Greece,6.78673
2010,Greece,3.60372
2012,Greece,0.45821
2013,Greece,0.10624
2014,Greece,0.21443
2015,Greece,0.19755
2016,Greece,0.98136
2017,Greece,0.23098
2002,Denmark,99.95978
2003,Denmark,93.02426
2004,Denmark,163.9119
2005,Denmark,179.12993
2006,Denmark,155.96151
2007,Denmark,102.5449
2008,Denmark,116.55797
2009,Denmark,109.63568
2018,Greece,0.00199
2020,Greece,0.01908
2019,Hungary,0.33644
2020,Hungary,25.72159
2012,Iceland,4.78043
2013,Iceland,5.88623
2014,Iceland,5.23992
2015,Iceland,4.25626
2010,Denmark,240.93247
2011,Denmark,147.6153
2012,Denmark,114.9755
2013,Denmark,227.76494
2014,Denmark,329.3186
2015,Denmark,162.27731
2016,Denmark,40.36386
2017,Denmark,55.15269
2016,Iceland,3.95597
2017,Iceland,4.12332
2018,Iceland,3.68414
2019,Iceland,3.81069
2020,Iceland,3.30804
2002,Ireland,1.83867
2003,Ireland,0.89187
2004,Ireland,0.86
2018,Denmark,35.67133
2019,Denmark,12.20398
2020,Denmark,42.9986
2002,Finland,14.19615
2003,Finland,4.48746
2004,Finland,18.73247
2005,Finland,3.29997
2006,Finland,3.6644
2005,Ireland,0.01298
2007,Ireland,14.19611
2008,Ireland,14.29975
2009,Ireland,95.48127
2010,Ireland,41.84222
2011,Ireland,16.09334
2012,Ireland,36.19266
2013,Ireland,40.44486
2007,Finland,51.85736
2008,Finland,121.94966
2009,Finland,108.81904
2010,Finland,109.0136
2011,Finland,183.15726
2012,Finland,42.96213
2013,Finland,18.32246
2014,Finland,13.26543
2015,Finland,20.96492
2016,Finland,6.50342
2017,Finland,3.52332
2018,Finland,23.24849
2019,Finland,9.73959
2020,Finland,3.62542
2002,France,111.43161
2003,France,67.43607
2014,Ireland,32.94409
2015,Ireland,26.16143
2016,Ireland,46.63055
2017,Ireland,30.08564
2018,Ireland,29.39198
2019,Ireland,36.92211
2020,Ireland,47.35693
2003,Italy,0.37604
2004,France,117.11995
2005,France,71.89484
2006,France,120.38758
2007,France,161.48857
2008,France,196.79588
2009,France,225.44262
2010,France,429.10863
2011,France,295.77466
2012,France,501.81658
2013,France,231.74772
2014,France,653.31947
2015,France,1739.78274
2016,France,2069.45064
2017,France,2491.23052
2018,France,1604.46646
2019,France,345.64581
2020,France,433.7063
2002,Germany,245.72886
2003,Germany,202.46408
2004,Germany,279.56346
2005,Germany,319.32949
2006,Germany,310.22522
2007,Germany,247.16532
2008,Germany,272.05033
2009,Germany,363.75987
2010,Germany,592.96386
2011,Germany,1167.88015
2012,Germany,990.23013
2013,Germany,969.48922
2014,Germany,1169.05966
2015,Germany,1302.21901
2016,Germany,1228.95911
2017,Germany,1930.31463
