Year,GeoAreaName,Sex,Value
1990,Austria,MALE,49
1990,Austria,FEMALE,40
1990,Austria,BOTHSEX,89
1991,Austria,BOTHSEX,103
1991,Austria,FEMALE,47
1991,Austria,MALE,56
1992,Austria,MALE,54
1992,Austria,FEMALE,43
1992,Austria,BOTHSEX,97
1993,Austria,BOTHSEX,80
1993,Austria,FEMALE,35
1993,Austria,MALE,45
1994,Austria,MALE,36
1994,Austria,FEMALE,52
1994,Austria,BOTHSEX,88
1995,Austria,FEMALE,38
1995,Austria,MALE,40
1995,Austria,BOTHSEX,78
1996,Austria,BOTHSEX,99
1996,Austria,MALE,48
1996,Austria,FEMALE,51
1997,Austria,FEMALE,37
1997,Austria,MALE,29
1997,Austria,BOTHSEX,66
1998,Austria,BOTHSEX,77
1998,Austria,MALE,43
1998,Austria,FEMALE,34
1999,Austria,FEMALE,32
1999,Austria,MALE,28
1999,Austria,BOTHSEX,60
2000,Austria,BOTHSEX,82
2000,Austria,MALE,28
2000,Austria,FEMALE,54
2001,Austria,MALE,28
2001,Austria,BOTHSEX,70
2001,Austria,FEMALE,42
2011,Finland,MALE,73
2011,Finland,BOTHSEX,110
2011,Finland,FEMALE,37
2012,Finland,FEMALE,41
2012,Finland,BOTHSEX,89
2012,Finland,MALE,48
2013,Finland,MALE,66
2013,Finland,FEMALE,23
2013,Finland,BOTHSEX,89
2014,Finland,BOTHSEX,88
2002,Austria,BOTHSEX,65
2002,Austria,MALE,27
2002,Austria,FEMALE,38
2003,Austria,FEMALE,23
2003,Austria,MALE,27
2003,Austria,BOTHSEX,50
2004,Austria,BOTHSEX,59
2004,Austria,FEMALE,32
2004,Austria,MALE,27
2005,Austria,MALE,30
2005,Austria,FEMALE,24
2005,Austria,BOTHSEX,54
2014,Finland,FEMALE,27
2014,Finland,MALE,61
2015,Finland,MALE,66
2015,Finland,BOTHSEX,82
2015,Finland,FEMALE,16
2016,Finland,FEMALE,22
2016,Finland,BOTHSEX,74
2016,Finland,MALE,52
2017,Finland,MALE,37
2017,Finland,FEMALE,30
2006,Austria,MALE,32
2006,Austria,BOTHSEX,61
2006,Austria,FEMALE,29
2007,Austria,MALE,21
2007,Austria,FEMALE,24
2007,Austria,BOTHSEX,45
2008,Austria,BOTHSEX,58
2008,Austria,FEMALE,29
2008,Austria,MALE,29
2009,Austria,MALE,23
2009,Austria,FEMALE,28
2009,Austria,BOTHSEX,51
2017,Finland,BOTHSEX,67
2018,Finland,MALE,62
2018,Finland,BOTHSEX,86
2018,Finland,FEMALE,24
2019,Finland,FEMALE,28
2019,Finland,MALE,53
2019,Finland,BOTHSEX,81
2020,Finland,BOTHSEX,91
1990,France,BOTHSEX,1355
1991,France,BOTHSEX,1355
1992,France,BOTHSEX,1342
1993,France,BOTHSEX,1519
1994,France,BOTHSEX,1406
1995,France,BOTHSEX,1336
1996,France,BOTHSEX,1171
1997,France,BOTHSEX,963
1998,France,BOTHSEX,961
1999,France,BOTHSEX,953
2000,France,BOTHSEX,1051
2001,France,BOTHSEX,1047
2002,France,BOTHSEX,1119
2003,France,BOTHSEX,987
2004,France,BOTHSEX,990
2005,France,BOTHSEX,976
2006,France,BOTHSEX,879
2007,France,BOTHSEX,993
2008,France,BOTHSEX,1021
2009,France,BOTHSEX,819
2010,France,BOTHSEX,796
2011,France,BOTHSEX,856
2012,France,BOTHSEX,784
1990,Republic of Moldova,BOTHSEX,290
1991,Republic of Moldova,BOTHSEX,290
1991,Republic of Moldova,MALE,193
1991,Republic of Moldova,FEMALE,97
1992,Republic of Moldova,MALE,373
1992,Republic of Moldova,FEMALE,126
1992,Republic of Moldova,BOTHSEX,499
1993,Republic of Moldova,MALE,274
1993,Republic of Moldova,BOTHSEX,387
1993,Republic of Moldova,FEMALE,113
1994,Republic of Moldova,FEMALE,104
2013,France,BOTHSEX,777
2014,France,BOTHSEX,792
2015,France,MALE,630
2015,France,FEMALE,382
2015,France,BOTHSEX,1012
2016,France,FEMALE,282
2016,France,MALE,497
2016,France,BOTHSEX,779
2017,France,FEMALE,257
2017,France,MALE,453
2017,France,BOTHSEX,710
1994,Republic of Moldova,MALE,297
1994,Republic of Moldova,BOTHSEX,401
1995,Republic of Moldova,BOTHSEX,402
1995,Republic of Moldova,FEMALE,94
1995,Republic of Moldova,MALE,308
1996,Republic of Moldova,FEMALE,113
1996,Republic of Moldova,MALE,287
1996,Republic of Moldova,BOTHSEX,400
1997,Republic of Moldova,BOTHSEX,414
1997,Republic of Moldova,MALE,308
1997,Republic of Moldova,FEMALE,106
2018,France,FEMALE,223
2018,France,MALE,473
2018,France,BOTHSEX,696
2019,France,BOTHSEX,753
2019,France,MALE,492
2019,France,FEMALE,261
2020,France,FEMALE,194
2020,France,MALE,498
2020,France,BOTHSEX,692
2021,France,MALE,506
1992,Albania,BOTHSEX,130
1992,Albania,FEMALE,14
1992,Albania,MALE,116
1993,Albania,BOTHSEX,191
1993,Albania,MALE,175
1993,Albania,FEMALE,16
1994,Albania,FEMALE,12
1994,Albania,MALE,100
1994,Albania,BOTHSEX,112
1995,Albania,BOTHSEX,259
1995,Albania,MALE,233
1995,Albania,FEMALE,26
1996,Albania,FEMALE,28
1998,Republic of Moldova,MALE,284
1998,Republic of Moldova,FEMALE,91
1998,Republic of Moldova,BOTHSEX,375
1999,Republic of Moldova,BOTHSEX,391
1999,Republic of Moldova,FEMALE,98
1999,Republic of Moldova,MALE,293
2000,Republic of Moldova,MALE,313
2000,Republic of Moldova,BOTHSEX,433
2000,Republic of Moldova,FEMALE,120
2001,Republic of Moldova,FEMALE,120
2001,Republic of Moldova,BOTHSEX,411
1996,Albania,BOTHSEX,272
1996,Albania,MALE,244
1997,Albania,BOTHSEX,1334
1997,Albania,MALE,1157
1997,Albania,FEMALE,177
1998,Albania,BOTHSEX,660
1998,Albania,FEMALE,87
1998,Albania,MALE,573
1999,Albania,MALE,467
1999,Albania,BOTHSEX,532
1999,Albania,FEMALE,65
2000,Albania,FEMALE,13
2000,Albania,BOTHSEX,131
2001,Republic of Moldova,MALE,291
2002,Republic of Moldova,MALE,274
2002,Republic of Moldova,FEMALE,127
2002,Republic of Moldova,BOTHSEX,401
2003,Republic of Moldova,BOTHSEX,319
2003,Republic of Moldova,FEMALE,107
2003,Republic of Moldova,MALE,212
2004,Republic of Moldova,FEMALE,92
2004,Republic of Moldova,BOTHSEX,277
2004,Republic of Moldova,MALE,185
2005,Republic of Moldova,FEMALE,100
2000,Albania,MALE,118
2001,Albania,MALE,181
2001,Albania,BOTHSEX,220
2001,Albania,FEMALE,39
2002,Albania,FEMALE,39
2002,Albania,BOTHSEX,216
2002,Albania,MALE,177
2003,Albania,BOTHSEX,166
2003,Albania,MALE,145
2003,Albania,FEMALE,21
2004,Albania,BOTHSEX,131
2004,Albania,FEMALE,19
2004,Albania,MALE,112
2005,Republic of Moldova,BOTHSEX,296
2005,Republic of Moldova,MALE,196
2006,Republic of Moldova,BOTHSEX,262
2006,Republic of Moldova,FEMALE,76
2006,Republic of Moldova,MALE,186
2007,Republic of Moldova,MALE,149
2007,Republic of Moldova,FEMALE,68
2007,Republic of Moldova,BOTHSEX,217
2008,Republic of Moldova,BOTHSEX,236
2021,France,FEMALE,228
2021,France,BOTHSEX,734
1990,Georgia,BOTHSEX,270
1991,Georgia,BOTHSEX,419
1992,Georgia,BOTHSEX,770
1993,Georgia,BOTHSEX,878
1994,Georgia,BOTHSEX,578
1995,Georgia,BOTHSEX,391
1996,Georgia,BOTHSEX,270
1997,Georgia,BOTHSEX,285
2005,Albania,BOTHSEX,154
2005,Albania,FEMALE,21
2005,Albania,MALE,133
2006,Albania,BOTHSEX,95
2006,Albania,FEMALE,23
2006,Albania,MALE,72
2007,Albania,FEMALE,24
2007,Albania,BOTHSEX,105
2007,Albania,MALE,81
2008,Albania,BOTHSEX,93
2008,Republic of Moldova,MALE,145
2008,Republic of Moldova,FEMALE,91
2009,Republic of Moldova,MALE,175
2009,Republic of Moldova,BOTHSEX,246
2009,Republic of Moldova,FEMALE,71
2010,Republic of Moldova,BOTHSEX,265
2010,Republic of Moldova,FEMALE,102
2010,Republic of Moldova,MALE,163
2011,Republic of Moldova,MALE,129
2011,Republic of Moldova,FEMALE,87
1998,Georgia,BOTHSEX,243
1999,Georgia,BOTHSEX,244
2000,Georgia,BOTHSEX,239
2001,Georgia,BOTHSEX,263
2002,Georgia,BOTHSEX,292
2004,Georgia,BOTHSEX,298
2004,Georgia,FEMALE,34
2004,Georgia,MALE,264
2005,Georgia,FEMALE,72
2005,Georgia,MALE,331
2010,Austria,MALE,28
2010,Austria,FEMALE,33
2010,Austria,BOTHSEX,61
2011,Austria,FEMALE,35
2011,Austria,MALE,42
2011,Austria,BOTHSEX,77
2012,Austria,FEMALE,38
2012,Austria,MALE,43
2012,Austria,BOTHSEX,81
2013,Austria,FEMALE,29
2011,Republic of Moldova,BOTHSEX,216
2012,Republic of Moldova,BOTHSEX,229
2012,Republic of Moldova,MALE,166
2012,Republic of Moldova,FEMALE,63
2013,Republic of Moldova,BOTHSEX,229
2013,Republic of Moldova,FEMALE,69
2013,Republic of Moldova,MALE,160
2014,Republic of Moldova,MALE,144
2014,Republic of Moldova,FEMALE,17
2014,Republic of Moldova,BOTHSEX,161
2015,Republic of Moldova,BOTHSEX,189
2015,Republic of Moldova,FEMALE,47
2015,Republic of Moldova,MALE,142
2016,Republic of Moldova,FEMALE,48
2016,Republic of Moldova,BOTHSEX,200
2016,Republic of Moldova,MALE,152
2017,Republic of Moldova,BOTHSEX,141
2017,Republic of Moldova,MALE,105
2017,Republic of Moldova,FEMALE,36
2008,Albania,FEMALE,19
2008,Albania,MALE,74
2009,Albania,MALE,78
2009,Albania,FEMALE,7
2009,Albania,BOTHSEX,85
2010,Albania,MALE,108
2010,Albania,BOTHSEX,119
