Year,GeoAreaName,Sex,Value
2018,Belgium,BOTHSEX,74.25
2018,Belgium,MALE,79.14
2018,Belgium,FEMALE,69.70
2020,Bulgaria,FEMALE,18.60
2015,Estonia,BOTHSEX,74.00
2016,Estonia,BOTHSEX,72.00
2017,Estonia,BOTHSEX,76.00
2018,Estonia,BOTHSEX,76.00
2019,Estonia,BOTHSEX,76.10
2020,Estonia,BOTHSEX,74.10
2020,Estonia,FEMALE,62.00
2020,Estonia,MALE,88.00
2021,Estonia,FEMALE,63.60
2021,Estonia,BOTHSEX,75.00
2021,Estonia,MALE,88.00
2013,Finland,MALE,89.90
2013,Finland,FEMALE,79.90
2013,Finland,BOTHSEX,84.90
2014,Finland,BOTHSEX,86.20
2014,Finland,FEMALE,81.80
2014,Finland,MALE,90.40
2015,Finland,FEMALE,80.00
2015,Finland,BOTHSEX,84.30
2015,Finland,MALE,88.60
2016,Finland,FEMALE,79.90
2016,Finland,MALE,89.00
2016,Finland,BOTHSEX,84.40
2017,Finland,FEMALE,80.20
2017,Finland,MALE,89.10
2017,Finland,BOTHSEX,84.70
2018,Finland,MALE,91.10
2018,Finland,BOTHSEX,86.80
2018,Finland,FEMALE,82.50
2019,Finland,BOTHSEX,88.30
2019,Finland,MALE,92.20
2019,Finland,FEMALE,84.40
2020,Finland,MALE,90.40
2020,Finland,BOTHSEX,87.40
2020,Finland,FEMALE,84.20
2021,Finland,BOTHSEX,85.80
2021,Finland,MALE,90.00
2021,Finland,FEMALE,81.40
2019,France,BOTHSEX,89.00
2012,Germany,BOTHSEX,82.80
2012,Germany,MALE,92.00
2012,Germany,FEMALE,73.90
2017,Germany,FEMALE,68.20
2017,Germany,MALE,89.40
2017,Germany,BOTHSEX,78.60
2020,Germany,MALE,83.40
2020,Germany,FEMALE,61.30
2020,Germany,BOTHSEX,72.00
2013,Iceland,BOTHSEX,90.60
2014,Iceland,BOTHSEX,92.20
2015,Iceland,BOTHSEX,92.60
2016,Iceland,BOTHSEX,92.30
2017,Iceland,BOTHSEX,91.90
2018,Iceland,FEMALE,87.10
2018,Iceland,BOTHSEX,90.90
2018,Iceland,MALE,94.50
2019,Iceland,BOTHSEX,92.50
2019,Iceland,MALE,97.00
2019,Iceland,FEMALE,88.00
2020,Iceland,BOTHSEX,95.00
2020,Iceland,MALE,95.00
2020,Iceland,FEMALE,87.00
2021,Iceland,FEMALE,86.00
2021,Iceland,BOTHSEX,89.00
2021,Iceland,MALE,92.00
2019,Ireland,BOTHSEX,75.00
2019,Ireland,MALE,87.00
2019,Ireland,FEMALE,64.00
2009,Italy,BOTHSEX,59.60
2016,Italy,BOTHSEX,60.60
2016,Italy,MALE,75.40
2016,Italy,FEMALE,46.90
2018,Kyrgyzstan,BOTHSEX,57.90
2019,Kyrgyzstan,BOTHSEX,64.35
2020,Kyrgyzstan,BOTHSEX,66.80
2021,Kyrgyzstan,BOTHSEX,67.14
2020,Latvia,BOTHSEX,75.00
2020,Latvia,MALE,85.00
2020,Latvia,FEMALE,67.00
2013,Lithuania,MALE,74.30
2013,Lithuania,FEMALE,56.60
2013,Lithuania,BOTHSEX,63.90
2016,Luxembourg,BOTHSEX,71.00
2017,Luxembourg,BOTHSEX,72.00
2020,Luxembourg,BOTHSEX,79.18
2020,Luxembourg,MALE,86.35
2020,Luxembourg,FEMALE,71.45
2013,Poland,BOTHSEX,75.50
2014,Poland,BOTHSEX,76.90
2015,Poland,BOTHSEX,78.10
2016,Poland,BOTHSEX,74.10
2017,Poland,BOTHSEX,76.10
2019,Poland,BOTHSEX,70.10
2019,Poland,FEMALE,62.00
2019,Poland,MALE,78.80
2013,Slovakia,BOTHSEX,74.00
2010,Sweden,FEMALE,71.00
2010,Sweden,MALE,87.00
2010,Sweden,BOTHSEX,78.00
2011,Sweden,FEMALE,69.00
2011,Sweden,MALE,86.00
2011,Sweden,BOTHSEX,77.00
2012,Sweden,FEMALE,70.00
2012,Sweden,BOTHSEX,78.00
2012,Sweden,MALE,86.00
2013,Sweden,MALE,87.00
2013,Sweden,FEMALE,72.00
2013,Sweden,BOTHSEX,79.00
2014,Sweden,BOTHSEX,78.00
2014,Sweden,MALE,87.00
2014,Sweden,FEMALE,71.00
2015,Sweden,MALE,86.00
2015,Sweden,BOTHSEX,78.00
2015,Sweden,FEMALE,70.00
2016,Sweden,BOTHSEX,72.00
2016,Sweden,FEMALE,63.00
2016,Sweden,MALE,82.00
2017,Sweden,FEMALE,64.00
2017,Sweden,MALE,81.00
2017,Sweden,BOTHSEX,72.00
2018,Sweden,MALE,81.00
2018,Sweden,FEMALE,64.00
2018,Sweden,BOTHSEX,72.00
2019,Sweden,FEMALE,64.00
2019,Sweden,MALE,81.00
2019,Sweden,BOTHSEX,72.00
2020,Sweden,BOTHSEX,70.00
2020,Sweden,FEMALE,62.00
2020,Sweden,MALE,78.00
2021,Sweden,FEMALE,64.00
2021,Sweden,MALE,81.00
2021,Sweden,BOTHSEX,72.00
2014,Switzerland,BOTHSEX,85.71
2014,Switzerland,MALE,93.51
2014,Switzerland,FEMALE,78.08
2015,Switzerland,FEMALE,75.26
2015,Switzerland,MALE,93.70
2015,Switzerland,BOTHSEX,84.89
2016,Switzerland,BOTHSEX,84.22
2016,Switzerland,MALE,93.17
2016,Switzerland,FEMALE,75.44
2017,Switzerland,FEMALE,78.01
2017,Switzerland,MALE,93.84
2017,Switzerland,BOTHSEX,85.86
2018,Switzerland,BOTHSEX,71.60
2018,Switzerland,MALE,75.30
2018,Switzerland,FEMALE,68.00
2019,Switzerland,FEMALE,68.40
2019,Switzerland,MALE,77.60
2019,Switzerland,BOTHSEX,72.90
2013,Türkiye,BOTHSEX,60.00
2014,Türkiye,BOTHSEX,60.00
2015,Türkiye,MALE,69.40
2015,Türkiye,BOTHSEX,56.50
2015,Türkiye,FEMALE,44.00
2016,Türkiye,BOTHSEX,59.10
2016,Türkiye,FEMALE,47.50
2016,Türkiye,MALE,71.00
2017,Türkiye,FEMALE,45.60
2017,Türkiye,BOTHSEX,57.10
2017,Türkiye,MALE,68.80
2018,Türkiye,BOTHSEX,59.10
2018,Türkiye,MALE,72.00
2018,Türkiye,FEMALE,46.40
2019,Türkiye,MALE,73.80
2019,Türkiye,BOTHSEX,61.50
2019,Türkiye,FEMALE,49.60
2020,Türkiye,FEMALE,48.70
2020,Türkiye,MALE,69.90
2020,Türkiye,BOTHSEX,59.20
2021,Türkiye,BOTHSEX,59.40
2021,Türkiye,MALE,70.90
2021,Türkiye,FEMALE,48.10
2021,Türkiye,FEMALE,48.10
