Year,GeoAreaName,Age,Sex,Value
2005,Albania,ALLAGE,BOTHSEX,0.23
2006,Albania,ALLAGE,BOTHSEX,0.2
2017,Albania,<18Y,FEMALE,5.88
2017,Albania,<18Y,BOTHSEX,3.49
2018,Albania,<18Y,MALE,4.45
2018,Albania,<18Y,FEMALE,3.68
2018,Albania,<18Y,BOTHSEX,4.08
2018,Albania,18+,BOTHSEX,0.22
2019,Albania,<18Y,BOTHSEX,3.84
2019,Albania,<18Y,FEMALE,5.13
2019,Albania,<18Y,MALE,2.61
2020,Albania,<18Y,BOTHSEX,4.26
2020,Albania,<18Y,FEMALE,5.92
2020,Albania,<18Y,MALE,2.67
2008,Kazakhstan,ALLAGE,BOTHSEX,0.04
2017,Kazakhstan,ALLAGE,BOTHSEX,0.11
2020,Kazakhstan,ALLAGE,BOTHSEX,0.11
2021,Albania,ALLAGE,BOTHSEX,0.56
2006,Azerbaijan,ALLAGE,BOTHSEX,0.1
2009,Azerbaijan,ALLAGE,BOTHSEX,0.12
2012,Azerbaijan,ALLAGE,BOTHSEX,0.18
2013,Azerbaijan,ALLAGE,BOTHSEX,0.17
2019,Uzbekistan,18+,FEMALE,0.43
2019,Uzbekistan,ALLAGE,BOTHSEX,0.14
2019,Uzbekistan,18+,BOTHSEX,0.22
2020,Uzbekistan,18+,BOTHSEX,0.06
2007,Austria,ALLAGE,BOTHSEX,0.77
2008,Austria,ALLAGE,BOTHSEX,0.96
2009,Austria,ALLAGE,BOTHSEX,0.7
2017,Austria,18+,MALE,1.3
2018,Austria,18+,MALE,0.93
2019,Austria,18+,MALE,1.12
2020,Austria,18+,FEMALE,1.09
2020,Austria,ALLAGE,BOTHSEX,0.93
2020,Austria,18+,MALE,1.17
2009,Armenia,ALLAGE,BOTHSEX,0.54
2013,Armenia,ALLAGE,BOTHSEX,0.21
2015,Armenia,ALLAGE,BOTHSEX,0.31
2016,Armenia,ALLAGE,BOTHSEX,0.73
2017,Armenia,ALLAGE,BOTHSEX,0.32
2018,Armenia,ALLAGE,BOTHSEX,0.95
2018,Armenia,18+,FEMALE,1.86
2019,Armenia,ALLAGE,BOTHSEX,0.18
2005,Belgium,ALLAGE,BOTHSEX,0.54
2006,Belgium,ALLAGE,BOTHSEX,0.61
2007,Belgium,ALLAGE,BOTHSEX,2.72
2008,Belgium,ALLAGE,BOTHSEX,1.9
2009,Belgium,ALLAGE,BOTHSEX,1.85
2012,Belgium,ALLAGE,BOTHSEX,0.59
2013,Belgium,ALLAGE,BOTHSEX,0.71
2014,Belgium,18+,FEMALE,1.62
2014,Belgium,ALLAGE,BOTHSEX,0.77
2014,Belgium,18+,MALE,0.25
2015,Belgium,18+,MALE,0.16
2015,Belgium,ALLAGE,BOTHSEX,0.54
2015,Belgium,18+,FEMALE,1.11
2016,Belgium,18+,FEMALE,1.08
2016,Belgium,ALLAGE,BOTHSEX,0.55
2016,Belgium,18+,MALE,0.23
2017,Belgium,18+,MALE,0.34
2017,Belgium,ALLAGE,BOTHSEX,0.57
2017,Belgium,18+,FEMALE,0.99
2018,Belgium,ALLAGE,BOTHSEX,0.66
2018,Belgium,18+,MALE,1.48
2018,Belgium,18+,FEMALE,0.17
2019,Belgium,18+,MALE,0.42
2019,Belgium,ALLAGE,BOTHSEX,0.76
2019,Belgium,18+,FEMALE,1.32
2020,Belgium,18+,BOTHSEX,0.52
2012,Latvia,ALLAGE,BOTHSEX,0.24
2014,Latvia,18+,FEMALE,0.87
2014,Latvia,ALLAGE,BOTHSEX,0.6
2017,Latvia,ALLAGE,BOTHSEX,0.46
2017,Latvia,18+,BOTHSEX,0.44
2017,Latvia,18+,FEMALE,0.79
2018,Latvia,ALLAGE,BOTHSEX,0.57
2018,Latvia,18+,FEMALE,1.15
2018,Latvia,18+,BOTHSEX,0.7
2019,Latvia,18+,BOTHSEX,1.73
2019,Latvia,ALLAGE,BOTHSEX,1.46
2019,Latvia,18+,FEMALE,0.58
2019,Latvia,18+,MALE,3.27
2020,Latvia,ALLAGE,BOTHSEX,1.95
2020,Latvia,18+,BOTHSEX,2.39
2020,Latvia,18+,FEMALE,4
2014,Lithuania,ALLAGE,BOTHSEX,0.2
2020,Belgium,18+,MALE,0.18
2020,Belgium,18+,FEMALE,0.85
2020,Belgium,ALLAGE,BOTHSEX,0.42
2010,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.45
2011,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.27
2012,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.35
2016,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.37
2017,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.2
2007,Bulgaria,ALLAGE,BOTHSEX,0.32
2008,Bulgaria,ALLAGE,BOTHSEX,1.17
2009,Bulgaria,ALLAGE,BOTHSEX,0.71
2010,Bulgaria,ALLAGE,BOTHSEX,0.45
2011,Bulgaria,ALLAGE,BOTHSEX,1.21
2012,Bulgaria,ALLAGE,BOTHSEX,0.87
2013,Bulgaria,ALLAGE,BOTHSEX,0.59
2014,Bulgaria,18+,FEMALE,0.34
2014,Bulgaria,ALLAGE,BOTHSEX,0.22
2014,Lithuania,18+,FEMALE,0.37
2015,Lithuania,ALLAGE,BOTHSEX,0.17
2016,Lithuania,18+,FEMALE,0.68
2016,Lithuania,ALLAGE,BOTHSEX,0.41
2017,Lithuania,ALLAGE,BOTHSEX,1.21
2017,Lithuania,18+,FEMALE,1.84
2017,Lithuania,18+,MALE,1.01
2019,Lithuania,ALLAGE,BOTHSEX,0.25
2019,Lithuania,18+,FEMALE,0.47
2020,Lithuania,ALLAGE,BOTHSEX,0.21
2020,Lithuania,18+,BOTHSEX,0.26
2014,Luxembourg,ALLAGE,BOTHSEX,1.26
2017,Luxembourg,18+,BOTHSEX,2.08
2017,Luxembourg,ALLAGE,BOTHSEX,2.52
2017,Luxembourg,18+,MALE,2.5
2018,Luxembourg,18+,MALE,2.45
2018,Luxembourg,18+,BOTHSEX,1.63
2018,Luxembourg,ALLAGE,BOTHSEX,1.32
2019,Luxembourg,18+,FEMALE,2
2019,Luxembourg,18+,BOTHSEX,1.8
2019,Luxembourg,ALLAGE,BOTHSEX,1.45
2020,Luxembourg,ALLAGE,BOTHSEX,1.43
2020,Luxembourg,18+,BOTHSEX,1.76
2020,Luxembourg,18+,FEMALE,3.14
2021,Luxembourg,ALLAGE,BOTHSEX,5.32
2014,Malta,ALLAGE,BOTHSEX,2.91
2016,Malta,ALLAGE,BOTHSEX,5.56
2016,Malta,18+,FEMALE,9.33
2016,Malta,18+,MALE,6.56
2018,Malta,ALLAGE,BOTHSEX,6.92
2018,Malta,18+,MALE,9.45
2018,Malta,18+,FEMALE,6.95
2018,Malta,18+,BOTHSEX,8.23
2019,Malta,ALLAGE,BOTHSEX,1.59
2020,Malta,ALLAGE,BOTHSEX,1.16
2006,Republic of Moldova,ALLAGE,BOTHSEX,2.92
2007,Republic of Moldova,ALLAGE,BOTHSEX,1.5
2008,Republic of Moldova,ALLAGE,BOTHSEX,1
2009,Republic of Moldova,ALLAGE,BOTHSEX,0.77
2012,Republic of Moldova,ALLAGE,BOTHSEX,3.85
2013,Republic of Moldova,ALLAGE,BOTHSEX,3.07
2014,Republic of Moldova,ALLAGE,BOTHSEX,2.73
2014,Republic of Moldova,18+,MALE,1.88
2014,Republic of Moldova,18+,FEMALE,4.58
2015,Republic of Moldova,18+,MALE,3.42
2015,Republic of Moldova,18+,FEMALE,5.55
2015,Republic of Moldova,ALLAGE,BOTHSEX,4.15
2016,Republic of Moldova,18+,MALE,1.19
