Year,GeoAreaName,Age,Sex,Value
2012,Armenia,ALLAGE,BOTHSEX,6
2009,Republic of Moldova,ALLAGE,BOTHSEX,5
2015,Republic of Moldova,ALLAGE,BOTHSEX,6
2015,Republic of Moldova,18+,MALE,6
2017,Republic of Moldova,ALLAGE,BOTHSEX,5
2010,Bulgaria,ALLAGE,BOTHSEX,6
2019,Bulgaria,ALLAGE,BOTHSEX,8
2020,Bulgaria,ALLAGE,BOTHSEX,5
2020,Bulgaria,18+,BOTHSEX,5
2021,Bulgaria,ALLAGE,BOTHSEX,8
2019,Denmark,ALLAGE,BOTHSEX,17
2012,Tajikistan,ALLAGE,BOTHSEX,9
2013,Tajikistan,ALLAGE,BOTHSEX,10
2014,Tajikistan,ALLAGE,BOTHSEX,8
2008,Ukraine,ALLAGE,BOTHSEX,7
2011,Ukraine,ALLAGE,BOTHSEX,25
2016,Ukraine,ALLAGE,BOTHSEX,5
2020,Ukraine,ALLAGE,BOTHSEX,25
2018,Hungary,ALLAGE,BOTHSEX,5
