Year,GeoAreaName,Age,Sex,Value
2014,Belgium,18+,MALE,NaN
2014,Belgium,<18Y,MALE,NaN
2015,Belgium,<18Y,MALE,NaN
2015,Belgium,ALLAGE,BOTHSEX,13
2015,Belgium,18+,MALE,NaN
2015,Belgium,<18Y,FEMALE,6
2015,Belgium,18+,FEMALE,NaN
2016,Belgium,ALLAGE,BOTHSEX,9
2016,Belgium,18+,FEMALE,8
2016,Belgium,18+,MALE,NaN
2017,Belgium,<18Y,FEMALE,NaN
2017,Belgium,18+,MALE,NaN
2017,Belgium,ALLAGE,BOTHSEX,NaN
2017,Belgium,18+,FEMALE,NaN
2017,Belgium,<18Y,MALE,NaN
2018,Belgium,<18Y,FEMALE,NaN
2018,Belgium,18+,FEMALE,NaN
2020,Poland,ALLAGE,BOTHSEX,NaN
2020,Poland,18+,MALE,NaN
2020,Poland,18+,FEMALE,NaN
2020,Poland,<18Y,MALE,NaN
2020,Poland,<18Y,FEMALE,NaN
2021,Poland,ALLAGE,BOTHSEX,NaN
2008,Portugal,ALLAGE,BOTHSEX,NaN
2009,Portugal,ALLAGE,BOTHSEX,NaN
2018,Belgium,18+,MALE,NaN
2018,Belgium,<18Y,MALE,NaN
2018,Belgium,ALLAGE,BOTHSEX,7
2019,Belgium,18+,FEMALE,NaN
2019,Belgium,<18Y,MALE,NaN
2019,Belgium,18+,MALE,NaN
2019,Belgium,ALLAGE,BOTHSEX,NaN
2020,Belgium,<18Y,MALE,NaN
2010,Portugal,ALLAGE,BOTHSEX,NaN
2011,Portugal,ALLAGE,BOTHSEX,NaN
2013,Portugal,ALLAGE,BOTHSEX,NaN
2014,Portugal,<18Y,MALE,NaN
2014,Portugal,<18Y,FEMALE,NaN
2014,Portugal,18+,FEMALE,NaN
2014,Portugal,ALLAGE,BOTHSEX,10
2017,Portugal,ALLAGE,BOTHSEX,7
2017,Portugal,18+,FEMALE,NaN
2017,Portugal,18+,MALE,NaN
2017,Portugal,<18Y,MALE,7
2017,Portugal,<18Y,FEMALE,NaN
2018,Portugal,18+,FEMALE,NaN
2018,Portugal,ALLAGE,BOTHSEX,NaN
2018,Portugal,<18Y,FEMALE,NaN
2018,Portugal,18+,MALE,NaN
2020,Belgium,ALLAGE,BOTHSEX,NaN
2020,Belgium,18+,MALE,NaN
2020,Belgium,<18Y,FEMALE,NaN
2020,Belgium,18+,FEMALE,NaN
2014,Bosnia and Herzegovina,18+,FEMALE,NaN
2014,Bosnia and Herzegovina,<18Y,MALE,18
2014,Bosnia and Herzegovina,<18Y,FEMALE,13
2014,Bosnia and Herzegovina,18+,MALE,NaN
2005,Albania,ALLAGE,BOTHSEX,5
2006,Albania,ALLAGE,BOTHSEX,6
2014,Albania,<18Y,MALE,NaN
2014,Albania,18+,MALE,NaN
2014,Albania,<18Y,FEMALE,NaN
2014,Albania,18+,FEMALE,NaN
2015,Albania,ALLAGE,BOTHSEX,48
2016,Albania,ALLAGE,BOTHSEX,18
2017,Albania,18+,MALE,NaN
2018,Portugal,<18Y,MALE,NaN
2019,Portugal,<18Y,FEMALE,NaN
2019,Portugal,18+,FEMALE,11
2019,Portugal,ALLAGE,BOTHSEX,17
2019,Portugal,<18Y,MALE,NaN
2019,Portugal,18+,MALE,6
2020,Portugal,<18Y,MALE,NaN
2020,Portugal,18+,FEMALE,NaN
2020,Portugal,18+,MALE,NaN
2014,Bosnia and Herzegovina,ALLAGE,BOTHSEX,36
2015,Bosnia and Herzegovina,ALLAGE,BOTHSEX,28
2015,Bosnia and Herzegovina,<18Y,FEMALE,NaN
2015,Bosnia and Herzegovina,18+,FEMALE,5
2015,Bosnia and Herzegovina,18+,MALE,6
2015,Bosnia and Herzegovina,<18Y,MALE,10
2016,Bosnia and Herzegovina,ALLAGE,BOTHSEX,23
2017,Bosnia and Herzegovina,ALLAGE,BOTHSEX,57
2018,Bosnia and Herzegovina,ALLAGE,BOTHSEX,17
2017,Albania,18+,BOTHSEX,NaN
2017,Albania,<18Y,BOTHSEX,9
2017,Albania,<18Y,FEMALE,10
2017,Albania,<18Y,MALE,5
2017,Albania,ALLAGE,BOTHSEX,54
2017,Albania,18+,FEMALE,NaN
2018,Albania,<18Y,BOTHSEX,26
2018,Albania,18+,MALE,NaN
2018,Albania,<18Y,MALE,18
2018,Albania,18+,FEMALE,NaN
2018,Albania,ALLAGE,BOTHSEX,81
2018,Albania,18+,BOTHSEX,NaN
2018,Albania,<18Y,FEMALE,10
2019,Albania,<18Y,FEMALE,10
2019,Albania,18+,BOTHSEX,NaN
2019,Albania,18+,FEMALE,NaN
2019,Albania,ALLAGE,BOTHSEX,41
2019,Albania,<18Y,BOTHSEX,10
2019,Bosnia and Herzegovina,ALLAGE,BOTHSEX,46
2020,Bosnia and Herzegovina,<18Y,FEMALE,NaN
2020,Bosnia and Herzegovina,<18Y,MALE,NaN
2020,Bosnia and Herzegovina,18+,FEMALE,NaN
2020,Bosnia and Herzegovina,18+,MALE,NaN
2020,Bosnia and Herzegovina,ALLAGE,BOTHSEX,NaN
2010,Bulgaria,ALLAGE,BOTHSEX,32
2011,Bulgaria,ALLAGE,BOTHSEX,55
2019,Albania,<18Y,MALE,6
2019,Albania,18+,MALE,NaN
2020,Albania,<18Y,FEMALE,NaN
2020,Albania,ALLAGE,BOTHSEX,39
2020,Albania,18+,FEMALE,NaN
2020,Albania,18+,BOTHSEX,NaN
2020,Albania,<18Y,BOTHSEX,8
2020,Albania,<18Y,MALE,5
2021,Albania,ALLAGE,BOTHSEX,84
2020,Portugal,<18Y,FEMALE,NaN
2020,Portugal,ALLAGE,BOTHSEX,NaN
2005,Romania,ALLAGE,BOTHSEX,112
2006,Romania,ALLAGE,BOTHSEX,112
2007,Romania,ALLAGE,BOTHSEX,180
2008,Romania,ALLAGE,BOTHSEX,109
2009,Romania,ALLAGE,BOTHSEX,144
2010,Romania,ALLAGE,BOTHSEX,169
2011,Romania,ALLAGE,BOTHSEX,134
2012,Romania,ALLAGE,BOTHSEX,105
2013,Romania,ALLAGE,BOTHSEX,82
2014,Romania,ALLAGE,BOTHSEX,107
2015,Romania,ALLAGE,BOTHSEX,192
2016,Romania,ALLAGE,BOTHSEX,94
2017,Romania,<18Y,MALE,45
2017,Romania,18+,_O,NaN
2017,Romania,_U,_U,NaN
2017,Romania,18+,BOTHSEX,30
2007,Azerbaijan,ALLAGE,BOTHSEX,NaN
2008,Azerbaijan,ALLAGE,BOTHSEX,NaN
2009,Azerbaijan,ALLAGE,BOTHSEX,NaN
2017,Azerbaijan,ALLAGE,BOTHSEX,NaN
2018,Azerbaijan,ALLAGE,BOTHSEX,NaN
2019,Azerbaijan,ALLAGE,BOTHSEX,NaN
2020,Azerbaijan,ALLAGE,BOTHSEX,NaN
2007,Austria,ALLAGE,BOTHSEX,NaN
2017,Romania,<18Y,BOTHSEX,48
2017,Romania,18+,FEMALE,19
2017,Romania,<18Y,_O,NaN
2017,Romania,18+,MALE,12
2017,Romania,<18Y,FEMALE,45
2017,Romania,ALLAGE,BOTHSEX,172
2018,Romania,<18Y,MALE,9
2018,Romania,18+,FEMALE,18
2018,Romania,18+,_O,NaN
2008,Austria,ALLAGE,BOTHSEX,NaN
2009,Austria,ALLAGE,BOTHSEX,NaN
2017,Austria,18+,MALE,10
2017,Austria,ALLAGE,BOTHSEX,5
2018,Austria,18+,MALE,5
2018,Austria,<18Y,MALE,NaN
2018,Austria,ALLAGE,BOTHSEX,NaN
2019,Austria,ALLAGE,BOTHSEX,10
2019,Austria,<18Y,MALE,NaN
2012,Bulgaria,ALLAGE,BOTHSEX,53
2013,Bulgaria,ALLAGE,BOTHSEX,64
2014,Bulgaria,<18Y,FEMALE,NaN
2014,Bulgaria,18+,MALE,60
2014,Bulgaria,ALLAGE,BOTHSEX,64
2014,Bulgaria,<18Y,MALE,NaN
2014,Bulgaria,18+,FEMALE,NaN
2015,Bulgaria,<18Y,MALE,NaN
2015,Bulgaria,<18Y,FEMALE,NaN
2018,Romania,<18Y,_O,NaN
2018,Romania,_U,_U,NaN
2018,Romania,18+,BOTHSEX,24
2018,Romania,18+,MALE,11
2018,Romania,<18Y,FEMALE,NaN
2018,Romania,<18Y,BOTHSEX,10
2018,Romania,ALLAGE,BOTHSEX,70
2019,Romania,<18Y,MALE,32
2019,Romania,18+,FEMALE,23
2015,Bulgaria,ALLAGE,BOTHSEX,65
2015,Bulgaria,18+,MALE,64
2015,Bulgaria,18+,FEMALE,NaN
2016,Bulgaria,ALLAGE,BOTHSEX,85
2016,Bulgaria,18+,MALE,84
2016,Bulgaria,18+,FEMALE,NaN
2016,Bulgaria,<18Y,FEMALE,NaN
2016,Bulgaria,<18Y,MALE,NaN
2017,Bulgaria,ALLAGE,BOTHSEX,114
2019,Romania,<18Y,FEMALE,27
2019,Romania,18+,BOTHSEX,31
2019,Romania,ALLAGE,BOTHSEX,110
2019,Romania,<18Y,BOTHSEX,34
2019,Romania,18+,MALE,28
2019,Romania,18+,_O,NaN
2019,Romania,_U,_U,NaN
2019,Romania,<18Y,_O,NaN
2020,Romania,18+,MALE,34
2017,Bulgaria,<18Y,MALE,NaN
2017,Bulgaria,18+,FEMALE,NaN
2017,Bulgaria,<18Y,FEMALE,NaN
2017,Bulgaria,18+,MALE,110
2018,Bulgaria,<18Y,FEMALE,NaN
2018,Bulgaria,18+,FEMALE,5
2018,Bulgaria,ALLAGE,BOTHSEX,72
2018,Bulgaria,<18Y,MALE,NaN
2018,Bulgaria,18+,MALE,67
2019,Bulgaria,ALLAGE,BOTHSEX,72
2020,Bulgaria,18+,FEMALE,39
2020,Bulgaria,<18Y,FEMALE,NaN
2020,Bulgaria,18+,MALE,39
2020,Bulgaria,18+,BOTHSEX,46
2020,Bulgaria,<18Y,BOTHSEX,NaN
2020,Bulgaria,ALLAGE,BOTHSEX,86
2020,Bulgaria,<18Y,MALE,NaN
2021,Bulgaria,ALLAGE,BOTHSEX,69
2019,Austria,18+,MALE,17
2020,Austria,18+,FEMALE,21
2020,Austria,<18Y,MALE,NaN
2020,Austria,<18Y,FEMALE,NaN
2020,Austria,ALLAGE,BOTHSEX,96
2020,Austria,18+,MALE,73
2008,Armenia,ALLAGE,BOTHSEX,NaN
2009,Armenia,ALLAGE,BOTHSEX,5
2017,Armenia,18+,FEMALE,NaN
2017,Armenia,ALLAGE,BOTHSEX,NaN
2017,Armenia,18+,MALE,NaN
2017,Armenia,<18Y,FEMALE,NaN
2017,Armenia,<18Y,MALE,NaN
2018,Armenia,18+,FEMALE,NaN
2018,Armenia,<18Y,MALE,NaN
2018,Armenia,<18Y,FEMALE,NaN
2018,Armenia,18+,MALE,NaN
2017,Belarus,<18Y,MALE,NaN
2017,Belarus,ALLAGE,BOTHSEX,NaN
2017,Belarus,<18Y,FEMALE,NaN
2017,Belarus,18+,FEMALE,NaN
2017,Belarus,18+,MALE,NaN
2018,Belarus,18+,FEMALE,NaN
2018,Belarus,18+,MALE,NaN
2018,Belarus,<18Y,MALE,NaN
2018,Armenia,ALLAGE,BOTHSEX,NaN
2019,Armenia,ALLAGE,BOTHSEX,NaN
2020,Armenia,ALLAGE,BOTHSEX,NaN
2005,Belgium,ALLAGE,BOTHSEX,NaN
2006,Belgium,ALLAGE,BOTHSEX,17
2007,Belgium,ALLAGE,BOTHSEX,40
2008,Belgium,ALLAGE,BOTHSEX,41
2009,Belgium,ALLAGE,BOTHSEX,39
2012,Belgium,ALLAGE,BOTHSEX,10
2018,Belarus,ALLAGE,BOTHSEX,NaN
2018,Belarus,<18Y,FEMALE,NaN
2019,Belarus,ALLAGE,BOTHSEX,NaN
2020,Belarus,18+,FEMALE,NaN
2020,Belarus,<18Y,FEMALE,NaN
2020,Belarus,18+,MALE,NaN
2020,Belarus,ALLAGE,BOTHSEX,NaN
2020,Belarus,<18Y,MALE,NaN
2020,Romania,<18Y,MALE,20
2020,Romania,18+,_O,NaN
2020,Romania,<18Y,BOTHSEX,27
2020,Romania,18+,BOTHSEX,47
2020,Romania,_U,_U,NaN
2020,Romania,18+,FEMALE,36
2020,Romania,ALLAGE,BOTHSEX,111
2020,Romania,<18Y,_O,NaN
2020,Romania,<18Y,FEMALE,17
2021,Romania,ALLAGE,BOTHSEX,72
2006,Serbia,ALLAGE,BOTHSEX,6
2008,Serbia,ALLAGE,BOTHSEX,16
2009,Serbia,ALLAGE,BOTHSEX,11
2012,Serbia,ALLAGE,BOTHSEX,24
2014,Serbia,18+,MALE,NaN
2014,Serbia,<18Y,MALE,5
2014,Serbia,ALLAGE,BOTHSEX,8
2015,Serbia,ALLAGE,BOTHSEX,NaN
2015,Serbia,18+,FEMALE,NaN
2015,Serbia,<18Y,FEMALE,NaN
2015,Serbia,<18Y,MALE,NaN
2015,Serbia,18+,MALE,NaN
2016,Serbia,ALLAGE,BOTHSEX,NaN
2016,Serbia,<18Y,MALE,NaN
2017,Serbia,18+,FEMALE,NaN
2017,Serbia,<18Y,FEMALE,12
2017,Serbia,<18Y,MALE,5
2017,Serbia,ALLAGE,BOTHSEX,28
2017,Serbia,18+,BOTHSEX,NaN
2017,Serbia,18+,MALE,9
2017,Serbia,<18Y,BOTHSEX,12
2018,Serbia,<18Y,BOTHSEX,6
2018,Serbia,18+,FEMALE,5
2018,Serbia,ALLAGE,BOTHSEX,18
2018,Serbia,18+,BOTHSEX,5
2018,Serbia,<18Y,FEMALE,6
2018,Serbia,<18Y,MALE,5
2018,Serbia,18+,MALE,NaN
2019,Serbia,18+,BOTHSEX,NaN
2019,Serbia,18+,MALE,NaN
2019,Serbia,<18Y,MALE,NaN
2019,Serbia,ALLAGE,BOTHSEX,8
2019,Serbia,18+,FEMALE,NaN
2019,Serbia,<18Y,BOTHSEX,NaN
2019,Serbia,<18Y,FEMALE,5
2020,Serbia,<18Y,BOTHSEX,5
2020,Serbia,<18Y,MALE,NaN
2020,Serbia,18+,MALE,NaN
2020,Serbia,ALLAGE,BOTHSEX,15
2020,Serbia,<18Y,FEMALE,5
2020,Serbia,18+,BOTHSEX,NaN
2020,Serbia,18+,FEMALE,NaN
2008,Slovakia,ALLAGE,BOTHSEX,NaN
2009,Slovakia,ALLAGE,BOTHSEX,NaN
2010,Slovakia,ALLAGE,BOTHSEX,NaN
2011,Slovakia,ALLAGE,BOTHSEX,8
2012,Slovakia,ALLAGE,BOTHSEX,8
2013,Slovakia,ALLAGE,BOTHSEX,9
2014,Slovakia,ALLAGE,BOTHSEX,16
2014,Slovakia,18+,MALE,12
2014,Slovakia,18+,FEMALE,NaN
2015,Slovakia,18+,FEMALE,5
2015,Slovakia,ALLAGE,BOTHSEX,10
2015,Slovakia,18+,MALE,5
2016,Slovakia,<18Y,FEMALE,NaN
2016,Slovakia,18+,FEMALE,7
2016,Slovakia,18+,MALE,NaN
2016,Slovakia,<18Y,MALE,NaN
2016,Slovakia,ALLAGE,BOTHSEX,12
2017,Slovakia,ALLAGE,BOTHSEX,34
2017,Slovakia,18+,FEMALE,18
2017,Slovakia,_U,_U,NaN
2017,Slovakia,18+,_O,NaN
2017,Slovakia,18+,MALE,14
2017,Slovakia,<18Y,_O,NaN
2017,Slovakia,<18Y,MALE,NaN
2017,Slovakia,18+,BOTHSEX,24
2017,Slovakia,<18Y,FEMALE,NaN
2017,Slovakia,<18Y,BOTHSEX,NaN
2018,Slovakia,18+,FEMALE,9
2018,Slovakia,18+,BOTHSEX,26
2018,Slovakia,18+,_O,NaN
2018,Slovakia,<18Y,BOTHSEX,7
2018,Slovakia,_U,_U,NaN
2018,Slovakia,<18Y,_O,NaN
2018,Slovakia,ALLAGE,BOTHSEX,41
2018,Slovakia,18+,MALE,18
2018,Slovakia,<18Y,FEMALE,7
2018,Slovakia,<18Y,MALE,7
2019,Slovakia,18+,BOTHSEX,20
2019,Slovakia,<18Y,BOTHSEX,NaN
2019,Slovakia,<18Y,_O,NaN
2019,Slovakia,18+,_O,NaN
2019,Slovakia,18+,MALE,8
2019,Slovakia,<18Y,MALE,7
2019,Slovakia,<18Y,FEMALE,10
2019,Slovakia,18+,FEMALE,15
2019,Slovakia,ALLAGE,BOTHSEX,40
2019,Slovakia,_U,_U,NaN
2020,Slovakia,18+,FEMALE,7
2020,Slovakia,<18Y,FEMALE,10
2020,Slovakia,18+,BOTHSEX,10
2020,Slovakia,_U,_U,NaN
2020,Slovakia,<18Y,_O,NaN
2020,Slovakia,ALLAGE,BOTHSEX,29
2020,Slovakia,<18Y,BOTHSEX,6
2020,Slovakia,18+,MALE,6
2020,Slovakia,18+,_O,NaN
2020,Slovakia,<18Y,MALE,6
2014,Slovenia,ALLAGE,BOTHSEX,NaN
2017,Slovenia,18+,FEMALE,NaN
2017,Slovenia,<18Y,FEMALE,NaN
2017,Slovenia,18+,MALE,NaN
2017,Slovenia,ALLAGE,BOTHSEX,NaN
2017,Slovenia,<18Y,MALE,NaN
2018,Slovenia,18+,FEMALE,34
2018,Slovenia,18+,MALE,34
2018,Slovenia,<18Y,FEMALE,NaN
2018,Slovenia,<18Y,MALE,NaN
2018,Slovenia,ALLAGE,BOTHSEX,68
2018,Slovenia,18+,BOTHSEX,34
2019,Slovenia,<18Y,BOTHSEX,NaN
2019,Slovenia,18+,MALE,NaN
2019,Slovenia,<18Y,FEMALE,NaN
2019,Slovenia,18+,FEMALE,NaN
2019,Slovenia,ALLAGE,BOTHSEX,NaN
2019,Slovenia,<18Y,MALE,NaN
2019,Slovenia,18+,BOTHSEX,NaN
2020,Slovenia,<18Y,FEMALE,NaN
2020,Slovenia,<18Y,MALE,NaN
2020,Slovenia,18+,FEMALE,NaN
2020,Slovenia,18+,MALE,NaN
2020,Slovenia,ALLAGE,BOTHSEX,NaN
2013,Spain,ALLAGE,BOTHSEX,10
2014,Spain,ALLAGE,BOTHSEX,12
2016,Spain,ALLAGE,BOTHSEX,20
2016,Spain,18+,FEMALE,NaN
2016,Spain,<18Y,MALE,14
2016,Spain,18+,MALE,NaN
2017,Spain,18+,FEMALE,NaN
2017,Spain,<18Y,FEMALE,NaN
2017,Spain,<18Y,BOTHSEX,NaN
2017,Spain,ALLAGE,BOTHSEX,13
2017,Spain,18+,BOTHSEX,NaN
2017,Spain,<18Y,MALE,NaN
2017,Spain,18+,MALE,NaN
2018,Spain,ALLAGE,BOTHSEX,29
2018,Spain,18+,BOTHSEX,12
2018,Spain,<18Y,BOTHSEX,NaN
2018,Spain,<18Y,MALE,5
2018,Spain,18+,MALE,11
2018,Spain,18+,FEMALE,10
