Year,GeoAreaName,Age,Sex,Value
2005,Albania,ALLAGE,BOTHSEX,0.16
2006,Albania,ALLAGE,BOTHSEX,0.2
2014,Albania,18+,MALE,NaN
2014,Albania,<18Y,FEMALE,NaN
2014,Albania,<18Y,MALE,NaN
2014,Albania,18+,FEMALE,NaN
2015,Albania,ALLAGE,BOTHSEX,1.67
2016,Albania,ALLAGE,BOTHSEX,0.62
2017,Albania,18+,MALE,NaN
2017,Albania,<18Y,FEMALE,3.27
2017,Albania,18+,BOTHSEX,NaN
2017,Albania,<18Y,BOTHSEX,1.43
2017,Albania,ALLAGE,BOTHSEX,1.88
2017,Albania,18+,FEMALE,NaN
2017,Albania,<18Y,MALE,1.55
2018,Albania,<18Y,FEMALE,3.35
2018,Albania,<18Y,MALE,5.72
2018,Albania,18+,MALE,NaN
2018,Albania,ALLAGE,BOTHSEX,2.82
2018,Albania,<18Y,BOTHSEX,4.24
2018,Albania,18+,BOTHSEX,NaN
2018,Albania,18+,FEMALE,NaN
2019,Albania,ALLAGE,BOTHSEX,1.43
2019,Albania,18+,BOTHSEX,NaN
2019,Albania,<18Y,MALE,1.95
2019,Albania,18+,MALE,NaN
2019,Albania,<18Y,BOTHSEX,1.67
2019,Albania,18+,FEMALE,NaN
2019,Albania,<18Y,FEMALE,3.42
2020,Albania,<18Y,MALE,1.67
2020,Albania,<18Y,FEMALE,NaN
2020,Albania,ALLAGE,BOTHSEX,1.36
2016,Republic of Moldova,<18Y,MALE,NaN
2016,Republic of Moldova,<18Y,FEMALE,NaN
2016,Republic of Moldova,18+,MALE,1.19
2016,Republic of Moldova,ALLAGE,BOTHSEX,1.71
2017,Republic of Moldova,<18Y,MALE,1.68
2017,Republic of Moldova,18+,FEMALE,NaN
2017,Republic of Moldova,18+,MALE,NaN
2017,Republic of Moldova,ALLAGE,BOTHSEX,0.69
2020,Albania,18+,FEMALE,NaN
2020,Albania,<18Y,BOTHSEX,1.36
2020,Albania,18+,BOTHSEX,NaN
2021,Albania,ALLAGE,BOTHSEX,2.94
2007,Azerbaijan,ALLAGE,BOTHSEX,NaN
2008,Azerbaijan,ALLAGE,BOTHSEX,NaN
2009,Azerbaijan,ALLAGE,BOTHSEX,NaN
2017,Azerbaijan,ALLAGE,BOTHSEX,NaN
2017,Republic of Moldova,<18Y,FEMALE,NaN
2018,Republic of Moldova,18+,FEMALE,NaN
2018,Republic of Moldova,<18Y,MALE,NaN
2018,Republic of Moldova,ALLAGE,BOTHSEX,0.48
2018,Republic of Moldova,<18Y,FEMALE,NaN
2018,Republic of Moldova,18+,MALE,0.88
2019,Republic of Moldova,ALLAGE,BOTHSEX,NaN
2020,Republic of Moldova,ALLAGE,BOTHSEX,NaN
2018,Azerbaijan,ALLAGE,BOTHSEX,NaN
2019,Azerbaijan,ALLAGE,BOTHSEX,NaN
2020,Azerbaijan,ALLAGE,BOTHSEX,NaN
2007,Austria,ALLAGE,BOTHSEX,NaN
2008,Austria,ALLAGE,BOTHSEX,NaN
2009,Austria,ALLAGE,BOTHSEX,NaN
2017,Austria,18+,MALE,0.28
2017,Austria,ALLAGE,BOTHSEX,0.06
2018,Austria,ALLAGE,BOTHSEX,NaN
2018,Austria,18+,MALE,0.14
2018,Austria,<18Y,MALE,NaN
2019,Austria,<18Y,MALE,NaN
2019,Austria,18+,MALE,0.48
2019,Austria,ALLAGE,BOTHSEX,0.11
2020,Austria,18+,MALE,2.03
2020,Austria,18+,FEMALE,0.56
2020,Austria,<18Y,FEMALE,NaN
2020,Austria,<18Y,MALE,NaN
2020,Austria,ALLAGE,BOTHSEX,1.08
2008,Armenia,ALLAGE,BOTHSEX,NaN
2009,Armenia,ALLAGE,BOTHSEX,0.17
2017,Armenia,<18Y,MALE,NaN
2017,Armenia,<18Y,FEMALE,NaN
2017,Armenia,18+,FEMALE,NaN
2017,Armenia,18+,MALE,NaN
2017,Armenia,ALLAGE,BOTHSEX,NaN
2018,Armenia,<18Y,FEMALE,NaN
2018,Armenia,18+,MALE,NaN
2018,Armenia,ALLAGE,BOTHSEX,NaN
2018,Armenia,18+,FEMALE,NaN
2018,Armenia,<18Y,MALE,NaN
2019,Armenia,ALLAGE,BOTHSEX,NaN
2020,Armenia,ALLAGE,BOTHSEX,NaN
2005,Belgium,ALLAGE,BOTHSEX,NaN
2006,Belgium,ALLAGE,BOTHSEX,0.16
2007,Belgium,ALLAGE,BOTHSEX,0.38
2008,Belgium,ALLAGE,BOTHSEX,0.38
2009,Belgium,ALLAGE,BOTHSEX,0.36
2012,Belgium,ALLAGE,BOTHSEX,0.09
2014,Belgium,18+,FEMALE,0.11
2020,Republic of Moldova,18+,FEMALE,NaN
2020,Republic of Moldova,<18Y,FEMALE,NaN
2020,Republic of Moldova,<18Y,MALE,NaN
2020,Republic of Moldova,18+,MALE,NaN
2011,Montenegro,ALLAGE,BOTHSEX,NaN
2014,Montenegro,ALLAGE,BOTHSEX,NaN
2014,Montenegro,<18Y,MALE,NaN
2015,Montenegro,<18Y,MALE,NaN
2014,Belgium,18+,MALE,NaN
2014,Belgium,ALLAGE,BOTHSEX,0.08
2014,Belgium,<18Y,MALE,NaN
2014,Belgium,<18Y,FEMALE,NaN
2015,Belgium,<18Y,FEMALE,0.54
2015,Belgium,<18Y,MALE,NaN
2015,Belgium,18+,FEMALE,NaN
2015,Belgium,18+,MALE,NaN
2015,Montenegro,ALLAGE,BOTHSEX,NaN
2016,Montenegro,ALLAGE,BOTHSEX,NaN
2016,Montenegro,<18Y,MALE,NaN
2017,Montenegro,18+,MALE,NaN
2017,Montenegro,18+,FEMALE,NaN
2017,Montenegro,<18Y,MALE,NaN
2017,Montenegro,ALLAGE,BOTHSEX,NaN
2017,Montenegro,<18Y,FEMALE,NaN
2015,Belgium,ALLAGE,BOTHSEX,0.12
2016,Belgium,18+,FEMALE,0.17
2016,Belgium,18+,MALE,NaN
2016,Belgium,ALLAGE,BOTHSEX,0.08
2017,Belgium,18+,MALE,NaN
2017,Belgium,ALLAGE,BOTHSEX,NaN
2017,Belgium,<18Y,MALE,NaN
2017,Belgium,<18Y,FEMALE,NaN
2019,Montenegro,ALLAGE,BOTHSEX,NaN
2020,Montenegro,18+,MALE,NaN
2020,Montenegro,<18Y,MALE,NaN
2020,Montenegro,ALLAGE,BOTHSEX,NaN
2020,Montenegro,<18Y,FEMALE,NaN
2020,Montenegro,18+,FEMALE,NaN
2007,Netherlands,ALLAGE,BOTHSEX,2.17
2008,Netherlands,ALLAGE,BOTHSEX,2.04
2009,Netherlands,ALLAGE,BOTHSEX,2.33
2010,Netherlands,ALLAGE,BOTHSEX,0.44
2011,Netherlands,ALLAGE,BOTHSEX,0.89
2012,Netherlands,ALLAGE,BOTHSEX,0.97
2013,Netherlands,ALLAGE,BOTHSEX,1.86
2014,Netherlands,ALLAGE,BOTHSEX,0.36
2014,Netherlands,18+,FEMALE,0.09
2014,Netherlands,<18Y,FEMALE,0.53
2014,Netherlands,18+,MALE,0.41
2017,Belgium,18+,FEMALE,NaN
2018,Belgium,18+,MALE,NaN
2018,Belgium,18+,FEMALE,NaN
2018,Belgium,ALLAGE,BOTHSEX,0.06
2018,Belgium,<18Y,FEMALE,NaN
2018,Belgium,<18Y,MALE,NaN
2019,Belgium,18+,FEMALE,NaN
2019,Belgium,<18Y,MALE,NaN
2014,Netherlands,<18Y,MALE,1.07
2015,Netherlands,<18Y,FEMALE,NaN
2015,Netherlands,18+,MALE,0.36
2015,Netherlands,ALLAGE,BOTHSEX,0.18
2015,Netherlands,<18Y,MALE,NaN
2015,Netherlands,18+,FEMALE,NaN
2016,Netherlands,<18Y,MALE,1.08
2016,Netherlands,ALLAGE,BOTHSEX,0.36
2016,Netherlands,18+,FEMALE,0.09
2016,Netherlands,<18Y,FEMALE,0.54
2016,Netherlands,18+,MALE,0.4
2017,Netherlands,<18Y,_O,NaN
2017,Netherlands,18+,MALE,2.41
2017,Netherlands,<18Y,FEMALE,8.23
2017,Netherlands,18+,_O,NaN
2017,Netherlands,18+,FEMALE,2.07
2019,Belgium,18+,MALE,NaN
2019,Belgium,ALLAGE,BOTHSEX,NaN
2020,Belgium,18+,FEMALE,NaN
2020,Belgium,<18Y,MALE,NaN
2020,Belgium,<18Y,FEMALE,NaN
2020,Belgium,18+,MALE,NaN
2020,Belgium,ALLAGE,BOTHSEX,NaN
2014,Bosnia and Herzegovina,<18Y,FEMALE,3.89
2017,Netherlands,<18Y,MALE,4.7
2017,Netherlands,_U,_U,NaN
2017,Netherlands,<18Y,BOTHSEX,2.46
2017,Netherlands,18+,BOTHSEX,1.32
2017,Netherlands,ALLAGE,BOTHSEX,3.11
2018,Netherlands,18+,FEMALE,0.91
2018,Netherlands,<18Y,FEMALE,0.73
2018,Netherlands,18+,BOTHSEX,0.59
2018,Netherlands,<18Y,MALE,0.35
2014,Bosnia and Herzegovina,<18Y,MALE,5.16
2014,Bosnia and Herzegovina,18+,FEMALE,NaN
2014,Bosnia and Herzegovina,18+,MALE,NaN
2014,Bosnia and Herzegovina,ALLAGE,BOTHSEX,1.01
2015,Bosnia and Herzegovina,<18Y,FEMALE,NaN
2015,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.79
2015,Bosnia and Herzegovina,18+,MALE,0.43
2015,Bosnia and Herzegovina,<18Y,MALE,2.96
2015,Bosnia and Herzegovina,18+,FEMALE,0.34
2016,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.66
2017,Bosnia and Herzegovina,ALLAGE,BOTHSEX,1.66
2018,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.5
2019,Bosnia and Herzegovina,ALLAGE,BOTHSEX,1.37
2020,Bosnia and Herzegovina,<18Y,FEMALE,NaN
2020,Bosnia and Herzegovina,18+,FEMALE,NaN
2020,Bosnia and Herzegovina,<18Y,MALE,NaN
2020,Bosnia and Herzegovina,18+,MALE,NaN
2020,Bosnia and Herzegovina,ALLAGE,BOTHSEX,NaN
2010,Bulgaria,ALLAGE,BOTHSEX,0.42
2011,Bulgaria,ALLAGE,BOTHSEX,0.73
2012,Bulgaria,ALLAGE,BOTHSEX,0.71
2013,Bulgaria,ALLAGE,BOTHSEX,0.86
2014,Bulgaria,<18Y,MALE,NaN
2014,Bulgaria,18+,FEMALE,NaN
