Year,GeoAreaName,Sex,Value
2006,Belgium,BOTHSEX,3.27
2009,Belgium,BOTHSEX,7.23
2008,Croatia,BOTHSEX,0
2010,France,BOTHSEX,11.59
2011,France,BOTHSEX,12.81
2012,France,BOTHSEX,10.76
2013,France,BOTHSEX,7.61
2014,France,BOTHSEX,9.98
2015,France,BOTHSEX,8.84
2016,France,BOTHSEX,17.56
2017,France,BOTHSEX,18.35
2018,France,BOTHSEX,25.15
2019,France,BOTHSEX,17.41
2010,Georgia,FEMALE,18.9
2010,Georgia,BOTHSEX,60
2020,Germany,FEMALE,1.8
2020,Germany,MALE,12.6
2020,Germany,BOTHSEX,2.2
2013,Iceland,BOTHSEX,4.2
2014,Iceland,BOTHSEX,6.6
2015,Iceland,BOTHSEX,3.3
2016,Iceland,BOTHSEX,10.3
2017,Iceland,BOTHSEX,7.2
2018,Iceland,BOTHSEX,7.2
2019,Iceland,BOTHSEX,5.6
2019,Iceland,FEMALE,6.3
2019,Iceland,MALE,0
2020,Iceland,BOTHSEX,7
2020,Iceland,MALE,0
2020,Iceland,FEMALE,15.9
2015,Kyrgyzstan,BOTHSEX,31.8
2013,Luxembourg,BOTHSEX,29
2006,Netherlands,BOTHSEX,12.6
2007,Netherlands,BOTHSEX,11.3
2008,Netherlands,BOTHSEX,4.4
2009,Netherlands,BOTHSEX,11.2
2010,Netherlands,BOTHSEX,7.3
2011,Netherlands,BOTHSEX,9.1
2006,Sweden,BOTHSEX,11
2007,Sweden,BOTHSEX,17
2008,Sweden,BOTHSEX,14
2009,Sweden,BOTHSEX,19
2010,Sweden,BOTHSEX,23
2011,Sweden,BOTHSEX,19
2012,Sweden,BOTHSEX,10
2013,Sweden,BOTHSEX,12
2014,Sweden,BOTHSEX,8
2015,Sweden,BOTHSEX,9
2016,Sweden,BOTHSEX,11
2017,Sweden,BOTHSEX,11
2015,Switzerland,BOTHSEX,3.4
2015,Switzerland,BOTHSEX,3.4
