Year,GeoAreaName,Value
2007,Albania,26.49
2013,Albania,20.40
2019,Albania,36.10
2009,Azerbaijan,52.04
2013,Azerbaijan,16.04
2019,Azerbaijan,12.06
2021,Austria,1.29
2009,Armenia,15.50
2013,Armenia,8.70
2020,Armenia,1.45
2020,Belgium,4.34
2009,Bosnia and Herzegovina,10.19
2013,Bosnia and Herzegovina,13.00
2019,Bosnia and Herzegovina,16.00
2007,Bulgaria,6.67
2009,Bulgaria,10.87
2013,Bulgaria,7.32
2019,Bulgaria,10.05
2008,Belarus,15.47
2013,Belarus,7.86
2018,Belarus,4.91
2007,Croatia,4.92
2013,Croatia,5.96
2019,Croatia,10.14
2019,Cyprus,0.17
2009,Czechia,7.15
2013,Czechia,3.69
2019,Czechia,3.46
2020,Denmark,3.37
2009,Estonia,5.66
2013,Estonia,0.00
2019,Estonia,0.00
2020,Finland,2.85
2021,France,1.59
2008,Georgia,9.84
2013,Georgia,1.43
2019,Georgia,1.31
2021,Germany,2.25
2018,Greece,5.55
2009,Hungary,0.97
2013,Hungary,2.24
2019,Hungary,4.72
2020,Ireland,0.43
2019,Italy,11.81
2009,Kazakhstan,32.82
2013,Kazakhstan,25.61
2019,Kazakhstan,11.59
2009,Kosovo,8.97
2013,Kosovo,8.18
2019,Kosovo,3.16
2009,Kyrgyzstan,42.54
2013,Kyrgyzstan,56.58
2019,Kyrgyzstan,31.37
2009,Latvia,8.88
2013,Latvia,2.38
2019,Latvia,1.96
2009,Lithuania,7.15
2013,Lithuania,8.37
2019,Lithuania,0.21
2020,Luxembourg,0.00
2019,Malta,2.38
2009,Republic of Moldova,17.79
2013,Republic of Moldova,30.30
2019,Republic of Moldova,11.90
2009,Montenegro,3.30
2013,Montenegro,17.02
2019,Montenegro,21.37
2020,Netherlands,0.28
2009,Poland,8.18
2013,Poland,1.86
2019,Poland,2.78
2019,Portugal,0.35
2009,Romania,19.71
2013,Romania,9.59
2019,Romania,5.39
2009,Serbia,11.86
2013,Serbia,8.95
2019,Serbia,6.85
2009,Slovakia,5.68
2013,Slovakia,4.38
2019,Slovakia,2.43
2009,Slovenia,2.30
2013,Slovenia,0.16
2019,Slovenia,1.78
2021,Spain,3.5
2014,Sweden,1.87
2020,Sweden,0.00
2008,Tajikistan,37.85
2013,Tajikistan,35.50
2019,Tajikistan,11.07
2008,Türkiye,9.15
2013,Türkiye,4.67
2019,Türkiye,1.36
2008,Ukraine,38.46
2013,Ukraine,49.34
2019,Ukraine,37.37
2009,North Macedonia,14.71
2013,North Macedonia,9.34
2019,North Macedonia,7.36
2008,Uzbekistan,55.51
2013,Uzbekistan,6.01
2019,Uzbekistan,5.94
2019,Uzbekistan,5.94
