Year,GeoAreaName,Age,Disability status,Location,Population Group,Quantile,Service Attribute,Sex,Value
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,ACCESS,MALE,97
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,AFFORD,MALE,91
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,QUALITY,MALE,95
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,EQUALITY,MALE,96
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,ATTITUDE,MALE,94
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,AVERAGE,MALE,95
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,ACCESS,FEMALE,97
2022,Belarus,ALLAGE,_T,URBAN,TOTAL,,EQUALITY,BOTHSEX,97
2022,Belarus,ALLAGE,_T,URBAN,TOTAL,,ATTITUDE,BOTHSEX,94
2022,Belarus,ALLAGE,_T,RURAL,TOTAL,,AFFORD,BOTHSEX,87
2022,Belarus,ALLAGE,_T,RURAL,TOTAL,,QUALITY,BOTHSEX,97
2022,Belarus,ALLAGE,_T,RURAL,TOTAL,,EQUALITY,BOTHSEX,99
2022,Belarus,ALLAGE,_T,RURAL,TOTAL,,ATTITUDE,BOTHSEX,97
2022,Belarus,ALLAGE,_T,RURAL,TOTAL,,AVERAGE,BOTHSEX,96
2022,Belarus,ALLAGE,_T,URBAN,TOTAL,,AVERAGE,BOTHSEX,94
2022,Belarus,ALLAGE,_T,RURAL,TOTAL,,ACCESS,BOTHSEX,99
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,ACCESS,BOTHSEX,97
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,AFFORD,BOTHSEX,90
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,QUALITY,BOTHSEX,94
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,EQUALITY,BOTHSEX,97
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,ATTITUDE,BOTHSEX,94
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,AVERAGE,BOTHSEX,95
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,AFFORD,FEMALE,89
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,QUALITY,FEMALE,94
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,EQUALITY,FEMALE,98
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,ATTITUDE,FEMALE,94
2022,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,AVERAGE,FEMALE,94
2022,Belarus,ALLAGE,_T,URBAN,TOTAL,,ACCESS,BOTHSEX,97
2022,Belarus,ALLAGE,_T,URBAN,TOTAL,,AFFORD,BOTHSEX,90
2022,Belarus,ALLAGE,_T,URBAN,TOTAL,,QUALITY,BOTHSEX,94
2022,Cyprus,ALLAGE,_T,ALLAREA,POP_A,,AVERAGE,BOTHSEX,94
2022,Cyprus,ALLAGE,_T,ALLAREA,POP_B,,ACCESS,BOTHSEX,91
2022,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,ACCESS,MALE,90
2022,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,QUALITY,MALE,97
2022,Cyprus,ALLAGE,_T,RURAL,TOTAL,,EQUALITY,BOTHSEX,98
2022,Cyprus,ALLAGE,_T,RURAL,TOTAL,,ATTITUDE,BOTHSEX,93
2022,Cyprus,ALLAGE,_T,RURAL,TOTAL,,AVERAGE,BOTHSEX,95
2022,Cyprus,ALLAGE,_T,ALLAREA,POP_A,,ACCESS,BOTHSEX,90
2022,Cyprus,ALLAGE,_T,ALLAREA,POP_A,,QUALITY,BOTHSEX,97
2022,Cyprus,ALLAGE,_T,ALLAREA,POP_A,,EQUALITY,BOTHSEX,97
2022,Cyprus,ALLAGE,_T,ALLAREA,POP_A,,ATTITUDE,BOTHSEX,92
2022,Cyprus,ALLAGE,_T,ALLAREA,POP_B,,AVERAGE,BOTHSEX,95
2022,Cyprus,ALLAGE,_T,RURAL,TOTAL,,QUALITY,BOTHSEX,97
2022,Cyprus,ALLAGE,_T,ALLAREA,POP_B,,QUALITY,BOTHSEX,95
2022,Cyprus,ALLAGE,_T,ALLAREA,POP_B,,EQUALITY,BOTHSEX,98
2022,Cyprus,ALLAGE,_T,ALLAREA,POP_B,,ATTITUDE,BOTHSEX,94
2022,Cyprus,ALLAGE,_T,RURAL,TOTAL,,ACCESS,BOTHSEX,93
2022,Cyprus,ALLAGE,_T,URBAN,TOTAL,,AVERAGE,BOTHSEX,94
2022,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,ACCESS,BOTHSEX,91
2022,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,QUALITY,BOTHSEX,97
2022,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,EQUALITY,BOTHSEX,97
2022,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,ATTITUDE,BOTHSEX,93
2022,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,AVERAGE,BOTHSEX,95
2022,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,ACCESS,FEMALE,90
2022,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,QUALITY,FEMALE,96
2022,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,EQUALITY,MALE,98
2022,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,ATTITUDE,MALE,93
2022,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,AVERAGE,MALE,95
2022,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,EQUALITY,FEMALE,97
2022,Cyprus,ALLAGE,_T,ALLAREA,TOTAL,,ATTITUDE,FEMALE,93
