Year,GeoAreaName,Age,Disability status,Population Group,Sex,Type of occupation,Value
2021,Austria,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.25
2021,Austria,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.18
2022,Austria,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.28
2022,Austria,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.21
2022,Austria,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.76
2022,Austria,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.63
2021,Bosnia and Herzegovina,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.26
2020,Croatia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.48
2020,Croatia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.74
2021,Croatia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.98
2021,Croatia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.5
2021,Croatia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.73
2021,Croatia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.5
2020,Cyprus,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.39
2020,Cyprus,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.06
2021,Cyprus,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.43
2021,Cyprus,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.07
2021,Cyprus,<45Y,_T,TOTAL,BOTHSEX,JUDGES,1.37
2021,Cyprus,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.08
2021,Czechia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.34
2022,Czechia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.32
2022,Czechia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.45
2019,Denmark,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.3
2019,Denmark,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.87
2020,Denmark,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.71
2020,Denmark,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.27
2020,Denmark,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.04
2020,Denmark,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.54
2020,Estonia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.43
2020,Estonia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.78
2021,Estonia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.62
2021,Estonia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.2
2021,Estonia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.79
2021,Estonia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.46
2020,Finland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.81
2020,Finland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.23
2019,Germany,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.97
2020,Greece,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.49
2021,Kazakhstan,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.03
2021,Kazakhstan,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.42
2022,Kazakhstan,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.44
2022,Kazakhstan,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.89
2022,Kazakhstan,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.41
2022,Kazakhstan,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.09
2020,Latvia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.67
2020,Latvia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.91
2021,Latvia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.66
2021,Latvia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.96
2021,Latvia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.33
2021,Latvia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.51
2020,Lithuania,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.34
2020,Lithuania,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.33
2021,Lithuania,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.13
2021,Lithuania,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.75
2021,Lithuania,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.39
2021,Lithuania,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.5
2020,Malta,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.38
2021,Malta,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.42
2021,Malta,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.57
2019,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.68
2019,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.02
2021,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.98
2021,Republic of Moldova,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,2
2021,Republic of Moldova,<45Y,_T,TOTAL,BOTHSEX,JUDGES,1.25
2021,Republic of Moldova,ALLAGE,PD,TOTAL,BOTHSEX,JUDGES,0.06
2021,Republic of Moldova,ALLAGE,PD,TOTAL,BOTHSEX,REGISTRARS,0.03
2021,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.71
2018,Poland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.26
2018,Poland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.69
2020,Poland,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.46
2020,Poland,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.83
2020,Poland,ALLAGE,PD,TOTAL,BOTHSEX,JUDGES,0.10
2020,Poland,ALLAGE,PD,TOTAL,BOTHSEX,REGISTRARS,0.41
2020,Poland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.69
2020,Poland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.26
2020,Slovakia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.36
2020,Slovakia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.96
2021,Slovakia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.58
2021,Slovakia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.87
2021,Slovakia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.96
2021,Slovakia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.37
2022,Spain,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.34
2022,Spain,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.34
