Year,GeoAreaName,Age,Parliamentary committees,Sex,Value
2022,Austria,46+,FOR_AFF,FEMALE,1
2023,Austria,<=45Y,HUM_RIGH,MALE,1
2023,Austria,46+,GEN_EQU,FEMALE,1
2023,Austria,46+,FOR_AFF,FEMALE,1
2023,Austria,46+,FINANCE,MALE,1
2023,Austria,46+,DEFENCE,MALE,1
2021,Armenia,_X,FOR_AFF,_X,0
2021,Armenia,_X,GEN_EQU,_X,0
2021,Kyrgyzstan,46+,FINANCE,MALE,1
2021,Kyrgyzstan,46+,GEN_EQU,FEMALE,1
2021,Kyrgyzstan,46+,FAFF_DEF,MALE,1
2021,Kyrgyzstan,46+,HUM_RIGH,MALE,1
2022,Kyrgyzstan,<=45Y,FAFF_DEF,MALE,1
2022,Kyrgyzstan,46+,HUM_RIGH,MALE,1
2022,Kyrgyzstan,46+,GEN_EQU,FEMALE,1
2022,Kyrgyzstan,46+,FINANCE,MALE,1
2021,Armenia,46+,HUM_RIGH,FEMALE,1
2021,Armenia,_X,DEFENCE,_X,0
2021,Armenia,<=45Y,FINANCE,FEMALE,1
2022,Armenia,<=45Y,HUM_RIGH,FEMALE,1
2022,Armenia,46+,DEFENCE,MALE,1
2022,Armenia,_X,GEN_EQU,_X,0
2022,Armenia,<=45Y,FOR_AFF,MALE,1
2022,Armenia,<=45Y,FINANCE,MALE,1
2023,Armenia,<=45Y,HUM_RIGH,FEMALE,1
2023,Armenia,<=45Y,FOR_AFF,MALE,1
2023,Armenia,<=45Y,FINANCE,MALE,1
2023,Armenia,46+,DEFENCE,MALE,1
2023,Armenia,_X,GEN_EQU,_X,0
2021,Belgium,_X,HUM_RIGH,_X,0
2021,Belgium,<=45Y,DEFENCE,MALE,1
2021,Belgium,<=45Y,FINANCE,MALE,1
2021,Belgium,46+,FOR_AFF,FEMALE,1
2021,Belgium,46+,GEN_EQU,FEMALE,1
2022,Belgium,<=45Y,DEFENCE,MALE,1
2022,Belgium,46+,FOR_AFF,FEMALE,1
2022,Belgium,46+,GEN_EQU,FEMALE,1
2022,Belgium,_X,HUM_RIGH,_X,0
2022,Belgium,<=45Y,FINANCE,MALE,1
2023,Belgium,46+,GEN_EQU,FEMALE,1
2023,Kyrgyzstan,46+,FINANCE,MALE,1
2023,Kyrgyzstan,<=45Y,FAFF_DEF,MALE,1
2023,Kyrgyzstan,46+,HUM_RIGH,MALE,1
2023,Kyrgyzstan,46+,GEN_EQU,FEMALE,1
2021,Latvia,<=45Y,GEN_EQU,MALE,1
2021,Latvia,<=45Y,HUM_RIGH,MALE,1
2021,Latvia,46+,FINANCE,MALE,1
2021,Latvia,<=45Y,DEFENCE,MALE,1
2023,Belgium,46+,FOR_AFF,FEMALE,1
2023,Belgium,46+,DEFENCE,MALE,1
2023,Belgium,46+,FINANCE,MALE,1
2023,Belgium,_X,HUM_RIGH,_X,0
2021,Bosnia and Herzegovina,46+,FOR_AFF,MALE,1
2021,Bosnia and Herzegovina,46+,FINANCE,MALE,1
2021,Bosnia and Herzegovina,46+,GEN_EQU,MALE,1
2022,Bosnia and Herzegovina,46+,GEN_EQU,MALE,1
2021,Latvia,<=45Y,FOR_AFF,MALE,1
2022,Latvia,<=45Y,HUM_RIGH,MALE,1
2022,Latvia,<=45Y,FOR_AFF,MALE,1
2022,Latvia,<=45Y,DEFENCE,MALE,1
2022,Latvia,46+,FINANCE,MALE,1
2022,Latvia,<=45Y,GEN_EQU,MALE,1
2023,Latvia,<=45Y,HUM_RIGH,FEMALE,1
2023,Latvia,<=45Y,GEN_EQU,FEMALE,1
2023,Latvia,<=45Y,FOR_AFF,MALE,1
2021,Albania,46+,GEN_EQU,FEMALE,1
2021,Albania,46+,HUM_RIGH,MALE,1
2021,Albania,<=45Y,DEFENCE,FEMALE,1
2021,Albania,46+,FINANCE,MALE,1
2021,Albania,46+,FOR_AFF,FEMALE,1
2022,Albania,46+,GEN_EQU,FEMALE,1
2022,Albania,<=45Y,HUM_RIGH,FEMALE,1
2022,Albania,46+,FOR_AFF,FEMALE,1
2022,Albania,46+,DEFENCE,MALE,1
2023,Latvia,46+,FINANCE,MALE,1
2023,Latvia,46+,DEFENCE,MALE,1
2021,Liechtenstein,_X,DEFENCE,_X,0
2021,Liechtenstein,_X,GEN_EQU,_X,0
2021,Liechtenstein,_X,HUM_RIGH,_X,0
2021,Liechtenstein,<=45Y,FINANCE,MALE,1
2021,Liechtenstein,46+,FOR_AFF,MALE,1
2022,Liechtenstein,46+,FOR_AFF,MALE,1
2022,Liechtenstein,_X,DEFENCE,_X,0
2021,Sweden,46+,FOR_AFF,MALE,1
2021,Sweden,46+,DEFENCE,MALE,1
2021,Sweden,46+,HUM_RIGH,FEMALE,1
2021,Sweden,46+,GEN_EQU,FEMALE,1
2021,Sweden,46+,FINANCE,MALE,1
2022,Sweden,46+,FOR_AFF,MALE,1
2022,Sweden,46+,HUM_RIGH,FEMALE,1
2022,Sweden,46+,FINANCE,MALE,1
2022,Sweden,46+,DEFENCE,MALE,1
2022,Liechtenstein,_X,HUM_RIGH,_X,0
2022,Liechtenstein,<=45Y,FINANCE,MALE,1
2022,Liechtenstein,_X,GEN_EQU,_X,0
2023,Liechtenstein,46+,FOR_AFF,MALE,1
2023,Liechtenstein,46+,FINANCE,MALE,1
2023,Liechtenstein,_X,DEFENCE,_X,0
2023,Liechtenstein,_X,GEN_EQU,_X,0
2023,Liechtenstein,_X,HUM_RIGH,_X,0
2021,Lithuania,46+,FOR_AFF,MALE,1
2021,Lithuania,<=45Y,DEFENCE,MALE,1
2021,Lithuania,<=45Y,GEN_EQU,MALE,1
2021,Lithuania,<=45Y,HUM_RIGH,MALE,1
2021,Lithuania,<=45Y,FINANCE,MALE,1
2022,Lithuania,46+,FOR_AFF,MALE,1
2022,Lithuania,<=45Y,DEFENCE,MALE,1
2022,Lithuania,<=45Y,HUM_RIGH,MALE,1
2022,Lithuania,<=45Y,FINANCE,MALE,1
2022,Sweden,46+,GEN_EQU,FEMALE,1
2023,Sweden,46+,HUM_RIGH,MALE,1
2023,Sweden,46+,GEN_EQU,MALE,1
2023,Sweden,<=45Y,FOR_AFF,MALE,1
