Year,GeoAreaName,Age,Value
2021,Czechia,<=45Y,72
2022,Czechia,<=45Y,66
2023,Czechia,<=45Y,66
2021,Denmark,<=45Y,89
2022,Denmark,<=45Y,89
2023,Denmark,<=45Y,85
2021,Estonia,<=45Y,36
2022,Estonia,<=45Y,36
2023,Estonia,<=45Y,36
2021,Finland,<=45Y,90
2022,Finland,<=45Y,90
2023,Finland,<=45Y,90
2021,France,<=45Y,213
2022,France,<=45Y,213
2023,France,<=45Y,219
2021,Georgia,<=45Y,78
2022,Georgia,<=45Y,74
2023,Georgia,<=45Y,74
2021,Germany,<=45Y,165
2022,Germany,<=45Y,309
2023,Germany,<=45Y,309
2021,Greece,<=45Y,74
2022,Greece,<=45Y,74
2023,Greece,<=45Y,74
2021,Hungary,<=45Y,65
2022,Hungary,<=45Y,65
2023,Hungary,<=45Y,60
2021,Iceland,<=45Y,23
2022,Iceland,<=45Y,26
2023,Iceland,<=45Y,26
2021,Ireland,<=45Y,66
2022,Ireland,<=45Y,66
2023,Ireland,<=45Y,66
2021,Italy,<=45Y,375
2022,Italy,<=45Y,375
2023,Italy,<=45Y,140
2021,Kazakhstan,<=45Y,12
2022,Kazakhstan,<=45Y,31
2023,Kazakhstan,<=45Y,31
2021,Kyrgyzstan,<=45Y,65
2022,Kyrgyzstan,<=45Y,50
2023,Kyrgyzstan,<=45Y,44
2021,Latvia,<=45Y,51
2022,Latvia,<=45Y,51
2023,Latvia,<=45Y,43
2021,Liechtenstein,<=45Y,4
2022,Liechtenstein,<=45Y,6
2023,Liechtenstein,<=45Y,6
2021,Lithuania,<=45Y,64
2022,Lithuania,<=45Y,64
2023,Lithuania,<=45Y,64
2021,Luxembourg,<=45Y,17
2022,Luxembourg,<=45Y,17
2023,Luxembourg,<=45Y,17
2021,Malta,<=45Y,31
2022,Malta,<=45Y,31
2023,Malta,<=45Y,36
2021,Republic of Moldova,<=45Y,48
2022,Republic of Moldova,<=45Y,48
2023,Republic of Moldova,<=45Y,48
2021,Montenegro,<=45Y,43
2022,Montenegro,<=45Y,43
2023,Montenegro,<=45Y,43
2021,Netherlands,<=45Y,83
2022,Netherlands,<=45Y,93
2023,Netherlands,<=45Y,93
2021,Norway,<=45Y,76
2022,Norway,<=45Y,76
2023,Norway,<=45Y,76
2021,Poland,<=45Y,170
2022,Poland,<=45Y,170
2023,Poland,<=45Y,170
2021,Portugal,<=45Y,90
2022,Portugal,<=45Y,90
2023,Portugal,<=45Y,86
2021,Romania,<=45Y,170
2022,Romania,<=45Y,196
2023,Romania,<=45Y,196
2021,Serbia,<=45Y,141
2022,Serbia,<=45Y,141
2023,Serbia,<=45Y,141
2021,Slovakia,<=45Y,77
2022,Slovakia,<=45Y,77
2023,Slovakia,<=45Y,77
2021,Slovenia,<=45Y,29
2022,Slovenia,<=45Y,29
2023,Slovenia,<=45Y,32
2021,Spain,<=45Y,143
2022,Spain,<=45Y,143
2021,Albania,<=45Y,38
2022,Albania,<=45Y,38
2021,Azerbaijan,<=45Y,34
2022,Azerbaijan,<=45Y,34
2023,Azerbaijan,<=45Y,26
2021,Austria,<=45Y,80
2022,Austria,<=45Y,80
2023,Austria,<=45Y,80
2023,Spain,<=45Y,143
2021,Sweden,<=45Y,176
2022,Sweden,<=45Y,176
2023,Sweden,<=45Y,153
2021,Switzerland,<=45Y,79
2022,Switzerland,<=45Y,79
2023,Switzerland,<=45Y,79
2022,Tajikistan,<=45Y,10
2021,Armenia,<=45Y,95
2022,Armenia,<=45Y,75
2023,Armenia,<=45Y,75
2021,Belgium,<=45Y,81
2022,Belgium,<=45Y,81
2023,Belgium,<=45Y,81
2021,Bosnia and Herzegovina,<=45Y,8
2022,Bosnia and Herzegovina,<=45Y,8
2023,Tajikistan,<=45Y,10
2021,Türkiye,<=45Y,172
2022,Türkiye,<=45Y,172
2023,Türkiye,<=45Y,172
2021,Turkmenistan,<=45Y,79
2022,Turkmenistan,<=45Y,79
2023,Turkmenistan,<=45Y,79
2021,Ukraine,<=45Y,268
2023,Bosnia and Herzegovina,<=45Y,10
2021,Bulgaria,<=45Y,99
2022,Bulgaria,<=45Y,124
2023,Bulgaria,<=45Y,126
2021,Belarus,<=45Y,23
2022,Belarus,<=45Y,23
2023,Belarus,<=45Y,23
2021,Croatia,<=45Y,60
2022,Croatia,<=45Y,60
2023,Croatia,<=45Y,60
2021,Cyprus,<=45Y,14
2022,Cyprus,<=45Y,19
2023,Cyprus,<=45Y,19
2022,Ukraine,<=45Y,268
2023,Ukraine,<=45Y,268
2021,North Macedonia,<=45Y,58
2022,North Macedonia,<=45Y,64
2023,North Macedonia,<=45Y,64
2022,Uzbekistan,<=45Y,69
2023,Uzbekistan,<=45Y,69
2023,Uzbekistan,<=45Y,69
