Year,GeoAreaName,Age,Disability status,Population Group,Sex,Type of occupation,Value
2020,Albania,ALLAGE,_T,TOTAL,FEMALE,ADMINPRO,1.03685
2020,Albania,ALLAGE,_T,TOTAL,FEMALE,ASSOCPRO,1.00986
2020,Albania,ALLAGE,_T,TOTAL,FEMALE,GENERAL,1.18116
2020,Albania,ALLAGE,_T,TOTAL,FEMALE,SENIORMAN,1.06197
2020,Albania,ALLAGE,_T,TOTAL,FEMALE,OTHERMAN,0.46687
2020,Bosnia and Herzegovina,ALLAGE,_T,TOTAL,FEMALE,SENIORMAN,0.28815
2020,Bosnia and Herzegovina,ALLAGE,_T,TOTAL,FEMALE,OTHERMAN,0.79518
2020,Bosnia and Herzegovina,<35Y,_T,TOTAL,BOTHSEX,TOTAL_PSP,0.44
2020,Bosnia and Herzegovina,ALLAGE,_T,TOTAL,FEMALE,ADMINPRO,0.98966
2020,Bosnia and Herzegovina,ALLAGE,_T,TOTAL,FEMALE,TOTAL_PSP,1.11
2020,Bosnia and Herzegovina,ALLAGE,_T,TOTAL,FEMALE,ASSOCPRO,0.9053
2020,Bosnia and Herzegovina,ALLAGE,_T,TOTAL,FEMALE,GENERAL,1.19263
2020,Bulgaria,ALLAGE,_T,TOTAL,FEMALE,ASSOCPRO,1.4245
2020,Bulgaria,ALLAGE,_T,TOTAL,FEMALE,TOTAL_PSP,1.28136
2020,Bulgaria,ALLAGE,_T,TOTAL,FEMALE,ADMINPRO,1.31579
2020,Bulgaria,ALLAGE,_T,TOTAL,FEMALE,OTHERMAN,0.86486
2020,Bulgaria,<35Y,_T,TOTAL,BOTHSEX,TOTAL_PSP,0.47815
2020,Bulgaria,ALLAGE,_T,TOTAL,FEMALE,SENIORMAN,1.07692
2020,Bulgaria,ALLAGE,_T,TOTAL,FEMALE,GENERAL,1.80198
2019,Belarus,ALLAGE,_T,TOTAL,FEMALE,TOTAL_PSP,1.249
2019,Belarus,<35Y,_T,TOTAL,BOTHSEX,TOTAL_PSP,0.754
2019,Belarus,ALLAGE,PD,TOTAL,BOTHSEX,TOTAL_PSP,0.989
2021,Belarus,ALLAGE,_T,TOTAL,FEMALE,TOTAL_PSP,1.284
2021,Belarus,<35Y,_T,TOTAL,BOTHSEX,TOTAL_PSP,0.755
2021,Belarus,ALLAGE,PD,TOTAL,BOTHSEX,TOTAL_PSP,0.66
2020,Cyprus,ALLAGE,_T,TOTAL,FEMALE,SENIORMAN,0.64186
2020,Cyprus,ALLAGE,_T,TOTAL,FEMALE,OTHERMAN,1.17032
2020,Cyprus,ALLAGE,_T,TOTAL,FEMALE,ADMINPRO,1.42955
2020,Cyprus,ALLAGE,_T,TOTAL,FEMALE,ASSOCPRO,0.80732
2020,Cyprus,ALLAGE,_T,TOTAL,FEMALE,GENERAL,1.55371
2021,Cyprus,ALLAGE,_T,TOTAL,FEMALE,OTHERMAN,1.17
