Year,GeoAreaName,Type of product,Value
2005,Albania,ARM,2.38047
2005,Albania,AGR,3.26277
2005,Albania,ALP,1.09684
2005,Albania,IND,0.59054
2005,Albania,TEX,1.34645
2005,Albania,CLO,0.86978
2010,Albania,OIL,10
2010,Albania,TEX,1.31597
2010,Albania,IND,0.77966
2010,Albania,ALP,1.30563
2010,Albania,CLO,2.54855
2005,Bosnia and Herzegovina,ALP,2.33143
2005,Bosnia and Herzegovina,ARM,4.94676
2005,Bosnia and Herzegovina,AGR,6.07974
2005,Bosnia and Herzegovina,IND,1.45036
2005,Bosnia and Herzegovina,CLO,6.73851
2005,Bosnia and Herzegovina,OIL,0
2005,Bosnia and Herzegovina,TEX,2.46146
2010,Bosnia and Herzegovina,TEX,2.57791
2010,Bosnia and Herzegovina,OIL,0
2010,Bosnia and Herzegovina,CLO,7.94497
2010,Bosnia and Herzegovina,IND,1.29435
2010,Albania,AGR,3.10391
2010,Albania,ARM,0.96774
2015,Albania,TEX,0.49201
2015,Albania,AGR,2.98534
2015,Albania,CLO,0
2015,Albania,ALP,1.03383
2015,Albania,IND,0.672
2016,Albania,TEX,0.6257
2016,Albania,IND,0.67755
2016,Albania,ALP,0.92986
2016,Albania,CLO,0
2010,Bosnia and Herzegovina,AGR,3.4821
2010,Bosnia and Herzegovina,ALP,1.78379
2015,Bosnia and Herzegovina,ALP,1.32302
2015,Bosnia and Herzegovina,AGR,2.18268
2015,Bosnia and Herzegovina,TEX,1.73325
2015,Bosnia and Herzegovina,CLO,6.91812
2015,Bosnia and Herzegovina,IND,0.98454
2015,Bosnia and Herzegovina,OIL,0
2016,Bosnia and Herzegovina,TEX,1.70743
2016,Bosnia and Herzegovina,AGR,2.1422
2016,Bosnia and Herzegovina,ALP,1.30788
2016,Albania,AGR,2.46733
2017,Albania,AGR,2.27356
2017,Albania,CLO,0
2017,Albania,ALP,0.7707
2017,Albania,IND,0.54746
2017,Albania,TEX,0.4039
2018,Albania,IND,0.4753
2018,Albania,AGR,2.43468
2018,Albania,TEX,0.4028
2018,Albania,CLO,0
2018,Albania,ALP,0.73194
2016,Bosnia and Herzegovina,IND,0.97545
2016,Bosnia and Herzegovina,CLO,6.91597
2016,Bosnia and Herzegovina,OIL,0
2017,Bosnia and Herzegovina,ALP,1.32117
2017,Bosnia and Herzegovina,AGR,2.32139
2017,Bosnia and Herzegovina,TEX,1.7783
2017,Bosnia and Herzegovina,OIL,0
2017,Bosnia and Herzegovina,IND,0.93568
