Year,GeoAreaName,Value
2005,Azerbaijan,0.02759
2006,Azerbaijan,0.03179
2007,Azerbaijan,0.04006
2008,Azerbaijan,0.04091
2009,Azerbaijan,0.05744
2010,Azerbaijan,0.06269
2011,Azerbaijan,0.068
2012,Azerbaijan,0.10447
2013,Azerbaijan,0.08445
2014,Azerbaijan,0.08188
2015,Azerbaijan,0.08869
2016,Azerbaijan,0.08581
2017,Azerbaijan,0.08464
2018,Azerbaijan,0.07684
2019,Azerbaijan,0.0598
2020,Azerbaijan,0.0506
2021,Azerbaijan,0.06251
2005,Austria,1.54188
2006,Austria,1.50167
2007,Austria,1.49896
2008,Austria,1.5466
2009,Austria,1.47548
2014,Poland,0.90702
2015,Poland,0.88025
2016,Poland,0.95706
2017,Poland,1.03881
2018,Poland,1.11734
2019,Poland,1.11648
2020,Poland,1.27652
2021,Poland,1.32702
2005,Portugal,0.56178
2006,Portugal,0.6122
2007,Portugal,0.6511
2010,Austria,1.3255
2011,Austria,1.32319
2012,Austria,1.25703
2013,Austria,1.31983
2014,Austria,1.30834
2015,Austria,1.17828
2016,Austria,1.20795
2017,Austria,1.21152
2018,Austria,1.24265
2019,Austria,1.21594
2020,Austria,1.2522
2008,Portugal,0.64893
2009,Portugal,0.63188
2010,Portugal,0.58199
2011,Portugal,0.60086
2012,Portugal,0.55624
2013,Portugal,0.59724
2014,Portugal,0.58361
2015,Portugal,0.55161
2016,Portugal,0.57757
2017,Portugal,0.62867
2018,Portugal,0.6463
2021,Austria,1.15636
2005,Armenia,0.01601
2006,Armenia,0.01956
2007,Armenia,0.02103
2008,Armenia,0.02053
2009,Armenia,0.02148
2010,Armenia,0.02547
2011,Armenia,0.02929
2012,Armenia,0.03045
2013,Armenia,0.03106
2014,Armenia,0.03087
2019,Portugal,0.63586
2020,Portugal,0.49161
2021,Portugal,0.52704
2005,Romania,0.35977
2006,Romania,0.40522
2007,Romania,0.36034
2008,Romania,0.40106
2009,Romania,0.32256
2010,Romania,0.26097
2011,Romania,0.27009
2012,Romania,0.27573
2013,Romania,0.36991
2014,Romania,0.39439
2015,Romania,0.38034
2016,Romania,0.41031
2017,Romania,0.44248
2018,Romania,0.46015
2019,Romania,0.48171
2020,Romania,0.52314
2021,Romania,0.54375
2008,Serbia,0.09882
2009,Serbia,0.11547
2010,Serbia,0.10753
2011,Serbia,0.11981
2012,Serbia,0.11095
