Year,GeoAreaName,Value
1995,Austria,0
1996,Austria,0
1997,Austria,0
1998,Austria,0
1999,Austria,0
2000,Austria,60.44062
2001,Austria,60.49798
2002,Austria,61.49756
2003,Austria,61.28067
2004,Austria,60.42836
2005,Austria,63.64148
2006,Austria,62.16205
2007,Austria,59.72687
2008,Austria,63.57097
2009,Austria,73.56273
2010,Austria,74.95855
2011,Austria,73.96491
2012,Austria,74.03662
2013,Austria,73.57849
2014,Austria,76.80253
2015,Austria,77.85649
2016,Austria,75.92084
2017,Austria,72.17638
2018,Austria,68.02191
2019,Austria,65.05658
2020,Austria,76.38834
2021,Austria,76.23885
1995,Belgium,116.60087
1996,Belgium,114.04418
1997,Belgium,111.36273
1998,Belgium,106.86688
1999,Belgium,103.87403
2000,Belgium,98.93243
2001,Belgium,98.15613
2002,Belgium,95.2967
2003,Belgium,89.33361
2004,Belgium,85.08827
2005,Belgium,83.85548
2006,Belgium,80.86612
2007,Belgium,77.20411
2008,Belgium,82.73848
2009,Belgium,86.4939
2010,Belgium,85.76665
2011,Belgium,88.46737
2012,Belgium,88.96977
2013,Belgium,89.61133
2014,Belgium,90.03533
2015,Belgium,88.82631
2016,Belgium,89.15005
2017,Belgium,86.98393
2018,Belgium,84.96493
2019,Belgium,82.85368
2020,Belgium,93.55234
2021,Belgium,91.40932
1995,Bulgaria,0
1996,Bulgaria,0
1997,Bulgaria,0
1998,Bulgaria,0
1999,Bulgaria,0
2000,Bulgaria,66.93543
2001,Bulgaria,62.28668
2002,Bulgaria,49.62874
2003,Bulgaria,41.64834
2004,Bulgaria,34.49739
2005,Bulgaria,25.20006
2006,Bulgaria,19.44441
2007,Bulgaria,15.17789
2008,Bulgaria,12.47127
2009,Bulgaria,13.21429
2010,Bulgaria,13.90731
2011,Bulgaria,15.12169
2012,Bulgaria,16.10418
2013,Bulgaria,16.47435
2014,Bulgaria,26.009
2015,Bulgaria,25.1595
2016,Bulgaria,27.912
2017,Bulgaria,24.02757
2018,Bulgaria,21.20854
2019,Bulgaria,19.09375
2020,Bulgaria,23.03937
2021,Bulgaria,21.97426
1995,Croatia,22.181
1996,Croatia,24.05351
1997,Croatia,23.38655
1998,Croatia,21.78274
1999,Croatia,27.646
2000,Croatia,32.74399
2001,Croatia,33.97391
2002,Croatia,33.67664
2003,Croatia,35.38301
2004,Croatia,37.83984
2005,Croatia,38.66984
2006,Croatia,36.52285
2007,Croatia,35.54293
2008,Croatia,38.58903
2009,Croatia,47.07853
2010,Croatia,55.7526
2011,Croatia,62.11332
2012,Croatia,67.80298
2013,Croatia,79.16098
2014,Croatia,81.71759
2015,Croatia,81.06286
2016,Croatia,77.01581
2017,Croatia,73.98074
2018,Croatia,70.60562
2019,Croatia,68.60642
2020,Croatia,81.19051
2021,Croatia,73.12374
1995,Cyprus,0
1996,Cyprus,0
1997,Cyprus,0
1998,Cyprus,0
1999,Cyprus,0
2000,Cyprus,85.20817
2001,Cyprus,87.49787
2002,Cyprus,92.06912
2003,Cyprus,95.68929
2004,Cyprus,96.25074
2005,Cyprus,95.88412
2006,Cyprus,90.57028
2007,Cyprus,84.87995
2008,Cyprus,77.32387
2009,Cyprus,89.09335
2010,Cyprus,92.46138
2011,Cyprus,102.8731
2012,Cyprus,119.09392
2013,Cyprus,145.95774
2014,Cyprus,152.12718
2015,Cyprus,148.90155
2016,Cyprus,142.35024
2017,Cyprus,131.13714
2018,Cyprus,136.51702
2019,Cyprus,128.0703
2020,Cyprus,154.25942
2021,Cyprus,139.35459
1995,Czechia,0
1996,Czechia,0
1997,Czechia,0
1998,Czechia,0
1999,Czechia,14.0096
2000,Czechia,15.83195
2001,Czechia,21.50589
2002,Czechia,24.33558
2003,Czechia,26.47557
2004,Czechia,26.3447
2005,Czechia,25.55222
2006,Czechia,25.28899
2007,Czechia,25.17165
2008,Czechia,25.95341
2009,Czechia,30.94519
2010,Czechia,34.64613
2011,Czechia,37.2546
2012,Czechia,41.52366
