Year,GeoAreaName,Value
1994,Albania,3.34516
1995,Albania,4.36921
1996,Albania,4.57356
1997,Albania,3.95245
1998,Albania,3.79158
1999,Albania,4.05403
2000,Albania,3.52519
2001,Albania,3.55382
2002,Albania,3.35471
2003,Albania,3.53685
2004,Albania,3.5315
2005,Albania,3.9946
2006,Albania,3.74754
2007,Albania,3.87526
2008,Albania,4.11327
2009,Albania,3.87324
2010,Albania,3.71221
2011,Albania,4.29169
2012,Albania,3.99415
2013,Albania,3.92076
2014,Albania,4.25107
2015,Albania,3.07634
2016,Albania,3.27397
2017,Albania,2.96427
2018,Albania,3.00652
2019,Albania,3.18947
2020,Albania,2.78365
1993,Azerbaijan,1459.36989
1994,Azerbaijan,328.0218
1995,Azerbaijan,2.46272
1996,Azerbaijan,1.67399
1997,Azerbaijan,1.16823
1998,Azerbaijan,1.06357
1999,Azerbaijan,0.79975
2000,Azerbaijan,1.26394
2001,Azerbaijan,1.0181
2002,Azerbaijan,1.12345
2003,Azerbaijan,1.29474
2004,Azerbaijan,1.42537
2005,Azerbaijan,1.65139
2006,Azerbaijan,1.5377
2007,Azerbaijan,1.6083
2008,Azerbaijan,1.59862
2009,Azerbaijan,1.96434
2010,Azerbaijan,2.04659
2011,Azerbaijan,1.71362
2012,Azerbaijan,1.89349
2013,Azerbaijan,1.62027
2014,Azerbaijan,1.73857
2015,Azerbaijan,2.84273
2016,Azerbaijan,1.99146
2017,Azerbaijan,1.98043
2018,Azerbaijan,2.12319
2019,Azerbaijan,2.41093
2020,Azerbaijan,2.24897
1992,Armenia,785.80849
1993,Armenia,61.10847
1994,Armenia,4.77045
1995,Armenia,1.01784
1996,Armenia,0.78071
1997,Armenia,0.59854
1998,Armenia,0.64934
1999,Armenia,0.67399
2000,Armenia,0.89461
2001,Armenia,0.86438
2002,Armenia,0.85749
2003,Armenia,0.8048
2004,Armenia,0.97858
2005,Armenia,1.19301
2006,Armenia,1.08919
2007,Armenia,1.21814
2008,Armenia,1.64434
1983,Hungary,5.51699
1984,Hungary,4.25816
1985,Hungary,3.41163
1986,Hungary,3.67354
1987,Hungary,5.20919
1988,Hungary,5.68005
1989,Hungary,6.48934
1990,Hungary,12.212
1991,Hungary,3.93204
1992,Hungary,4.74581
1993,Hungary,3.17235
1994,Hungary,3.15242
2006,Serbia,0.79747
2007,Serbia,1.08884
2008,Serbia,1.55122
2009,Serbia,1.17146
2010,Serbia,1.31555
2011,Serbia,1.313
2012,Serbia,1.29574
2013,Serbia,1.30646
2014,Serbia,1.75084
2015,Serbia,1.61979
2016,Serbia,1.83682
2017,Serbia,1.7735
1995,Hungary,1.79724
1996,Hungary,2.22842
1997,Hungary,2.52143
1998,Hungary,2.29198
1999,Hungary,2.04001
2000,Hungary,1.89031
2001,Hungary,2.25943
2002,Hungary,2.95955
2003,Hungary,3.06369
2004,Hungary,3.02948
2005,Hungary,3.02943
2006,Hungary,2.81799
2007,Hungary,3.21732
2008,Hungary,2.64955
2009,Hungary,1.79098
2010,Hungary,1.7845
2011,Hungary,1.81372
2012,Hungary,1.68875
2013,Hungary,1.75971
2014,Hungary,1.91983
2015,Hungary,2.14319
2016,Hungary,2.92508
