Year,GeoAreaName,Value
1960,Belgium,0.29947
1961,Belgium,0.99268
1962,Belgium,1.40461
1963,Belgium,2.148
1964,Belgium,4.16876
1965,Belgium,4.0652
1966,Belgium,4.17435
1967,Belgium,2.7303
1968,Belgium,2.70145
1969,Belgium,3.75399
1970,Belgium,3.90847
1971,Belgium,4.34363
1972,Belgium,5.44843
1973,Belgium,6.95528
1974,Belgium,12.67789
1975,Belgium,12.7682
1976,Belgium,9.06861
1977,Belgium,7.096
1978,Belgium,4.47059
1979,Belgium,4.46908
1980,Belgium,6.64869
1981,Belgium,7.62749
1982,Belgium,8.72655
1983,Belgium,7.66161
1984,Belgium,6.34177
1985,Belgium,4.86873
1986,Belgium,1.29437
1987,Belgium,1.55338
1988,Belgium,1.16093
1989,Belgium,3.10705
1990,Belgium,3.44831
1991,Belgium,3.21531
1992,Belgium,2.42796
1993,Belgium,2.75443
1994,Belgium,2.37754
1995,Belgium,1.46797
1996,Belgium,2.07702
1997,Belgium,1.62816
1998,Belgium,0.94925
1999,Belgium,1.12085
2000,Belgium,2.54452
2001,Belgium,2.46926
2002,Belgium,1.64521
2003,Belgium,1.58896
2004,Belgium,2.09728
2005,Belgium,2.78143
2006,Belgium,1.79121
2007,Belgium,1.82306
2008,Belgium,4.48944
2009,Belgium,-0.05315
2010,Belgium,2.1893
2011,Belgium,3.53208
2012,Belgium,2.83966
2013,Belgium,1.1131
2014,Belgium,0.34
2015,Belgium,0.56143
2016,Belgium,1.97385
2017,Belgium,2.12597
2018,Belgium,2.05316
2019,Belgium,1.43682
1973,Hungary,3.38798
1974,Hungary,1.79704
1975,Hungary,3.84216
1976,Hungary,5.2284
1977,Hungary,3.9089
1978,Hungary,4.68714
1979,Hungary,8.97641
1980,Hungary,9.28586
1981,Hungary,4.66141
1982,Hungary,6.83581
1983,Hungary,7.2799
1984,Hungary,8.46785
2020,Belgium,0.74079
2021,Belgium,2.44025
2006,Bosnia and Herzegovina,6.12557
2007,Bosnia and Herzegovina,1.50078
2008,Bosnia and Herzegovina,7.42704
2009,Bosnia and Herzegovina,-0.38146
2010,Bosnia and Herzegovina,1.99621
2011,Bosnia and Herzegovina,3.67125
2012,Bosnia and Herzegovina,2.05267
2013,Bosnia and Herzegovina,-0.09305
2014,Bosnia and Herzegovina,-0.89719
2015,Bosnia and Herzegovina,-1.03602
1992,Albania,226.00542
1993,Albania,85.00475
1994,Albania,22.56505
1995,Albania,7.79322
1996,Albania,12.72548
1997,Albania,33.18027
1998,Albania,20.64286
1999,Albania,0.38944
2000,Albania,0.05002
2001,Albania,3.10759
2002,Albania,7.77053
2003,Albania,0.484
2004,Albania,2.28002
2005,Albania,2.36658
2006,Albania,2.37073
2007,Albania,2.93268
2008,Albania,3.32087
2009,Albania,2.26692
2010,Albania,3.62605
2011,Albania,3.42912
2012,Albania,2.03159
2013,Albania,1.93762
2014,Albania,1.62587
2015,Albania,3.50121
1971,Poland,1.1
1972,Poland,-0.09891
1973,Poland,2.47525
1974,Poland,7.05314
1975,Poland,2.25632
1976,Poland,4.41306
1977,Poland,4.90279
1978,Poland,8.10127
1979,Poland,7.02576
1980,Poland,9.68271
1981,Poland,19.12718
1982,Poland,103.55872
1983,Poland,25.53476
1984,Poland,15.401
1985,Poland,11.52126
1986,Poland,16.54997
1987,Poland,26.37903
1988,Poland,58.72083
1989,Poland,244.55093
1990,Poland,567.8788
1991,Poland,76.7695
1992,Poland,46.09856
1993,Poland,36.96417
1994,Poland,32.99128
2016,Albania,-0.36732
2017,Albania,2.0606
2018,Albania,2.02806
2019,Albania,1.41109
2020,Albania,1.62089
2021,Albania,2.04147
1992,Azerbaijan,-10.6301
1993,Azerbaijan,1128.00002
1994,Azerbaijan,1662.21595
1995,Azerbaijan,411.75964
1996,Azerbaijan,19.7948
1997,Azerbaijan,3.67435
1995,Poland,27.95139
1996,Poland,19.79497
1997,Poland,14.91316
1998,Poland,11.59786
1999,Poland,7.15407
2000,Poland,9.90018
2001,Poland,5.40834
2002,Poland,1.90528
2003,Poland,0.6827
2004,Poland,3.38265
2005,Poland,2.1838
2006,Poland,1.28469
1998,Azerbaijan,-0.7727
1999,Azerbaijan,-8.52517
2000,Azerbaijan,1.805
2001,Azerbaijan,1.5472
2002,Azerbaijan,2.77116
2003,Azerbaijan,2.23386
2004,Azerbaijan,6.70893
2005,Azerbaijan,9.67951
2006,Azerbaijan,8.32892
2007,Azerbaijan,16.69975
2008,Azerbaijan,20.84909
2009,Azerbaijan,1.45705
2007,Poland,2.45874
2008,Poland,4.16497
2009,Poland,3.79539
2010,Poland,2.58069
2011,Poland,4.2394
2012,Poland,3.56037
2013,Poland,0.99198
2014,Poland,0.05382
2015,Poland,-0.87413
2016,Poland,-0.66477
2017,Poland,2.07594
2018,Poland,1.81295
2019,Poland,2.22748
2020,Poland,3.37447
2021,Poland,5.05503
1960,Portugal,3.04659
1961,Portugal,1.549
1962,Portugal,2.66206
1963,Portugal,2.02158
1964,Portugal,3.4449
1965,Portugal,3.42493
1966,Portugal,5.03927
1967,Portugal,5.52648
1968,Portugal,6.08136
2010,Azerbaijan,5.72687
2011,Azerbaijan,7.85833
2012,Azerbaijan,1.06621
2013,Azerbaijan,2.41572
2014,Azerbaijan,1.37344
2015,Azerbaijan,4.02769
2016,Azerbaijan,12.44337
2017,Azerbaijan,12.93592
2018,Azerbaijan,2.26855
2019,Azerbaijan,2.61057
2020,Azerbaijan,2.75981
2021,Azerbaijan,6.6503
1969,Portugal,8.78277
1970,Portugal,6.38014
1971,Portugal,11.9469
1972,Portugal,10.66336
1973,Portugal,12.97461
1974,Portugal,25.08278
1975,Portugal,15.27169
1976,Portugal,21.1419
1977,Portugal,31.01675
1978,Portugal,21.03877
1979,Portugal,21.89922
1980,Portugal,15.86748
1981,Portugal,19.04041
1982,Portugal,21.67928
1983,Portugal,24.00276
1984,Portugal,28.38464
1985,Portugal,19.46141
1986,Portugal,12.33133
1987,Portugal,9.63483
1988,Portugal,10.10163
1989,Portugal,12.6863
1990,Portugal,13.63057
1991,Portugal,11.84948
1992,Portugal,9.55926
2016,Bosnia and Herzegovina,-1.5841
2017,Bosnia and Herzegovina,0.81013
2018,Bosnia and Herzegovina,1.41711
2019,Bosnia and Herzegovina,0.56278
2020,Bosnia and Herzegovina,-1.0513
2021,Bosnia and Herzegovina,1.98164
1986,Bulgaria,2.7
1987,Bulgaria,2.72639
1988,Bulgaria,2.36967
1989,Bulgaria,6.38889
1990,Bulgaria,23.8
1991,Bulgaria,338.44911
1960,Austria,1.94575
1961,Austria,3.54224
1962,Austria,4.3818
1963,Austria,2.70877
1964,Austria,3.86856
1965,Austria,4.93092
1966,Austria,2.05482
1967,Austria,3.97467
1968,Austria,2.76486
1969,Austria,3.0804
1970,Austria,4.37282
1971,Austria,4.70426
1992,Bulgaria,91.29793
1993,Bulgaria,72.87879
1994,Bulgaria,96.05734
1995,Bulgaria,62.05483
1996,Bulgaria,121.60754
1997,Bulgaria,1058.37356
1998,Bulgaria,18.6722
1999,Bulgaria,2.57304
2000,Bulgaria,10.31626
2001,Bulgaria,7.36094
2002,Bulgaria,5.81014
2003,Bulgaria,2.34864
1985,Hungary,6.94235
1986,Hungary,5.29166
1987,Hungary,8.67431
1988,Hungary,15.72355
1989,Hungary,17.14915
1990,Hungary,28.3696
1991,Hungary,34.81754
1992,Hungary,23.65572
1993,Hungary,22.46423
1994,Hungary,18.86807
1995,Hungary,28.30547
1996,Hungary,23.46903
1972,Austria,6.35515
1973,Austria,7.53108
1974,Austria,9.52179
1975,Austria,8.44526
1976,Austria,7.31869
1977,Austria,5.49462
1978,Austria,3.57432
1979,Austria,3.7074
1980,Austria,6.32833
1981,Austria,6.80304
1982,Austria,5.43603
1983,Austria,3.33916
1984,Austria,5.66319
1985,Austria,3.18952
1986,Austria,1.70544
1987,Austria,1.40195
1988,Austria,1.91572
1989,Austria,2.56835
1990,Austria,3.26187
1991,Austria,3.33743
1992,Austria,4.02085
1993,Austria,3.63179
1994,Austria,2.95341
1995,Austria,2.24337
1993,Portugal,6.78378
1994,Portugal,5.42044
1995,Portugal,4.22282
1996,Portugal,3.06898
1997,Portugal,2.33686
1998,Portugal,2.57275
1999,Portugal,2.34009
2000,Portugal,2.85303
2001,Portugal,4.3699
2002,Portugal,3.60035
2003,Portugal,3.21899
2004,Portugal,2.36536
1996,Austria,1.86097
1997,Austria,1.30598
1998,Austria,0.92247
1999,Austria,0.56899
2000,Austria,2.34486
2001,Austria,2.65
2002,Austria,1.81036
2003,Austria,1.35555
2004,Austria,2.06121
2005,Austria,2.29914
2006,Austria,1.44155
2007,Austria,2.16856
2008,Austria,3.21595
2009,Austria,0.50631
2010,Austria,1.81353
2011,Austria,3.28658
2012,Austria,2.48568
2013,Austria,2.00016
2014,Austria,1.60581
2015,Austria,0.89656
2016,Austria,0.89159
2017,Austria,2.08127
2018,Austria,1.99838
2019,Austria,1.5309
1997,Hungary,18.30507
1998,Hungary,14.15379
1999,Hungary,9.99774
2000,Hungary,9.80361
2001,Hungary,9.11681
2002,Hungary,5.26545
2003,Hungary,4.66102
2004,Hungary,6.74435
2005,Hungary,3.56152
2006,Hungary,3.93033
2007,Hungary,7.95875
2008,Hungary,6.04251
2009,Hungary,4.21171
2010,Hungary,4.85556
2011,Hungary,3.92992
2012,Hungary,5.65215
2013,Hungary,1.7332
2014,Hungary,-0.22757
2015,Hungary,-0.06164
2016,Hungary,0.39477
2017,Hungary,2.34824
2018,Hungary,2.85025
2019,Hungary,3.33859
2020,Hungary,3.32674
2020,Austria,1.38191
2021,Austria,2.76667
1994,Armenia,3373.75944
1995,Armenia,175.95133
1996,Armenia,18.68119
1997,Armenia,13.96076
1998,Armenia,8.67249
1999,Armenia,0.64825
2000,Armenia,-0.79088
2001,Armenia,3.1459
2002,Armenia,1.06005
2003,Armenia,4.72155
2004,Armenia,6.96126
2005,Armenia,0.63893
2006,Armenia,2.89236
2007,Armenia,4.40736
2008,Armenia,8.94995
2009,Armenia,3.40677
2010,Armenia,8.17636
2011,Armenia,7.65001
2012,Armenia,2.55802
2013,Armenia,5.78967
2014,Armenia,2.98131
2015,Armenia,3.73169
2021,Hungary,5.11097
1960,Iceland,1.9884
1961,Iceland,4.71161
1962,Iceland,11.01629
1963,Iceland,12.92802
1964,Iceland,19.24505
