Year,GeoAreaName,Value
2019,Switzerland,NaN
2020,Switzerland,NaN
2021,Switzerland,NaN
2019,Tajikistan,1
2020,Tajikistan,NaN
2021,Tajikistan,NaN
2019,Türkiye,NaN
2020,Türkiye,NaN
2021,Türkiye,NaN
2019,Turkmenistan,NaN
2020,Turkmenistan,NaN
2021,Turkmenistan,NaN
2019,Ukraine,1
2020,Ukraine,NaN
2021,Ukraine,NaN
2019,North Macedonia,1
2020,North Macedonia,1
2021,North Macedonia,1
2019,Uzbekistan,1
2020,Uzbekistan,1
2019,Albania,1
2020,Albania,NaN
2021,Albania,NaN
2019,Azerbaijan,NaN
2020,Azerbaijan,NaN
2021,Azerbaijan,NaN
2019,Austria,NaN
2020,Austria,NaN
2021,Austria,NaN
2019,Armenia,1
2020,Armenia,1
2021,Armenia,1
2019,Belgium,NaN
2020,Belgium,NaN
2021,Belgium,NaN
2019,Bosnia and Herzegovina,1
2020,Bosnia and Herzegovina,1
2021,Bosnia and Herzegovina,1
2019,Bulgaria,1
2020,Bulgaria,1
2021,Bulgaria,1
2019,Belarus,NaN
2020,Belarus,NaN
2021,Belarus,NaN
2019,Croatia,1
2020,Croatia,1
2021,Croatia,1
2019,Cyprus,NaN
2020,Cyprus,NaN
2021,Cyprus,NaN
2019,Czechia,NaN
2020,Czechia,NaN
2021,Czechia,NaN
2019,Denmark,NaN
2020,Denmark,NaN
2021,Denmark,NaN
2019,Estonia,NaN
2020,Estonia,NaN
2021,Estonia,NaN
2019,Finland,NaN
2020,Finland,NaN
2021,Finland,NaN
2019,France,NaN
2020,France,NaN
2021,France,NaN
2019,Georgia,NaN
2020,Georgia,NaN
2021,Georgia,NaN
2019,Germany,NaN
2020,Germany,NaN
2021,Germany,NaN
2019,Greece,NaN
2020,Greece,NaN
2021,Greece,NaN
2019,Hungary,1
2020,Hungary,1
2021,Hungary,1
2019,Iceland,NaN
2020,Iceland,NaN
2021,Iceland,NaN
2019,Ireland,NaN
2020,Ireland,NaN
2021,Ireland,NaN
2019,Italy,NaN
2020,Italy,NaN
2021,Italy,NaN
2019,Kazakhstan,NaN
2020,Kazakhstan,NaN
2021,Kazakhstan,NaN
2019,Kyrgyzstan,1
2020,Kyrgyzstan,1
2021,Kyrgyzstan,1
2019,Latvia,NaN
2020,Latvia,NaN
2021,Latvia,NaN
2019,Liechtenstein,NaN
2020,Liechtenstein,NaN
2021,Liechtenstein,NaN
2019,Lithuania,NaN
2020,Lithuania,NaN
2021,Lithuania,NaN
2019,Luxembourg,NaN
2020,Luxembourg,NaN
2021,Luxembourg,NaN
2019,Malta,NaN
2020,Malta,NaN
2021,Malta,NaN
2019,Republic of Moldova,1
2020,Republic of Moldova,NaN
2021,Republic of Moldova,NaN
2019,Montenegro,NaN
2020,Montenegro,NaN
2021,Montenegro,NaN
2019,Netherlands,NaN
2020,Netherlands,NaN
2021,Netherlands,NaN
2019,Norway,NaN
2020,Norway,NaN
2021,Norway,NaN
2019,Poland,NaN
2020,Poland,NaN
2021,Poland,NaN
2019,Portugal,NaN
2020,Portugal,NaN
2021,Portugal,NaN
2019,Romania,NaN
2020,Romania,NaN
2021,Romania,NaN
2019,Serbia,NaN
2020,Serbia,NaN
2021,Serbia,NaN
2019,Slovakia,NaN
2020,Slovakia,NaN
2021,Slovakia,NaN
2019,Slovenia,1
2020,Slovenia,1
2021,Slovenia,1
2019,Spain,NaN
2020,Spain,NaN
2021,Spain,NaN
2021,Uzbekistan,1
2019,Sweden,NaN
2020,Sweden,NaN
2021,Sweden,NaN
2021,Sweden,NaN
