Year,GeoAreaName,Value
2021,Malta,NaN
2019,Republic of Moldova,1
2020,Republic of Moldova,1
2021,Republic of Moldova,1
2019,Montenegro,NaN
2020,Montenegro,NaN
2021,Montenegro,NaN
2019,Netherlands,1
2020,Netherlands,1
2021,Netherlands,1
2019,Norway,1
2020,Norway,1
2021,Norway,1
2019,Poland,1
2020,Poland,1
2021,Poland,1
2019,Portugal,1
2020,Portugal,1
2021,Portugal,1
2019,Romania,1
2020,Romania,1
2021,Romania,1
2019,Serbia,1
2020,Serbia,1
2021,Serbia,1
2019,Slovakia,1
2020,Slovakia,1
2021,Slovakia,1
2019,Slovenia,1
2020,Slovenia,1
2019,Albania,NaN
2020,Albania,NaN
2021,Albania,NaN
2019,Azerbaijan,NaN
2020,Azerbaijan,NaN
2021,Azerbaijan,NaN
2019,Austria,1
2020,Austria,1
2021,Austria,1
2019,Armenia,1
2021,Slovenia,1
2019,Spain,1
2020,Spain,1
2021,Spain,1
2019,Sweden,1
2020,Sweden,1
2021,Sweden,1
2019,Switzerland,1
2020,Switzerland,1
2021,Switzerland,1
2020,Armenia,1
2021,Armenia,1
2019,Belgium,1
2020,Belgium,1
2021,Belgium,1
2019,Bosnia and Herzegovina,1
2020,Bosnia and Herzegovina,1
2021,Bosnia and Herzegovina,1
2019,Bulgaria,1
2020,Bulgaria,1
2019,Tajikistan,1
2020,Tajikistan,NaN
2021,Tajikistan,NaN
2019,Türkiye,1
2020,Türkiye,1
2021,Türkiye,1
2019,Turkmenistan,NaN
2020,Turkmenistan,NaN
2021,Turkmenistan,NaN
2019,Ukraine,1
2021,Bulgaria,1
2019,Belarus,1
2020,Belarus,1
2021,Belarus,1
2019,Croatia,1
2020,Croatia,1
2021,Croatia,1
2019,Cyprus,1
2020,Cyprus,1
2021,Cyprus,1
2019,Czechia,1
2020,Czechia,1
2021,Czechia,1
2019,Denmark,1
2020,Denmark,1
2021,Denmark,1
2019,Estonia,1
2020,Estonia,1
2021,Estonia,1
2019,Finland,1
2020,Finland,1
2021,Finland,1
2019,France,1
2020,France,1
2021,France,1
2019,Georgia,NaN
2020,Georgia,NaN
2021,Georgia,NaN
2019,Germany,1
2020,Germany,1
2021,Germany,1
2019,Greece,1
2020,Greece,1
2021,Greece,1
2019,Hungary,1
2020,Hungary,1
2021,Hungary,1
2019,Iceland,1
2020,Iceland,NaN
2021,Iceland,NaN
2019,Ireland,1
2020,Ireland,1
2021,Ireland,1
2019,Italy,1
2020,Italy,1
2021,Italy,1
2019,Kazakhstan,1
2020,Kazakhstan,1
2021,Kazakhstan,1
2019,Kyrgyzstan,1
2020,Kyrgyzstan,1
2021,Kyrgyzstan,1
2019,Latvia,1
2020,Latvia,1
2021,Latvia,1
2019,Liechtenstein,1
2020,Liechtenstein,1
2021,Liechtenstein,1
2019,Lithuania,1
2020,Lithuania,1
2021,Lithuania,1
2019,Luxembourg,1
2020,Luxembourg,1
2021,Luxembourg,1
2019,Malta,NaN
2020,Malta,NaN
2020,Ukraine,NaN
2021,Ukraine,NaN
2019,North Macedonia,1
2020,North Macedonia,1
2021,North Macedonia,1
2019,Uzbekistan,1
2020,Uzbekistan,1
2021,Uzbekistan,1
2021,Uzbekistan,1
