Year,GeoAreaName,Value
2016,Albania,1596764.04055
2017,Albania,636211.23441
2018,Albania,2842501.98828
2019,Albania,1017387.268
2016,Azerbaijan,742952.07296
2017,Azerbaijan,130398.89503
2018,Azerbaijan,1025311.41629
2019,Azerbaijan,905399.21
2017,Austria,4567.62295
2016,Armenia,270595.9
2017,Armenia,87292.02459
2018,Armenia,427350.04821
2019,Armenia,542641.807
2016,Bosnia and Herzegovina,102139.10301
2017,Bosnia and Herzegovina,187146.265
2018,Bosnia and Herzegovina,1058136.2199
2019,Bosnia and Herzegovina,5207486.19
2016,Belarus,4290.31
2017,Belarus,54001.02459
2018,Belarus,70238
2019,Belarus,48086.67
2016,Cyprus,15398.3316
2016,Georgia,21428.57143
2017,Georgia,151608.537
2018,Georgia,558963.36634
2019,Georgia,390208.767
2017,Greece,105594.2623
2018,Greece,41784.10206
2016,Kazakhstan,251249.66933
2017,Kazakhstan,261041.96557
2018,Kazakhstan,254036.66896
2019,Kazakhstan,126269.7
2016,Kyrgyzstan,906109.63891
2017,Kyrgyzstan,3721819.09426
2018,Kyrgyzstan,592762.05609
2019,Kyrgyzstan,72579.958
2016,Republic of Moldova,418069.41828
2017,Republic of Moldova,312293.33443
2018,Republic of Moldova,214813.8718
2019,Republic of Moldova,221943.391
2016,Montenegro,28327.29683
2017,Montenegro,214084.7111
2018,Montenegro,291751.53487
2019,Montenegro,225449.91
2016,Serbia,109248.57239
2017,Serbia,251442.3811
2018,Serbia,45730282.78502
2019,Serbia,1945381.376
2019,Slovenia,8237
2016,Tajikistan,798208.84809
2017,Tajikistan,2180621.04426
2018,Tajikistan,723943.64697
2019,Tajikistan,323965.5
2016,Türkiye,883221.83404
2017,Türkiye,456218.6322
2018,Türkiye,355936.50804
2019,Türkiye,1102166.668
2016,Turkmenistan,68993.2
2017,Turkmenistan,121867.83115
2018,Turkmenistan,105531.61
2019,Turkmenistan,145899.6
2016,Ukraine,173366.17
2017,Ukraine,3678008.64266
2018,Ukraine,363845.7478
2019,Ukraine,638360.409
2016,North Macedonia,61996.06732
2017,North Macedonia,143058.5623
2018,North Macedonia,445796.96404
2019,North Macedonia,1752591
2016,Uzbekistan,46785.12503
2017,Uzbekistan,120282.5898
2018,Uzbekistan,413643.9927
2019,Uzbekistan,606311.45
2019,Uzbekistan,606311.45
