Year,GeoAreaName,Value
2011,Norway,0.3087
2012,Norway,0.26994
2013,Norway,0.29628
2014,Norway,0.27936
2015,Norway,0.26795
2016,Norway,0.26503
2017,Norway,0.28038
2018,Norway,0.27444
2019,Norway,0.27861
2020,Norway,0.31545
2000,Poland,0.00535
2001,Poland,0.01484
2003,Poland,0.00195
2004,Poland,0.01636
2005,Poland,0.01767
2006,Poland,0.04473
2007,Poland,0.02091
2008,Poland,0.02286
2009,Poland,0.02398
2010,Poland,0.02378
2011,Poland,0.01755
2012,Poland,0.01656
2013,Poland,0.02462
2014,Poland,0.02464
2015,Poland,0.02719
2016,Poland,0.04078
2017,Poland,0.02239
2018,Poland,0.03911
2019,Poland,0.02372
2020,Poland,0.0225
2000,Portugal,0.14765
2001,Portugal,0.14645
2002,Portugal,0.16146
2003,Portugal,0.11396
2004,Portugal,0.51665
2005,Portugal,0.09239
2006,Portugal,0.10272
2007,Portugal,0.096
2008,Portugal,0.10083
2009,Portugal,0.0963
2010,Portugal,0.12931
2011,Portugal,0.15023
2012,Portugal,0.08531
2013,Portugal,0.06646
2014,Portugal,0.05234
2015,Portugal,0.04615
2016,Portugal,0.04969
2017,Portugal,0.058
2018,Portugal,0.05542
2019,Portugal,0.05248
2020,Portugal,0.05064
2000,Slovakia,0
2001,Slovakia,0
2002,Slovakia,0.00453
2000,Austria,0.06096
2001,Austria,0.07607
2002,Austria,0.08739
2003,Austria,0.06847
2004,Austria,0.05898
2005,Austria,0.08099
2006,Austria,0.07815
2007,Austria,0.07008
2008,Austria,0.07276
2003,Slovakia,0.01242
2004,Slovakia,0.01874
2006,Slovakia,0.04949
2007,Slovakia,0.04499
2008,Slovakia,0.04707
2009,Slovakia,0.02013
2010,Slovakia,0.02328
2011,Slovakia,0.01794
2012,Slovakia,0.01706
2013,Slovakia,0.02271
2014,Slovakia,0.01812
2015,Slovakia,0.02211
2016,Slovakia,0.02161
2017,Slovakia,0.02471
2018,Slovakia,0.02408
2019,Slovakia,0.02003
2020,Slovakia,0.02075
2005,Slovenia,0
2006,Slovenia,0
2007,Slovenia,0
2008,Slovenia,0.02567
2009,Slovenia,0.02958
2010,Slovenia,0.02997
2011,Slovenia,0.02487
2012,Slovenia,0.02245
2013,Slovenia,0.02272
2014,Slovenia,0.02179
2015,Slovenia,0.02251
2016,Slovenia,0.03061
2017,Slovenia,0.02597
2018,Slovenia,0.02497
2019,Slovenia,0.02373
2020,Slovenia,0.0231
2000,Spain,0.03143
2001,Spain,0.04399
2002,Spain,0.05053
2003,Spain,0.05056
2004,Spain,0.04931
2005,Spain,0.07137
2006,Spain,0.06238
2007,Spain,0.07895
2008,Spain,0.09948
2009,Spain,0.11735
2010,Spain,0.11467
2011,Spain,0.07258
2012,Spain,0.03618
2013,Spain,0.03309
2014,Spain,0.03473
2015,Spain,0.02575
2016,Spain,0.04476
2017,Spain,0.04448
2018,Spain,0.04816
2019,Spain,0.04137
2020,Spain,0.04638
2000,Sweden,0.24021
2001,Sweden,0.2257
2002,Sweden,0.26896
2003,Sweden,0.28126
2004,Sweden,0.24007
2005,Sweden,0.31169
2006,Sweden,0.29424
2007,Sweden,0.29516
2008,Sweden,0.32145
2009,Sweden,0.34559
2010,Sweden,0.30135
2011,Sweden,0.35224
2012,Sweden,0.28646
2013,Sweden,0.31367
2014,Sweden,0.28574
2015,Sweden,0.29179
2016,Sweden,0.27013
2017,Sweden,0.31286
2018,Sweden,0.34222
2019,Sweden,0.32446
2020,Sweden,0.35303
2000,Switzerland,0.10141
2001,Switzerland,0.09972
2002,Switzerland,0.08783
2003,Switzerland,0.11645
2004,Switzerland,0.10285
2005,Switzerland,0.09732
2006,Switzerland,0.10343
2007,Switzerland,0.10806
2008,Switzerland,0.10329
2009,Switzerland,0.13368
2010,Switzerland,0.10565
2011,Switzerland,0.12047
2012,Switzerland,0.10854
2013,Switzerland,0.11759
2014,Switzerland,0.12224
2009,Austria,0.09199
2010,Austria,0.12228
2011,Austria,0.07086
2012,Austria,0.06159
2013,Austria,0.07961
2014,Austria,0.08334
2015,Austria,0.05939
