Year,GeoAreaName,Value
2000,Austria,31.4561
2001,Austria,25.40101
2002,Austria,18.27177
2003,Austria,19.55709
2004,Austria,17.61424
2005,Austria,17.76032
2006,Austria,20.15542
2007,Austria,23.11887
2008,Austria,23.73893
2009,Austria,31.97708
2010,Austria,49.68294
2011,Austria,21.89249
2012,Austria,17.19843
2013,Austria,19.31824
2014,Austria,14.23435
2015,Austria,17.6766
2016,Austria,28.23591
2017,Austria,27.76017
2018,Austria,33.06389
2019,Austria,21.48566
2020,Austria,35.69446
2000,Belgium,54.1217
2001,Belgium,50.63934
2002,Belgium,41.72584
2003,Belgium,34.81312
2004,Belgium,42.03723
2005,Belgium,37.98245
2006,Belgium,42.85892
2007,Belgium,43.44577
2008,Belgium,56.43731
2009,Belgium,69.66812
2010,Belgium,91.95787
2011,Belgium,56.57179
2012,Belgium,44.57599
2013,Belgium,53.18076
2014,Belgium,42.81272
2015,Belgium,36.29563
2016,Belgium,49.32069
2017,Belgium,43.96377
2018,Belgium,52.83626
2019,Belgium,46.66913
2020,Belgium,40.35016
2000,Czechia,0.49392
2001,Czechia,0.55606
2002,Czechia,0.91265
2003,Czechia,0.95549
2004,Czechia,3.21074
2005,Czechia,3.69067
2006,Czechia,4.9713
2007,Czechia,5.85681
2008,Czechia,7.1836
2009,Czechia,6.85286
2010,Czechia,12.64238
2011,Czechia,6.39655
2012,Czechia,5.18802
2013,Czechia,5.25899
2014,Czechia,4.59777
2015,Czechia,4.66075
2016,Czechia,6.44692
2017,Czechia,6.56951
2018,Czechia,5.62322
2019,Czechia,4.8273
2020,Czechia,4.46336
2000,Denmark,33.05397
2001,Denmark,29.10007
2002,Denmark,28.61489
2003,Denmark,25.01519
2004,Denmark,32.36433
2005,Denmark,30.07174
2006,Denmark,31.71904
2007,Denmark,32.09888
2008,Denmark,28.32899
2009,Denmark,27.29551
2010,Denmark,71.76258
2011,Denmark,30.7389
2012,Denmark,20.10276
2013,Denmark,19.26927
2014,Denmark,20.6688
2015,Denmark,18.82627
2016,Denmark,21.16345
2017,Denmark,24.51837
2018,Denmark,29.41059
2019,Denmark,21.39318
2020,Denmark,24.76168
2000,Finland,15.2317
2001,Finland,16.23628
2002,Finland,14.58528
2003,Finland,12.43402
2004,Finland,15.43658
2005,Finland,14.57802
2006,Finland,19.18355
2007,Finland,17.62621
2008,Finland,20.2852
2009,Finland,23.55079
2010,Finland,41.67152
2011,Finland,27.80754
2012,Finland,19.62242
2013,Finland,22.31209
2014,Finland,22.04839
2015,Finland,18.5539
2016,Finland,12.5801
2017,Finland,12.15282
2018,Finland,14.18625
2019,Finland,16.51418
2020,Finland,16.91171
2000,France,198.80585
2001,France,189.47359
2002,France,202.86759
2003,France,132.6048
2004,France,234.82117
2005,France,188.1327
2006,France,226.07783
2007,France,301.60561
2008,France,273.5518
2009,France,376.48882
2010,France,536.01587
2011,France,430.33204
2012,France,459.96397
2013,France,301.60903
2014,France,287.46021
2015,France,434.62578
2016,France,326.60277
2017,France,374.72903
2018,France,418.84671
2019,France,211.63739
2020,France,813.63365
2000,Germany,203.37275
2001,Germany,173.58745
2002,Germany,163.301
2003,Germany,138.49795
2004,Germany,158.02084
2005,Germany,131.61624
2006,Germany,176.45365
2007,Germany,191.61652
2008,Germany,207.84889
2009,Germany,262.88281
2010,Germany,339.81541
2011,Germany,227.71603
2012,Germany,178.90454
2013,Germany,173.77408
2014,Germany,186.86875
2015,Germany,156.18303
2016,Germany,225.19454
2017,Germany,201.82169
2018,Germany,262.64294
2019,Germany,183.08869
2020,Germany,195.08227
2000,Greece,9.59906
2001,Greece,7.89952
2002,Greece,9.62226
2003,Greece,4.88228
2004,Greece,7.36753
2005,Greece,6.46306
2006,Greece,9.46666
2007,Greece,11.3375
2008,Greece,11.77096
2009,Greece,13.31294
2010,Greece,17.99519
2011,Greece,7.49806
2012,Greece,6.1421
2013,Greece,5.17328
2014,Greece,4.93115
2015,Greece,4.9767
2016,Greece,5.73008
2017,Greece,4.79071
2018,Greece,5.81428
2019,Greece,4.45967
2020,Greece,4.14777
2000,Hungary,0
2001,Hungary,0
2002,Hungary,0
2003,Hungary,0.28476
2004,Hungary,1.64134
2005,Hungary,3.45254
2006,Hungary,3.36928
2007,Hungary,3.13786
2008,Hungary,4.0109
2009,Hungary,4.45259
2010,Hungary,6.14053
2011,Hungary,3.42691
2012,Hungary,2.95673
2013,Hungary,2.75534
2014,Hungary,2.8691
2015,Hungary,3.14679
2016,Hungary,4.35554
2017,Hungary,2.28135
2018,Hungary,3.77537
2019,Hungary,3.09328
2020,Hungary,3.5342
2000,Iceland,0.13218
2001,Iceland,0.20086
2002,Iceland,0.10377
2003,Iceland,0.03706
2004,Iceland,0.02202
2005,Iceland,0.15312
2006,Iceland,0.27427
2007,Iceland,0.24958
2008,Iceland,0.59913
2009,Iceland,1.90684
2010,Iceland,1.91319
2011,Iceland,0.12585
2012,Iceland,0.32193
2013,Iceland,0.30776
2014,Iceland,0.19168
2015,Iceland,0.28973
2016,Iceland,0.36487
2017,Iceland,0.27104
2018,Iceland,0.34036
2019,Iceland,0.17699
2020,Iceland,0.22424
2000,Ireland,10.11402
2001,Ireland,10.17085
2002,Ireland,13.05941
2003,Ireland,12.20504
2004,Ireland,16.15884
2005,Ireland,15.7936
2006,Ireland,22.91228
2007,Ireland,23.91919
2008,Ireland,25.57207
2009,Ireland,21.67517
2010,Ireland,30.13077
2011,Ireland,18.30331
2012,Ireland,17.0737
2013,Ireland,11.54077
2014,Ireland,11.14766
2015,Ireland,11.34412
2016,Ireland,14.39396
2017,Ireland,10.24451
2018,Ireland,12.33625
2019,Ireland,10.68724
2020,Ireland,14.23742
2000,Italy,90.45786
2001,Italy,70.83348
2002,Italy,72.42899
2003,Italy,140.68203
2004,Italy,94.36305
2005,Italy,90.19301
2006,Italy,115.11908
2007,Italy,171.67329
2008,Italy,139.70997
2009,Italy,122.36512
2010,Italy,195.03793
2011,Italy,84.91811
2012,Italy,66.44871
2013,Italy,81.31782
2014,Italy,71.87822
2015,Italy,67.94228
2016,Italy,195.54531
2017,Italy,193.137
2018,Italy,97.70613
2019,Italy,87.08482
2020,Italy,77.0919
2000,Luxembourg,23.74323
2001,Luxembourg,18.60058
2002,Luxembourg,18.33243
2003,Luxembourg,19.85274
2004,Luxembourg,24.99635
2005,Luxembourg,27.5604
2006,Luxembourg,22.40598
2007,Luxembourg,25.21253
2008,Luxembourg,26.24848
2009,Luxembourg,22.43509
2010,Luxembourg,28.83327
2011,Luxembourg,22.37846
2012,Luxembourg,25.14919
2013,Luxembourg,24.58192
2014,Luxembourg,19.20809
2015,Luxembourg,21.07781
2016,Luxembourg,18.32185
2017,Luxembourg,15.34315
2018,Luxembourg,21.02118
2019,Luxembourg,21.60787
2020,Luxembourg,19.69794
2000,Netherlands,147.82007
2001,Netherlands,141.85924
2002,Netherlands,83.9879
2003,Netherlands,70.98496
2004,Netherlands,104.73729
2005,Netherlands,111.53078
2006,Netherlands,94.80472
2007,Netherlands,193.16355
2008,Netherlands,135.67935
2009,Netherlands,170.73822
2010,Netherlands,165.22495
2011,Netherlands,120.50106
2012,Netherlands,64.39404
2013,Netherlands,54.28634
2014,Netherlands,42.72193
2015,Netherlands,49.2174
2016,Netherlands,50.27505
2017,Netherlands,35.24137
2018,Netherlands,59.36848
2019,Netherlands,52.23067
2020,Netherlands,49.43256
2000,Norway,32.48273
2001,Norway,34.04913
2002,Norway,41.62555
2003,Norway,37.36207
2004,Norway,48.01005
2005,Norway,42.41062
2006,Norway,43.11827
2007,Norway,40.31162
2008,Norway,31.02042
2009,Norway,32.67158
2010,Norway,102.90756
2011,Norway,70.31631
2012,Norway,42.91204
2013,Norway,34.11743
2014,Norway,96.94379
2015,Norway,38.53317
2016,Norway,40.52054
2017,Norway,43.32384
2018,Norway,39.73618
2019,Norway,71.76181
2020,Norway,43.02515
2000,Poland,0.99104
2001,Poland,0.22529
2002,Poland,0.20401
2003,Poland,0.37088
2004,Poland,5.09809
2005,Poland,6.40993
2006,Poland,8.38326
2007,Poland,9.69215
2008,Poland,12.51513
2009,Poland,15.55267
2010,Poland,19.07578
2011,Poland,10.57934
2012,Poland,9.62854
2013,Poland,10.17775
2014,Poland,9.57258
2015,Poland,10.36827
2016,Poland,13.42239
2017,Poland,9.6018
2018,Poland,12.14257
2019,Poland,11.17919
2020,Poland,10.66831
2000,Portugal,192.03738
2001,Portugal,203.79411
2002,Portugal,184.26518
2003,Portugal,142.23705
2004,Portugal,103.80159
2005,Portugal,127.24732
2006,Portugal,131.19482
2007,Portugal,125.20294
2008,Portugal,130.77622
2009,Portugal,121.60154
2010,Portugal,228.66937
2011,Portugal,211.13908
2012,Portugal,228.61094
2013,Portugal,199.60727
2014,Portugal,176.65136
2015,Portugal,119.34341
2016,Portugal,87.56492
2017,Portugal,71.95945
2018,Portugal,69.58216
2019,Portugal,74.99014
2020,Portugal,66.58976
2000,Slovakia,0
2001,Slovakia,0
2002,Slovakia,0.18496
2003,Slovakia,0.39185
2004,Slovakia,0.98963
2005,Slovakia,1.27625
2006,Slovakia,1.72579
2007,Slovakia,2.02471
2008,Slovakia,2.6065
2009,Slovakia,2.8609
2010,Slovakia,3.62288
2011,Slovakia,2.02397
2012,Slovakia,1.88474
2013,Slovakia,1.97208
2014,Slovakia,1.72773
2015,Slovakia,2.31468
2016,Slovakia,2.79165
2017,Slovakia,2.28523
2018,Slovakia,2.738
2019,Slovakia,2.19354
2020,Slovakia,1.74388
2000,Slovenia,0
2001,Slovenia,0
2002,Slovenia,0
2003,Slovenia,0
2004,Slovenia,0
2005,Slovenia,0
2006,Slovenia,0
2007,Slovenia,0
