Year,GeoAreaName,Age,Freq,Location,Sex,Type of speed,Value
2002,Belarus,,,,,ANYS,20
2003,Belarus,,,,,ANYS,123
2004,Belarus,,,,,ANYS,750
2005,Belarus,,,,,ANYS,1564
2006,Belarus,,,,,ANYS,11419
2007,Belarus,,,,,ANYS,169806
2008,Belarus,,,,,ANYS,477980
2009,Belarus,,,,,ANYS,1092290
2010,Belarus,,,,,ANYS,1666631
2011,Belarus,,,,,ANYS,2098068
2011,Belarus,,,,,256KT2MBPS,1125883
2011,Belarus,,,,,2MT10MBPS,794578
2005,Albania,,,,,ANYS,272
2007,Albania,,,,,ANYS,10000
2008,Albania,,,,,ANYS,64000
2009,Albania,,,,,ANYS,92000
2010,Albania,,,,,ANYS,105539
2011,Albania,,,,,ANYS,128210
2012,Albania,,,,,ANYS,160088
2012,Albania,,,,,2MT10MBPS,110522
2012,Albania,,,,,256KT2MBPS,34658
2012,Albania,,,,,10MBPS,14908
2013,Albania,,,,,ANYS,182556
2013,Albania,,,,,2MT10MBPS,132052
2003,Kazakhstan,,,,,ANYS,998
2004,Kazakhstan,,,,,ANYS,1997
2005,Kazakhstan,,,,,ANYS,2996
2006,Kazakhstan,,,,,ANYS,30500
2007,Kazakhstan,,,,,ANYS,270370
2008,Kazakhstan,,,,,ANYS,337300
2009,Kazakhstan,,,,,256KT2MBPS,132143
2009,Kazakhstan,,,,,10MBPS,10571
2009,Kazakhstan,,,,,ANYS,577344
2009,Kazakhstan,,,,,2MT10MBPS,385857
2010,Kazakhstan,,,,,ANYS,869600
2011,Kazakhstan,,,,,ANYS,1193400
2011,Belarus,,,,,10MBPS,83215
2012,Belarus,,,,,256KT2MBPS,1427277
2012,Belarus,,,,,ANYS,2531842
2012,Belarus,,,,,2MT10MBPS,917355
2012,Belarus,,,,,10MBPS,121299
2013,Belarus,,,,,ANYS,2785842
2013,Belarus,,,,,256KT2MBPS,1439003
2013,Belarus,,,,,2MT10MBPS,1172162
2013,Belarus,,,,,10MBPS,115524
2014,Belarus,,,,,ANYS,2684347
2014,Belarus,,,,,2MT10MBPS,1659756
2014,Belarus,,,,,256KT2MBPS,684625
2013,Albania,,,,,256KT2MBPS,34026
2013,Albania,,,,,10MBPS,16478
2014,Albania,,,,,ANYS,207964
2014,Albania,,,,,2MT10MBPS,175153
2014,Albania,,,,,256KT2MBPS,18736
2014,Albania,,,,,10MBPS,14075
2015,Albania,,,,,ANYS,242870
2015,Albania,,,,,2MT10MBPS,216274
2015,Albania,,,,,10MBPS,14332
2015,Albania,,,,,256KT2MBPS,12264
2016,Albania,,,,,2MT10MBPS,203226
2016,Albania,,,,,10MBPS,44539
2012,Kazakhstan,,,,,ANYS,1637300
2012,Kazakhstan,,,,,2MT10MBPS,720799
2012,Kazakhstan,,,,,256KT2MBPS,470195
2012,Kazakhstan,,,,,10MBPS,307863
2013,Kazakhstan,,,,,ANYS,1958823
2013,Kazakhstan,,,,,2MT10MBPS,903830
2013,Kazakhstan,,,,,10MBPS,680792
2013,Kazakhstan,,,,,256KT2MBPS,279301
2014,Kazakhstan,,,,,2MT10MBPS,936034
2014,Kazakhstan,,,,,10MBPS,857063
2014,Belarus,,,,,10MBPS,243112
2015,Belarus,,,,,ANYS,2903497
2015,Belarus,,,,,2MT10MBPS,2107276
2015,Belarus,,,,,10MBPS,515002
2015,Belarus,,,,,256KT2MBPS,281219
2016,Belarus,,,,,256KT2MBPS,184020
2016,Belarus,,,,,ANYS,3067529
2016,Belarus,,,,,2MT10MBPS,1930375
2016,Belarus,,,,,10MBPS,953134
2017,Belarus,,,,,ANYS,3163286
2017,Belarus,,,,,256KT2MBPS,109468
2017,Belarus,,,,,2MT10MBPS,1515777
2016,Albania,,,,,256KT2MBPS,18614
2016,Albania,,,,,ANYS,266379
2017,Albania,,,,,ANYS,303612
2017,Albania,,,,,2MT10MBPS,230178
2017,Albania,,,,,10MBPS,61681
2017,Albania,,,,,256KT2MBPS,11753
2018,Albania,,,,,2MT10MBPS,253144
2018,Albania,,,,,256KT2MBPS,4936
2018,Albania,,,,,10MBPS,103867
2018,Albania,,,,,ANYS,361947
2019,Albania,,,,,ANYS,436192
2019,Albania,,,,,2MT10MBPS,253369
2019,Albania,,,,,10MBPS,178567
2016,Serbia,,,,,256KT2MBPS,11823
2016,Serbia,,,,,10MBPS,1288623
2016,Serbia,,,,,2MT10MBPS,150512
2016,Serbia,,,,,ANYS,1450958
2017,Serbia,,,,,256KT2MBPS,6832
2017,Serbia,,,,,2MT10MBPS,98092
2017,Serbia,,,,,10MBPS,1375830
2017,Serbia,,,,,ANYS,1480754
2018,Serbia,,,,,ANYS,1552160
2018,Serbia,,,,,2MT10MBPS,112201
2018,Serbia,,,,,10MBPS,1435662
2014,Kazakhstan,,,,,256KT2MBPS,264203
2014,Kazakhstan,,,,,ANYS,2148000
2015,Kazakhstan,,,,,ANYS,2301000
2015,Kazakhstan,,,,,10MBPS,1010600
2015,Kazakhstan,,,,,2MT10MBPS,767100
2015,Kazakhstan,,,,,256KT2MBPS,271600
2016,Kazakhstan,,,,,2MT10MBPS,870253
2016,Kazakhstan,,,,,10MBPS,1274577
2016,Kazakhstan,,,,,ANYS,2349900
2016,Kazakhstan,,,,,256KT2MBPS,205071
2017,Belarus,,,,,10MBPS,1538041
2018,Belarus,,,,,10MBPS,1852251
2018,Belarus,,,,,2MT10MBPS,1253198
2018,Belarus,,,,,256KT2MBPS,96070
2018,Belarus,,,,,ANYS,3201519
2019,Belarus,,,,,ANYS,3214869
2019,Belarus,,,,,10MBPS,2059865
2019,Belarus,,,,,2MT10MBPS,1092027
2019,Belarus,,,,,256KT2MBPS,62977
2020,Belarus,,,,,ANYS,3255552
2020,Belarus,,,,,10MBPS,2186146
2020,Belarus,,,,,256KT2MBPS,46919
2018,Serbia,,,,,256KT2MBPS,4297
2019,Serbia,,,,,ANYS,1623790
2019,Serbia,,,,,2MT10MBPS,77124
2019,Serbia,,,,,10MBPS,1543530
2019,Serbia,,,,,256KT2MBPS,3136
2020,Serbia,,,,,10MBPS,1659501
2020,Serbia,,,,,ANYS,1730496
2020,Serbia,,,,,256KT2MBPS,5449
2020,Serbia,,,,,2MT10MBPS,65547
2021,Serbia,,,,,10MBPS,1748241
2021,Serbia,,,,,ANYS,1799834
2021,Serbia,,,,,2MT10MBPS,48769
2021,Serbia,,,,,256KT2MBPS,2824
2002,Slovakia,,,,,ANYS,4083
2003,Slovakia,,,,,ANYS,22461
2004,Slovakia,,,,,ANYS,78764
