Year,GeoAreaName,Value
2010,Serbia,856160849
2011,Serbia,1243443930
2012,Serbia,1126688681
2013,Serbia,1130532694
2014,Serbia,1084552743
2015,Serbia,1047598144
2016,Serbia,1044395068
2017,Serbia,1178041515
2018,Serbia,1558945344
2019,Serbia,1519126320
2020,Serbia,1856968230
2010,Slovakia,5705540713
2011,Slovakia,7272247057
2012,Slovakia,7556632082
2013,Slovakia,7353507732
2014,Slovakia,7340525732
2015,Slovakia,6814404369
2016,Slovakia,6947115438
2017,Slovakia,6352580102
2018,Slovakia,6601836740
2019,Slovakia,6801158910
2020,Slovakia,7108347053
2010,Slovenia,1768015010
2011,Slovenia,2075229570
2012,Slovenia,1940566203
2013,Slovenia,2158867281
2014,Slovenia,1892379262
2015,Slovenia,1735548183
2016,Slovenia,1867988836
2017,Slovenia,2011057157
2018,Slovenia,2297787291
2019,Slovenia,2351422608
2020,Slovenia,2377363961
2010,Spain,18778900167
2011,Spain,19559241759
2012,Spain,15531632381
2013,Spain,16014086125
2014,Spain,16570756483
2015,Spain,16391438500
2016,Spain,16694540634
2017,Spain,17330860528
2018,Spain,19646673299
2019,Spain,19874089991
2020,Spain,19584102959
2010,Sweden,10398138491
2011,Sweden,12098559832
2012,Sweden,10883264212
2013,Sweden,11204298707
2014,Sweden,11299360974
2015,Sweden,9991641198
2016,Sweden,10099150301
2017,Sweden,10737716265
2018,Sweden,11751778522
2019,Sweden,12118381744
2020,Sweden,12017003631
2010,Switzerland,11487565197
2011,Switzerland,13254860654
2012,Switzerland,12493847698
2013,Switzerland,13215173309
2014,Switzerland,13574372191
2015,Switzerland,12107097067
2016,Switzerland,11891062677
2017,Switzerland,12372853798
2018,Switzerland,13013881022
2019,Switzerland,12929148832
2020,Switzerland,13240671743
2016,Tajikistan,249933005
2017,Tajikistan,129690707
2018,Tajikistan,154555214
2019,Tajikistan,144064910
2020,Tajikistan,143224518
2010,Türkiye,11736842184
2011,Türkiye,13755746432
2012,Türkiye,14131491690
2013,Türkiye,17238216894
2014,Türkiye,15528856562
2015,Türkiye,15081404510
2010,Albania,227942472
2011,Albania,296009878
2012,Albania,244974020
2013,Albania,209565784
2014,Albania,126021361
2015,Albania,214388021
2016,Albania,206221288
2017,Albania,150860748
2018,Albania,163242867
2019,Albania,173891990
2020,Albania,234987908
2010,Azerbaijan,835485744
2011,Azerbaijan,1317852416
2016,Türkiye,18492383827
2017,Türkiye,17620413198
2018,Türkiye,14246563763
2019,Türkiye,13110234994
2020,Türkiye,14866811621
2010,Ukraine,2518207605
2011,Ukraine,3971792522
2012,Ukraine,4867464463
2013,Ukraine,4190721585
2014,Ukraine,2666437700
2015,Ukraine,1827801239
