Year,GeoAreaName,Value
2010,Armenia,3114851
2011,Armenia,5384076
2012,Armenia,4630692
2013,Armenia,4046070
2014,Armenia,4794390
2015,Armenia,3395509
2016,Armenia,2199306
2017,Armenia,4679068
2018,Armenia,2837732
2019,Armenia,2850340
2020,Armenia,1806249
2010,Cyprus,24495031
2011,Cyprus,47811429
2012,Cyprus,34159566
2013,Cyprus,39152342
2014,Cyprus,29198541
2015,Cyprus,31710302
2016,Cyprus,29700485
2017,Cyprus,79113268
2018,Cyprus,70484174
2019,Cyprus,53568830
2020,Cyprus,42640594
2018,Estonia,139101259
2019,Estonia,139123680
2020,Estonia,188355034
2010,Georgia,2593496
2011,Georgia,5403724
2012,Georgia,4873541
2013,Georgia,27900331
2014,Georgia,8198783
2015,Georgia,7646610
2016,Georgia,7519996
2017,Georgia,16763526
2018,Georgia,38410648
2019,Georgia,44946576
2020,Georgia,16935109
2010,Kyrgyzstan,2110864
2011,Kyrgyzstan,2690270
2012,Kyrgyzstan,9244121
2013,Kyrgyzstan,10322504
2014,Kyrgyzstan,6771442
2010,Luxembourg,3556984
2011,Luxembourg,2783935
2012,Luxembourg,2878630
2013,Luxembourg,1423723
2014,Luxembourg,1561907
2015,Luxembourg,2143796
2016,Luxembourg,2409388
2017,Luxembourg,963475
2018,Luxembourg,2184060
2019,Luxembourg,1576376
2020,Luxembourg,1923039
2010,Republic of Moldova,8885740
2011,Republic of Moldova,25013688
2012,Republic of Moldova,24560617
2013,Republic of Moldova,33592111
2014,Republic of Moldova,22258406
2015,Republic of Moldova,21636417
2016,Republic of Moldova,19459386
2017,Republic of Moldova,21096414
2018,Republic of Moldova,17697137
2019,Republic of Moldova,24202158
2020,Republic of Moldova,20554727
2010,Montenegro,1043598
2011,Montenegro,517142
2010,Spain,86307066
2011,Spain,156314977
2012,Spain,472243964
2013,Spain,378755851
2014,Spain,745142973
2015,Spain,765123237
2016,Spain,543651808
2017,Spain,676038021
2018,Spain,761484642
2019,Spain,819463975
2020,Spain,637532201
2017,Uzbekistan,1860187
2018,Uzbekistan,720766
2019,Uzbekistan,2368567
2020,Uzbekistan,5691817
2020,Uzbekistan,5691817
