Year,GeoAreaName,Value
2010,Armenia,25144
2011,Armenia,2621749
2012,Armenia,83213
2013,Armenia,108597
2014,Armenia,71817
2015,Armenia,190552
2016,Armenia,133646
2017,Armenia,148200
2018,Armenia,600069
2019,Armenia,34596
2020,Armenia,56729
2012,Czechia,796945
2015,Czechia,3702
2011,Estonia,672926
2012,Estonia,804614
2013,Estonia,1105040
2014,Estonia,571348
2015,Estonia,746526
2016,Estonia,639289
2017,Estonia,372827
2010,France,568825576
2011,France,579448446
2012,France,514855146
2013,France,511551171
2014,France,499554477
2015,France,379027468
2017,France,412188294
2018,France,424676917
2019,France,451405256
2012,Georgia,9224
2013,Georgia,86890
2014,Georgia,131995
2015,Georgia,73831
2016,Georgia,28984
2017,Georgia,5665
2018,Georgia,14564
2019,Georgia,39971
2020,Georgia,83878
2010,Ireland,16658774
2011,Ireland,17747453
2012,Ireland,31802661
2013,Ireland,32103678
2014,Ireland,5420277
2015,Ireland,5246756
2016,Ireland,4776042
2017,Ireland,1881804
2018,Ireland,3705019
2019,Ireland,6300918
2010,Luxembourg,3747937
2011,Luxembourg,2421266
2012,Luxembourg,3225592
2013,Luxembourg,3221344
2014,Luxembourg,4475979
2015,Luxembourg,5696916
2016,Luxembourg,8899893
2017,Luxembourg,9381663
2018,Luxembourg,13026539
2019,Luxembourg,3396632
2020,Luxembourg,4534515
2017,Malta,1862433
2010,Republic of Moldova,329386
2011,Republic of Moldova,728830
2012,Republic of Moldova,999609
2013,Republic of Moldova,67689
2014,Republic of Moldova,390295
2015,Republic of Moldova,285192
2016,Republic of Moldova,264356
2017,Republic of Moldova,376590
2018,Republic of Moldova,207020
2019,Republic of Moldova,133917
2020,Republic of Moldova,275884
2018,Montenegro,266483
2010,Slovakia,23708096
2011,Slovakia,33622196
2012,Slovakia,27679512
2013,Slovakia,30008508
2014,Slovakia,35263668
2015,Slovakia,59001809
2016,Slovakia,47215743
2017,Slovakia,53506726
2019,Slovakia,127273528
2010,Slovenia,8154003
2011,Slovenia,12292304
2012,Slovenia,9663761
2013,Slovenia,10778847
2014,Slovenia,10545133
2015,Slovenia,12204672
2016,Slovenia,13504629
2017,Slovenia,16231728
2018,Slovenia,20078993
2010,Spain,33169348
2011,Spain,29959037
2012,Spain,34696679
2013,Spain,27021260
2014,Spain,29551798
2015,Spain,35765603
2016,Spain,36007375
2017,Spain,39560589
2018,Spain,43546253
2019,Spain,60809392
2020,Spain,71988678
2012,Switzerland,184341814
2013,Switzerland,146917980
2014,Switzerland,201123124
2015,Switzerland,224409461
2016,Switzerland,211857190
2017,Switzerland,236173376
2018,Switzerland,312951886
2019,Switzerland,293867507
2020,Switzerland,270622088
2017,Uzbekistan,126862
2018,Uzbekistan,317516
2019,Uzbekistan,244636
2020,Uzbekistan,99488
2020,Uzbekistan,99488
