Year,GeoAreaName,Value
2010,Republic of Moldova,227463925.00
2011,Republic of Moldova,342528800.00
2012,Republic of Moldova,353736954.00
2013,Republic of Moldova,402246994.00
2014,Republic of Moldova,369965115.00
2015,Republic of Moldova,315117496.00
2016,Republic of Moldova,308348050.00
2017,Republic of Moldova,361474805.00
2018,Republic of Moldova,399826205.00
2019,Republic of Moldova,428297668.00
2020,Republic of Moldova,430050135.00
2010,Montenegro,117021250.00
2011,Montenegro,118242802.00
2012,Montenegro,112755322.00
2013,Montenegro,115302487.00
2014,Montenegro,117763852.00
2015,Montenegro,117083440.00
2016,Montenegro,169742708.00
2017,Montenegro,145601691.00
2018,Montenegro,214198911.00
2019,Montenegro,170941895.00
2020,Montenegro,142453009.00
2010,Netherlands,48766248631.00
2011,Netherlands,63004775967.00
2012,Netherlands,55364079256.00
2013,Netherlands,55020373944.00
2014,Netherlands,57570664697.00
2015,Netherlands,50400284109.00
2016,Netherlands,51341064313.00
2017,Netherlands,54800840154.00
2018,Netherlands,62709515423.00
2019,Netherlands,65534457801.00
2020,Netherlands,66498009981.00
2010,Norway,10072915814.00
2011,Norway,11452680539.00
2012,Norway,12111123575.00
2013,Norway,12428004735.00
2014,Norway,12999876572.00
2015,Norway,11724350577.00
2016,Norway,10071517731.00
2017,Norway,9809461622.00
2018,Norway,10424625999.00
2019,Norway,11346500947.00
2020,Norway,10371622284.00
2010,Poland,24359478148.00
2011,Poland,29526513381.00
2012,Poland,25167240894.00
2013,Poland,28428812720.00
2014,Poland,30893170666.00
2015,Poland,28884644228.00
2016,Poland,28627666122.00
2017,Poland,31176057037.00
2018,Poland,38825505245.00
2019,Poland,37223117026.00
2020,Poland,42884172805.00
2010,Portugal,6568005084.00
2011,Portugal,6896116912.00
2012,Portugal,6378702244.00
2013,Portugal,6974798910.00
2010,Albania,245760976.00
2011,Albania,329948510.00
2012,Albania,268030622.00
2013,Albania,235594785.00
2014,Albania,144561541.00
2015,Albania,236692789.00
2016,Albania,233703160.00
2017,Albania,158242452.00
2018,Albania,165287742.00
2019,Albania,180237400.00
2020,Albania,257604445.00
2010,Azerbaijan,855702087.00
2014,Portugal,7500286580.00
2015,Portugal,6568745477.00
2016,Portugal,6759164031.00
2017,Portugal,7482442437.00
2018,Portugal,9006004068.00
2019,Portugal,8772251504.00
2020,Portugal,8602920412.00
2010,Romania,8227807379.00
2011,Romania,10294484076.00
2012,Romania,9792846354.00
2013,Romania,10318143237.00
2014,Romania,10842443234.00
2011,Azerbaijan,1339054804.00
2012,Azerbaijan,1234040249.00
2013,Azerbaijan,1247366384.00
2014,Azerbaijan,1140644411.00
2015,Azerbaijan,1339493737.00
2016,Azerbaijan,1144996309.00
2017,Azerbaijan,833238708.00
2018,Azerbaijan,1010978281.00
2019,Azerbaijan,1058699599.00
2020,Azerbaijan,1089925159.00
2010,Austria,24231035798.00
2011,Austria,27595362491.00
2012,Austria,25954451761.00
2013,Austria,27208464881.00
2014,Austria,27955106083.00
2015,Austria,24850139990.00
2016,Austria,25185009515.00
2017,Austria,26267208608.00
2018,Austria,29514267523.00
2019,Austria,29205849245.00
2020,Austria,27729774464.00
2010,Armenia,252352800.00
