Year,GeoAreaName,Age,Sex,Value
2001,Malta,,,<2.5
2002,Malta,,,<2.5
2003,Malta,,,<2.5
2004,Malta,,,<2.5
2005,Malta,,,<2.5
2006,Malta,,,<2.5
2007,Malta,,,<2.5
2008,Malta,,,<2.5
2009,Malta,,,<2.5
2010,Malta,,,<2.5
2011,Malta,,,<2.5
2001,Azerbaijan,,,17
2002,Azerbaijan,,,13.4
2003,Azerbaijan,,,10.4
2004,Azerbaijan,,,7.4
2005,Azerbaijan,,,4.8
2006,Azerbaijan,,,2.8
2007,Azerbaijan,,,<2.5
2008,Azerbaijan,,,<2.5
2009,Azerbaijan,,,<2.5
2010,Azerbaijan,,,<2.5
2011,Azerbaijan,,,<2.5
2012,Azerbaijan,,,<2.5
2013,Azerbaijan,,,<2.5
2014,Azerbaijan,,,<2.5
2015,Azerbaijan,,,<2.5
2016,Azerbaijan,,,<2.5
2017,Azerbaijan,,,<2.5
2018,Azerbaijan,,,<2.5
2019,Azerbaijan,,,<2.5
2020,Azerbaijan,,,<2.5
2012,Malta,,,<2.5
2013,Malta,,,<2.5
2014,Malta,,,<2.5
2015,Malta,,,<2.5
2016,Malta,,,<2.5
2017,Malta,,,<2.5
2018,Malta,,,<2.5
2019,Malta,,,<2.5
2020,Malta,,,<2.5
2001,Republic of Moldova,,,NaN
2002,Republic of Moldova,,,NaN
2003,Republic of Moldova,,,NaN
2004,Republic of Moldova,,,NaN
2005,Republic of Moldova,,,NaN
2006,Republic of Moldova,,,NaN
2007,Republic of Moldova,,,NaN
2008,Republic of Moldova,,,NaN
2009,Republic of Moldova,,,NaN
2010,Republic of Moldova,,,NaN
2011,Republic of Moldova,,,NaN
2012,Republic of Moldova,,,NaN
2013,Republic of Moldova,,,NaN
2014,Republic of Moldova,,,NaN
2015,Republic of Moldova,,,NaN
2001,Austria,,,<2.5
2002,Austria,,,<2.5
2003,Austria,,,<2.5
2004,Austria,,,<2.5
2005,Austria,,,<2.5
2006,Austria,,,<2.5
2007,Austria,,,<2.5
2008,Austria,,,<2.5
2009,Austria,,,<2.5
2010,Austria,,,<2.5
2016,Republic of Moldova,,,NaN
2017,Republic of Moldova,,,NaN
2018,Republic of Moldova,,,NaN
2019,Republic of Moldova,,,NaN
2020,Republic of Moldova,,,NaN
2001,Montenegro,,,9.6
2002,Montenegro,,,9.2
2003,Montenegro,,,8.4
2004,Montenegro,,,7.7
2005,Montenegro,,,5.5
2006,Montenegro,,,3.1
2007,Montenegro,,,<2.5
2011,Austria,,,<2.5
2012,Austria,,,<2.5
2013,Austria,,,<2.5
2014,Austria,,,<2.5
2015,Austria,,,<2.5
2016,Austria,,,<2.5
2017,Austria,,,<2.5
2018,Austria,,,<2.5
2019,Austria,,,<2.5
2020,Austria,,,<2.5
2008,Montenegro,,,<2.5
2009,Montenegro,,,<2.5
2010,Montenegro,,,<2.5
2011,Montenegro,,,<2.5
2012,Montenegro,,,<2.5
2013,Montenegro,,,<2.5
2014,Montenegro,,,<2.5
2015,Montenegro,,,<2.5
2016,Montenegro,,,<2.5
2017,Montenegro,,,<2.5
2001,Armenia,,,26.1
2002,Armenia,,,24.5
2003,Armenia,,,21.1
2004,Armenia,,,16
2005,Armenia,,,12.3
2006,Armenia,,,9.3
2007,Armenia,,,6.9
2008,Armenia,,,5.6
2009,Armenia,,,4.4
2010,Armenia,,,3.7
2011,Armenia,,,3.4
2012,Armenia,,,3.2
2013,Armenia,,,3.2
2014,Armenia,,,2.8
2015,Armenia,,,2.8
2016,Armenia,,,2.7
2017,Armenia,,,2.8
2018,Armenia,,,2.9
2019,Armenia,,,3.1
2020,Armenia,,,3.5
2018,Montenegro,,,<2.5
2019,Montenegro,,,<2.5
2020,Montenegro,,,<2.5
2001,Netherlands,,,<2.5
2002,Netherlands,,,<2.5
2003,Netherlands,,,<2.5
2004,Netherlands,,,<2.5
2005,Netherlands,,,<2.5
2006,Netherlands,,,<2.5
2007,Netherlands,,,<2.5
2001,Albania,,,4.9
2002,Albania,,,6.1
2003,Albania,,,7.5
2004,Albania,,,8.6
2005,Albania,,,8.9
2006,Albania,,,8.8
2007,Albania,,,8.3
2008,Albania,,,7.3
2009,Albania,,,6.3
2010,Albania,,,5.8
2008,Netherlands,,,<2.5
2009,Netherlands,,,<2.5
2010,Netherlands,,,<2.5
2011,Netherlands,,,<2.5
2012,Netherlands,,,<2.5
2013,Netherlands,,,<2.5
2014,Netherlands,,,<2.5
2015,Netherlands,,,<2.5
2016,Netherlands,,,<2.5
2017,Netherlands,,,<2.5
2001,Belgium,,,<2.5
2002,Belgium,,,<2.5
2003,Belgium,,,<2.5
2004,Belgium,,,<2.5
2005,Belgium,,,<2.5
2006,Belgium,,,<2.5
2007,Belgium,,,<2.5
2008,Belgium,,,<2.5
2009,Belgium,,,<2.5
2010,Belgium,,,<2.5
2011,Belgium,,,<2.5
2012,Belgium,,,<2.5
2013,Belgium,,,<2.5
2014,Belgium,,,<2.5
2015,Belgium,,,<2.5
2016,Belgium,,,<2.5
2017,Belgium,,,<2.5
2018,Belgium,,,<2.5
2019,Belgium,,,<2.5
2020,Belgium,,,<2.5
2011,Albania,,,5.4
2012,Albania,,,5.1
2013,Albania,,,5
2014,Albania,,,5
2015,Albania,,,4.9
2016,Albania,,,4.7
2017,Albania,,,4.7
2018,Albania,,,4.6
2019,Albania,,,4.3
2020,Albania,,,3.9
2018,Netherlands,,,<2.5
2019,Netherlands,,,<2.5
2020,Netherlands,,,<2.5
2001,Norway,,,<2.5
2002,Norway,,,<2.5
2003,Norway,,,<2.5
2004,Norway,,,<2.5
2005,Norway,,,<2.5
2006,Norway,,,<2.5
2007,Norway,,,<2.5
2008,Norway,,,<2.5
2009,Norway,,,<2.5
2010,Norway,,,<2.5
2011,Norway,,,<2.5
2012,Norway,,,<2.5
2013,Norway,,,<2.5
2014,Norway,,,<2.5
2015,Norway,,,<2.5
2016,Norway,,,<2.5
2017,Norway,,,<2.5
2001,Bosnia and Herzegovina,,,3.2
2002,Bosnia and Herzegovina,,,3
2003,Bosnia and Herzegovina,,,2.6
2004,Bosnia and Herzegovina,,,<2.5
2005,Bosnia and Herzegovina,,,<2.5
2006,Bosnia and Herzegovina,,,<2.5
2007,Bosnia and Herzegovina,,,<2.5
2008,Bosnia and Herzegovina,,,<2.5
2009,Bosnia and Herzegovina,,,<2.5
2010,Bosnia and Herzegovina,,,<2.5
2011,Bosnia and Herzegovina,,,<2.5
2012,Bosnia and Herzegovina,,,<2.5
2013,Bosnia and Herzegovina,,,<2.5
2014,Bosnia and Herzegovina,,,<2.5
2015,Bosnia and Herzegovina,,,<2.5
2016,Bosnia and Herzegovina,,,<2.5
2017,Bosnia and Herzegovina,,,<2.5
2018,Bosnia and Herzegovina,,,<2.5
2019,Bosnia and Herzegovina,,,<2.5
2020,Bosnia and Herzegovina,,,<2.5
