Year,GeoAreaName,Age,Freq,Sex,Value
2015,Italy,ALLAGE,,BOTHSEX,5180.7
2015,Italy,15+,,FEMALE,2480.8
2015,Italy,15+,,MALE,1908.2
2016,Italy,ALLAGE,,BOTHSEX,4636
2016,Italy,15+,,FEMALE,2180.8
2016,Italy,15+,,MALE,1811.6
2017,Italy,15+,,FEMALE,2116.9
2017,Italy,15+,,MALE,1816.5
2017,Italy,ALLAGE,,BOTHSEX,4561.5
2018,Italy,ALLAGE,,BOTHSEX,4394.1
2018,Italy,15+,,FEMALE,2024.3
2018,Italy,15+,,MALE,1795.1
2019,Italy,15+,,FEMALE,1675.7
2019,Italy,15+,,MALE,1548.5
2019,Italy,ALLAGE,,BOTHSEX,4042.6
2020,Italy,15+,,FEMALE,1399
2020,Italy,15+,,MALE,1372.3
2020,Italy,ALLAGE,,BOTHSEX,3838.1
2015,Kazakhstan,15+,,MALE,NaN
2015,Kazakhstan,ALLAGE,,BOTHSEX,NaN
2015,Kazakhstan,15+,,FEMALE,NaN
2016,Kazakhstan,ALLAGE,,BOTHSEX,NaN
2016,Kazakhstan,15+,,FEMALE,NaN
2016,Kazakhstan,15+,,MALE,NaN
2017,Kazakhstan,ALLAGE,,BOTHSEX,374.1
2017,Kazakhstan,15+,,FEMALE,698.6
2017,Kazakhstan,15+,,MALE,515.7
2018,Kazakhstan,15+,,FEMALE,756.6
2018,Kazakhstan,15+,,MALE,668.3
2018,Kazakhstan,ALLAGE,,BOTHSEX,379.1
2019,Kazakhstan,ALLAGE,,BOTHSEX,427.1
2019,Kazakhstan,15+,,MALE,707.5
2019,Kazakhstan,15+,,FEMALE,840.2
2020,Kazakhstan,ALLAGE,,BOTHSEX,501.7
2020,Kazakhstan,15+,,MALE,816.7
2020,Kazakhstan,15+,,FEMALE,980.5
2015,Azerbaijan,15+,,FEMALE,232.8
2015,Azerbaijan,ALLAGE,,BOTHSEX,564.2
2015,Azerbaijan,15+,,MALE,195.6
2016,Azerbaijan,15+,,FEMALE,296.7
2016,Azerbaijan,15+,,MALE,269.6
2016,Azerbaijan,ALLAGE,,BOTHSEX,746.8
2017,Azerbaijan,15+,,FEMALE,329.7
2017,Azerbaijan,ALLAGE,,BOTHSEX,841.7
2017,Azerbaijan,15+,,MALE,307.9
2018,Azerbaijan,15+,,FEMALE,368.6
2018,Azerbaijan,15+,,MALE,354.6
2018,Azerbaijan,ALLAGE,,BOTHSEX,959
2019,Azerbaijan,ALLAGE,,BOTHSEX,889.1
2019,Azerbaijan,15+,,MALE,325.3
2019,Azerbaijan,15+,,FEMALE,346.7
2020,Azerbaijan,15+,,MALE,351.5
2020,Azerbaijan,15+,,FEMALE,373.7
2020,Azerbaijan,ALLAGE,,BOTHSEX,959.7
2015,Kyrgyzstan,ALLAGE,,BOTHSEX,NaN
2015,Kyrgyzstan,15+,,MALE,NaN
2015,Kyrgyzstan,15+,,FEMALE,NaN
2016,Kyrgyzstan,15+,,FEMALE,NaN
