Year,GeoAreaName,Age,Freq,Location,Sex,Value
2015,Finland,15+,,,FEMALE,<100
2015,Finland,15+,,,MALE,<100
2015,Finland,ALLAGE,,,BOTHSEX,130.8
2016,Finland,15+,,,MALE,<100
2016,Finland,ALLAGE,,,BOTHSEX,124.2
2016,Finland,15+,,,FEMALE,<100
2017,Finland,15+,,,MALE,<100
2017,Finland,15+,,,FEMALE,<100
2017,Finland,ALLAGE,,,BOTHSEX,114.5
2018,Finland,15+,,,MALE,<100
2018,Finland,ALLAGE,,,BOTHSEX,108.4
2018,Finland,15+,,,FEMALE,<100
2019,Finland,15+,,,MALE,<100
2019,Finland,ALLAGE,,,BOTHSEX,103.7
2019,Finland,15+,,,FEMALE,<100
2020,Finland,ALLAGE,,,BOTHSEX,130.4
2020,Finland,15+,,,MALE,<100
2020,Finland,15+,,,FEMALE,<100
2015,France,15+,,,FEMALE,453.4
2015,France,ALLAGE,,,BOTHSEX,1007.2
2015,France,15+,,,MALE,430.5
2016,France,15+,,,MALE,400
2016,France,ALLAGE,,,BOTHSEX,786.1
2016,France,15+,,,FEMALE,258.9
2017,France,15+,,,FEMALE,101.5
2017,France,ALLAGE,,,BOTHSEX,574.6
2017,France,15+,,,MALE,325
2018,France,ALLAGE,,,BOTHSEX,467.8
2018,France,15+,,,FEMALE,108.9
2018,France,15+,,,MALE,196
2019,France,15+,,,MALE,222.3
2019,France,15+,,,FEMALE,<100
2019,France,ALLAGE,,,BOTHSEX,440.9
2020,France,15+,,,MALE,307.5
2020,France,15+,,,FEMALE,208.6
2020,France,ALLAGE,,,BOTHSEX,666.1
2015,Albania,15+,,,MALE,103.2
2015,Albania,ALLAGE,,,BOTHSEX,289.1
2015,Albania,15+,,,FEMALE,117.3
2016,Albania,15+,,,FEMALE,128.3
2016,Albania,15+,,,MALE,103.1
2016,Albania,ALLAGE,,,BOTHSEX,302.7
2017,Albania,15+,,,FEMALE,140.2
2017,Albania,15+,,,MALE,104.9
2017,Albania,ALLAGE,,,BOTHSEX,317.3
2015,Spain,15+,,,FEMALE,185.1
2015,Spain,15+,,,MALE,178.1
2015,Spain,ALLAGE,,,BOTHSEX,524.8
2016,Spain,15+,,,MALE,208.8
2016,Spain,15+,,,FEMALE,253.5
2016,Spain,ALLAGE,,,BOTHSEX,626.6
2017,Spain,15+,,,FEMALE,298
2017,Spain,ALLAGE,,,BOTHSEX,667.4
2017,Spain,15+,,,MALE,215.7
2018,Albania,ALLAGE,,,BOTHSEX,289.4
2018,Albania,15+,,,MALE,102.7
2018,Albania,15+,,,FEMALE,120.9
2019,Albania,ALLAGE,,,BOTHSEX,252.1
2019,Albania,15+,,,FEMALE,112.9
2019,Albania,15+,,,MALE,<100
2020,Albania,15+,,,FEMALE,100.4
2020,Albania,15+,,,MALE,<100
2020,Albania,ALLAGE,,,BOTHSEX,221.2
2018,Spain,15+,,,MALE,248.8
2018,Spain,15+,,,FEMALE,414.5
2018,Spain,ALLAGE,,,BOTHSEX,817.2
2019,Spain,15+,,,FEMALE,359.4
2019,Spain,15+,,,MALE,330.4
2019,Spain,ALLAGE,,,BOTHSEX,853.1
2020,Spain,15+,,,FEMALE,400.8
2020,Spain,ALLAGE,,,BOTHSEX,913.6
2020,Spain,15+,,,MALE,358.2
2015,Georgia,15+,,,FEMALE,123.9
2015,Georgia,15+,,,MALE,<100
2015,Georgia,ALLAGE,,,BOTHSEX,280.6
2016,Georgia,ALLAGE,,,BOTHSEX,318.1
2016,Georgia,15+,,,FEMALE,139.4
2016,Georgia,15+,,,MALE,112.7
2017,Georgia,ALLAGE,,,BOTHSEX,300
2017,Georgia,15+,,,FEMALE,121.7
2017,Georgia,15+,,,MALE,109.8
2018,Georgia,15+,,,MALE,104.2
2018,Georgia,ALLAGE,,,BOTHSEX,294
2018,Georgia,15+,,,FEMALE,120.7
2019,Georgia,ALLAGE,,,BOTHSEX,378.6
2019,Georgia,15+,,,FEMALE,158
2019,Georgia,15+,,,MALE,134.4
2020,Georgia,15+,,,MALE,122.6
2020,Georgia,ALLAGE,,,BOTHSEX,379.7
2020,Georgia,15+,,,FEMALE,170.9
2015,Azerbaijan,15+,,,FEMALE,<100
2015,Azerbaijan,15+,,,MALE,<100
2015,Azerbaijan,ALLAGE,,,BOTHSEX,<100
2016,Azerbaijan,15+,,,MALE,<100
2016,Azerbaijan,15+,,,FEMALE,<100
2016,Azerbaijan,ALLAGE,,,BOTHSEX,<100
2017,Azerbaijan,15+,,,MALE,<100
2017,Azerbaijan,15+,,,FEMALE,<100
2017,Azerbaijan,ALLAGE,,,BOTHSEX,<100
2015,Germany,ALLAGE,,,BOTHSEX,793.7
2015,Germany,15+,,,MALE,251
2015,Germany,15+,,,FEMALE,392.3
2016,Germany,15+,,,MALE,275.4
2016,Germany,15+,,,FEMALE,242.6
2016,Germany,ALLAGE,,,BOTHSEX,695.4
2017,Germany,ALLAGE,,,BOTHSEX,602.8
2017,Germany,15+,,,FEMALE,158.5
2017,Germany,15+,,,MALE,248.6
2018,Azerbaijan,15+,,,MALE,<100
2018,Azerbaijan,ALLAGE,,,BOTHSEX,<100
2018,Azerbaijan,15+,,,FEMALE,<100
2019,Azerbaijan,15+,,,FEMALE,<100
2019,Azerbaijan,15+,,,MALE,<100
2019,Azerbaijan,ALLAGE,,,BOTHSEX,<100
2020,Azerbaijan,15+,,,FEMALE,<100
2020,Azerbaijan,15+,,,MALE,<100
2020,Azerbaijan,ALLAGE,,,BOTHSEX,<100
2018,Germany,ALLAGE,,,BOTHSEX,562.3
2018,Germany,15+,,,MALE,220.4
2018,Germany,15+,,,FEMALE,145.1
2019,Germany,ALLAGE,,,BOTHSEX,590.3
2019,Germany,15+,,,FEMALE,187.8
2019,Germany,15+,,,MALE,270.2
2020,Germany,ALLAGE,,,BOTHSEX,893.6
2020,Germany,15+,,,FEMALE,359.7
2020,Germany,15+,,,MALE,398.3
2015,Austria,15+,,,FEMALE,<100
2015,Austria,15+,,,MALE,<100
2015,Austria,ALLAGE,,,BOTHSEX,<100
2016,Austria,15+,,,MALE,<100
2016,Austria,ALLAGE,,,BOTHSEX,102.8
2016,Austria,15+,,,FEMALE,<100
2017,Austria,ALLAGE,,,BOTHSEX,<100
2017,Austria,15+,,,MALE,<100
2017,Austria,15+,,,FEMALE,<100
2015,Greece,15+,,,FEMALE,111
2015,Greece,ALLAGE,,,BOTHSEX,282.4
2015,Greece,15+,,,MALE,113.3
2016,Greece,15+,,,FEMALE,138.5
2016,Greece,15+,,,MALE,123.8
2016,Greece,ALLAGE,,,BOTHSEX,343.1
2017,Greece,15+,,,FEMALE,129.5
2017,Greece,15+,,,MALE,134.5
2017,Greece,ALLAGE,,,BOTHSEX,333.6
2018,Austria,15+,,,FEMALE,<100
2018,Austria,15+,,,MALE,<100
2018,Austria,ALLAGE,,,BOTHSEX,<100
2019,Austria,ALLAGE,,,BOTHSEX,<100
2019,Austria,15+,,,FEMALE,<100
2019,Austria,15+,,,MALE,<100
2020,Austria,15+,,,MALE,<100
2020,Austria,ALLAGE,,,BOTHSEX,112.7
2020,Austria,15+,,,FEMALE,<100
2018,Greece,15+,,,FEMALE,100.9
2018,Greece,15+,,,MALE,<100
2018,Greece,ALLAGE,,,BOTHSEX,245.4
2019,Greece,ALLAGE,,,BOTHSEX,177.8
2019,Greece,15+,,,MALE,116.2
2019,Greece,15+,,,FEMALE,113.9
2020,Greece,15+,,,FEMALE,137.2
2020,Greece,15+,,,MALE,112
2020,Greece,ALLAGE,,,BOTHSEX,161.7
2015,Armenia,15+,,,FEMALE,NaN
2015,Armenia,15+,,,MALE,NaN
2015,Armenia,ALLAGE,,,BOTHSEX,NaN
2016,Armenia,15+,,,MALE,NaN
2016,Armenia,ALLAGE,,,BOTHSEX,NaN
2016,Armenia,15+,,,FEMALE,NaN
2017,Armenia,ALLAGE,,,BOTHSEX,<100
2017,Armenia,15+,,,MALE,<100
2017,Armenia,15+,,,FEMALE,<100
2018,Armenia,15+,,,MALE,<100
2015,Hungary,15+,,,FEMALE,<100
2015,Hungary,15+,,,MALE,<100
2015,Hungary,ALLAGE,,,BOTHSEX,134.8
2016,Hungary,15+,,,MALE,<100
2016,Hungary,ALLAGE,,,BOTHSEX,109.2
2016,Hungary,15+,,,FEMALE,<100
2017,Hungary,ALLAGE,,,BOTHSEX,<100
