Year,GeoAreaName,Age,Sex,Value
2000,Croatia,15-49,FEMALE,25.9
2001,Croatia,15-49,FEMALE,25.6
2002,Croatia,15-49,FEMALE,25.3
2003,Croatia,15-49,FEMALE,25.1
2004,Croatia,15-49,FEMALE,25.0
2005,Croatia,15-49,FEMALE,24.8
2006,Croatia,15-49,FEMALE,24.6
2007,Croatia,15-49,FEMALE,24.3
2008,Croatia,15-49,FEMALE,24.1
2009,Croatia,15-49,FEMALE,23.8
2010,Croatia,15-49,FEMALE,23.6
2011,Croatia,15-49,FEMALE,23.5
2012,Croatia,15-49,FEMALE,23.4
2013,Croatia,15-49,FEMALE,23.3
2014,Croatia,15-49,FEMALE,23.3
2015,Croatia,15-49,FEMALE,23.2
2016,Croatia,15-49,FEMALE,23.2
2017,Croatia,15-49,FEMALE,23.1
2018,Croatia,15-49,FEMALE,23.2
2019,Croatia,15-49,FEMALE,23.2
2000,Cyprus,15-49,FEMALE,19.2
2001,Cyprus,15-49,FEMALE,18.8
2002,Cyprus,15-49,FEMALE,18.5
2003,Cyprus,15-49,FEMALE,18.3
2004,Cyprus,15-49,FEMALE,18.1
2005,Cyprus,15-49,FEMALE,18.0
2006,Cyprus,15-49,FEMALE,17.9
2007,Cyprus,15-49,FEMALE,17.8
2008,Cyprus,15-49,FEMALE,17.7
2009,Cyprus,15-49,FEMALE,17.6
2010,Cyprus,15-49,FEMALE,17.6
2011,Cyprus,15-49,FEMALE,17.6
2012,Cyprus,15-49,FEMALE,17.7
2013,Cyprus,15-49,FEMALE,17.7
2014,Cyprus,15-49,FEMALE,17.8
2015,Cyprus,15-49,FEMALE,18.0
2016,Cyprus,15-49,FEMALE,18.1
2017,Cyprus,15-49,FEMALE,18.3
2018,Cyprus,15-49,FEMALE,18.4
2019,Cyprus,15-49,FEMALE,18.5
2000,Czechia,15-49,FEMALE,24.0
2001,Czechia,15-49,FEMALE,23.7
2002,Czechia,15-49,FEMALE,23.4
2003,Czechia,15-49,FEMALE,23.3
2000,Ukraine,15-49,FEMALE,24.6
2001,Ukraine,15-49,FEMALE,24.4
2002,Ukraine,15-49,FEMALE,24.2
2003,Ukraine,15-49,FEMALE,24.0
2004,Ukraine,15-49,FEMALE,23.7
2005,Ukraine,15-49,FEMALE,23.3
2006,Ukraine,15-49,FEMALE,23.0
2007,Ukraine,15-49,FEMALE,22.7
2008,Ukraine,15-49,FEMALE,22.4
2009,Ukraine,15-49,FEMALE,22.1
2010,Ukraine,15-49,FEMALE,21.9
2004,Czechia,15-49,FEMALE,23.0
2005,Czechia,15-49,FEMALE,22.8
2006,Czechia,15-49,FEMALE,22.6
2007,Czechia,15-49,FEMALE,22.5
2008,Czechia,15-49,FEMALE,22.3
2009,Czechia,15-49,FEMALE,22.3
2010,Czechia,15-49,FEMALE,22.3
2011,Czechia,15-49,FEMALE,22.3
2012,Czechia,15-49,FEMALE,22.3
2013,Czechia,15-49,FEMALE,22.4
2014,Czechia,15-49,FEMALE,22.5
2011,Ukraine,15-49,FEMALE,21.9
2012,Ukraine,15-49,FEMALE,21.9
2013,Ukraine,15-49,FEMALE,22.0
2014,Ukraine,15-49,FEMALE,22.1
2015,Ukraine,15-49,FEMALE,22.2
2016,Ukraine,15-49,FEMALE,22.5
2017,Ukraine,15-49,FEMALE,22.7
2018,Ukraine,15-49,FEMALE,23.0
2019,Ukraine,15-49,FEMALE,23.2
2000,North Macedonia,15-49,FEMALE,28.2
2001,North Macedonia,15-49,FEMALE,28.1
2000,Albania,15-49,FEMALE,29.0
2001,Albania,15-49,FEMALE,28.2
2002,Albania,15-49,FEMALE,27.3
2003,Albania,15-49,FEMALE,26.6
2004,Albania,15-49,FEMALE,25.8
2005,Albania,15-49,FEMALE,25.0
2006,Albania,15-49,FEMALE,24.3
2007,Albania,15-49,FEMALE,23.5
2008,Albania,15-49,FEMALE,22.9
2009,Albania,15-49,FEMALE,22.3
2010,Albania,15-49,FEMALE,21.9
2015,Czechia,15-49,FEMALE,22.6
2016,Czechia,15-49,FEMALE,22.6
2017,Czechia,15-49,FEMALE,22.6
2018,Czechia,15-49,FEMALE,22.7
2019,Czechia,15-49,FEMALE,22.7
2000,Denmark,15-49,FEMALE,17.9
2001,Denmark,15-49,FEMALE,17.7
2002,Denmark,15-49,FEMALE,17.6
2003,Denmark,15-49,FEMALE,17.3
2004,Denmark,15-49,FEMALE,17.0
2005,Denmark,15-49,FEMALE,16.9
2006,Denmark,15-49,FEMALE,16.8
2007,Denmark,15-49,FEMALE,16.6
2008,Denmark,15-49,FEMALE,16.5
2009,Denmark,15-49,FEMALE,16.4
2010,Denmark,15-49,FEMALE,16.3
2011,Denmark,15-49,FEMALE,16.4
2012,Denmark,15-49,FEMALE,16.5
2013,Denmark,15-49,FEMALE,16.4
2014,Denmark,15-49,FEMALE,16.5
2015,Denmark,15-49,FEMALE,16.5
2016,Denmark,15-49,FEMALE,16.6
2011,Albania,15-49,FEMALE,21.9
2012,Albania,15-49,FEMALE,22.1
2013,Albania,15-49,FEMALE,22.3
2014,Albania,15-49,FEMALE,22.6
2015,Albania,15-49,FEMALE,23.0
2016,Albania,15-49,FEMALE,23.5
2017,Albania,15-49,FEMALE,24.0
2018,Albania,15-49,FEMALE,24.2
2019,Albania,15-49,FEMALE,24.5
2000,Azerbaijan,15-49,FEMALE,38.7
2001,Azerbaijan,15-49,FEMALE,38.6
2002,Azerbaijan,15-49,FEMALE,38.5
2003,Azerbaijan,15-49,FEMALE,38.4
2004,Azerbaijan,15-49,FEMALE,38.3
2005,Azerbaijan,15-49,FEMALE,38.0
2006,Azerbaijan,15-49,FEMALE,37.5
2007,Azerbaijan,15-49,FEMALE,36.8
2008,Azerbaijan,15-49,FEMALE,36.3
2009,Azerbaijan,15-49,FEMALE,35.8
2010,Azerbaijan,15-49,FEMALE,35.5
2011,Azerbaijan,15-49,FEMALE,35.3
2012,Azerbaijan,15-49,FEMALE,35.2
2017,Denmark,15-49,FEMALE,16.7
2018,Denmark,15-49,FEMALE,16.7
2019,Denmark,15-49,FEMALE,16.7
2000,Estonia,15-49,FEMALE,25.8
2001,Estonia,15-49,FEMALE,25.5
2002,Estonia,15-49,FEMALE,25.3
2003,Estonia,15-49,FEMALE,25.1
2004,Estonia,15-49,FEMALE,24.8
2005,Estonia,15-49,FEMALE,24.5
2006,Estonia,15-49,FEMALE,24.3
2007,Estonia,15-49,FEMALE,23.9
2013,Azerbaijan,15-49,FEMALE,35.2
2014,Azerbaijan,15-49,FEMALE,35.2
2015,Azerbaijan,15-49,FEMALE,35.2
2016,Azerbaijan,15-49,FEMALE,35.1
2017,Azerbaijan,15-49,FEMALE,35.1
2018,Azerbaijan,15-49,FEMALE,35.1
2019,Azerbaijan,15-49,FEMALE,35.0
2000,Austria,15-49,FEMALE,17.9
2001,Austria,15-49,FEMALE,17.6
2002,Austria,15-49,FEMALE,17.4
2003,Austria,15-49,FEMALE,17.3
