Year,GeoAreaName,Sex,Value
2004,Albania,MALE,NaN
2004,Albania,BOTHSEX,NaN
2004,Albania,FEMALE,NaN
2005,Albania,FEMALE,6715.87
2005,Albania,MALE,7850.27
2005,Albania,BOTHSEX,7799.64
2006,Albania,BOTHSEX,NaN
2006,Albania,FEMALE,NaN
2006,Albania,MALE,NaN
2007,Albania,FEMALE,NaN
2007,Albania,BOTHSEX,NaN
2007,Albania,MALE,NaN
2008,Albania,MALE,NaN
2008,Albania,BOTHSEX,NaN
2008,Albania,FEMALE,NaN
2009,Albania,BOTHSEX,NaN
2009,Albania,FEMALE,NaN
2009,Albania,MALE,NaN
2010,Albania,BOTHSEX,NaN
2010,Albania,MALE,NaN
2010,Albania,FEMALE,NaN
2011,Albania,FEMALE,NaN
2011,Albania,BOTHSEX,NaN
2011,Albania,MALE,NaN
2012,Albania,MALE,NaN
2012,Albania,FEMALE,NaN
2012,Albania,BOTHSEX,NaN
2013,Albania,BOTHSEX,NaN
2013,Albania,MALE,NaN
2013,Albania,FEMALE,NaN
2014,Albania,FEMALE,NaN
2014,Albania,MALE,NaN
2014,Albania,BOTHSEX,NaN
2004,Kyrgyzstan,FEMALE,NaN
2004,Kyrgyzstan,MALE,NaN
2004,Kyrgyzstan,BOTHSEX,NaN
2005,Kyrgyzstan,MALE,NaN
2005,Kyrgyzstan,BOTHSEX,NaN
2005,Kyrgyzstan,FEMALE,NaN
2006,Kyrgyzstan,MALE,NaN
2006,Kyrgyzstan,FEMALE,NaN
2006,Kyrgyzstan,BOTHSEX,NaN
2007,Kyrgyzstan,BOTHSEX,NaN
2007,Kyrgyzstan,FEMALE,NaN
2015,Albania,BOTHSEX,NaN
2015,Albania,MALE,NaN
2015,Albania,FEMALE,NaN
2016,Albania,FEMALE,NaN
2016,Albania,MALE,NaN
2016,Albania,BOTHSEX,NaN
2004,Azerbaijan,FEMALE,NaN
2004,Azerbaijan,BOTHSEX,NaN
2004,Azerbaijan,MALE,NaN
2005,Azerbaijan,MALE,NaN
2005,Azerbaijan,BOTHSEX,NaN
2007,Kyrgyzstan,MALE,NaN
2008,Kyrgyzstan,MALE,NaN
2008,Kyrgyzstan,BOTHSEX,NaN
2008,Kyrgyzstan,FEMALE,NaN
2009,Kyrgyzstan,MALE,NaN
2009,Kyrgyzstan,FEMALE,NaN
2009,Kyrgyzstan,BOTHSEX,NaN
2010,Kyrgyzstan,BOTHSEX,NaN
2010,Kyrgyzstan,FEMALE,NaN
2010,Kyrgyzstan,MALE,NaN
2011,Kyrgyzstan,MALE,NaN
2005,Azerbaijan,FEMALE,NaN
2006,Azerbaijan,FEMALE,NaN
2006,Azerbaijan,BOTHSEX,NaN
2006,Azerbaijan,MALE,NaN
2007,Azerbaijan,BOTHSEX,NaN
2007,Azerbaijan,MALE,NaN
2007,Azerbaijan,FEMALE,NaN
2008,Azerbaijan,FEMALE,NaN
2008,Azerbaijan,BOTHSEX,NaN
2008,Azerbaijan,MALE,NaN
2009,Azerbaijan,MALE,NaN
2011,Kyrgyzstan,FEMALE,NaN
2011,Kyrgyzstan,BOTHSEX,NaN
2012,Kyrgyzstan,FEMALE,NaN
2012,Kyrgyzstan,BOTHSEX,NaN
2012,Kyrgyzstan,MALE,NaN
2013,Kyrgyzstan,FEMALE,6565.99
2013,Kyrgyzstan,MALE,6411.02
2013,Kyrgyzstan,BOTHSEX,6442.13
